trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,complex_multiply,local_exchange,fft_core,stage_space,stage_handoff,tile_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,"Tesla V100-SXM2-16GB",7.0,fft,fp32,forward,none,in-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,32,0,0,0,0,3,8,524288,1,8,20,100,5.523008,0.094218,5.129280,5564612150.023103,66.775346,44516897200.184822,0.000001,1
1,"Tesla V100-SXM2-16GB",7.0,fft,fp32,forward,none,in-place,temporal-tile,radix4,four-mul,shared,scalar,0,named-barrier,128,0,0,0,0,8,256,16384,1,256,20,100,5.542368,0.110633,5.111488,148093294.121822,151.647533,37911883295.186546,0.000010,1
1,"Tesla V100-SXM2-16GB",7.0,fft,fp32,forward,none,in-place,online-reorder,radix4,four-mul,shared,scalar,0,named-barrier,256,10,64,0,0,12,4096,1024,1,4096,20,100,5.514784,0.297298,5.101120,3444356.366890,84.648502,14108083678.781851,0.000047,1
1,"Tesla V100-SXM2-16GB",7.0,fft,fp32,forward,none,in-place,online-reorder,radix4,four-mul,shared,scalar,0,named-barrier,256,10,8,0,0,16,65536,64,1,65536,20,100,5.567680,0.486932,5.102080,131435.058866,68.909824,8613728017.836378,0.000186,1
1,"Tesla V100-SXM2-16GB",7.0,fft,fp32,forward,none,in-place,online-reorder,radix4,four-mul,shared,scalar,0,named-barrier,256,10,1,0,0,20,1048576,4,1,1048576,20,100,5.481440,0.644424,5.096192,6207.096706,65.086126,6508612636.078077,0.000793,1
2,"Tesla V100-SXM2-16GB",7.0,fft,fp32,forward,none,in-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,32,0,0,0,0,3,8,524288,1,8,20,100,5.535360,0.091208,5.115296,5748288138.527312,68.979458,45986305108.218498,0.000001,1
2,"Tesla V100-SXM2-16GB",7.0,fft,fp32,forward,none,in-place,temporal-tile,radix4,four-mul,shared,scalar,0,named-barrier,128,0,0,0,0,8,256,16384,1,256,20,100,5.526560,0.096072,5.104800,170539325.537827,174.632269,43658067337.683762,0.000010,1
2,"Tesla V100-SXM2-16GB",7.0,fft,fp32,forward,none,in-place,online-reorder,radix4,four-mul,shared,scalar,0,named-barrier,256,10,64,0,0,12,4096,1024,1,4096,20,100,5.501792,0.268278,5.099712,3816939.516378,93.805106,15634184259.084631,0.000047,1
2,"Tesla V100-SXM2-16GB",7.0,fft,fp32,forward,none,in-place,online-reorder,radix4,four-mul,shared,scalar,0,named-barrier,256,10,8,0,0,16,65536,64,1,65536,20,100,5.596608,0.418406,5.104640,152961.332434,80.195791,10024473882.398159,0.000186,1
2,"Tesla V100-SXM2-16GB",7.0,fft,fp32,forward,none,in-place,online-reorder,radix4,four-mul,shared,scalar,0,named-barrier,256,10,1,0,0,20,1048576,4,1,1048576,20,100,5.469728,0.639795,5.108896,6252.000795,65.556980,6555697985.860606,0.000793,1
3,"Tesla V100-SXM2-16GB",7.0,fft,fp32,forward,none,in-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,32,0,0,0,0,3,8,524288,1,8,20,100,5.496608,0.091310,5.130560,5741841183.375992,68.902094,45934729467.007935,0.000001,1
3,"Tesla V100-SXM2-16GB",7.0,fft,fp32,forward,none,in-place,temporal-tile,radix4,four-mul,shared,scalar,0,named-barrier,128,0,0,0,0,8,256,16384,1,256,20,100,5.492352,0.096082,5.102592,170521142.114493,174.613650,43653412381.310089,0.000010,1
3,"Tesla V100-SXM2-16GB",7.0,fft,fp32,forward,none,in-place,online-reorder,radix4,four-mul,shared,scalar,0,named-barrier,256,10,64,0,0,12,4096,1024,1,4096,20,100,5.549504,0.268247,5.108320,3817376.725401,93.815850,15635975067.243780,0.000047,1
3,"Tesla V100-SXM2-16GB",7.0,fft,fp32,forward,none,in-place,online-reorder,radix4,four-mul,shared,scalar,0,named-barrier,256,10,8,0,0,16,65536,64,1,65536,20,100,5.575424,0.418355,5.102752,152980.041705,80.205600,10025700013.173695,0.000186,1
3,"Tesla V100-SXM2-16GB",7.0,fft,fp32,forward,none,in-place,online-reorder,radix4,four-mul,shared,scalar,0,named-barrier,256,10,1,0,0,20,1048576,4,1,1048576,20,100,5.456672,0.638392,5.094528,6265.739447,65.701040,6570104006.655185,0.000793,1
