trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,fft_core,stage_space,stage_handoff,tile_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,5,1,0,0,12,4096,1024,1,4096,20,100,5.494304,0.585667,5.117728,1748435.218354,42.969544,7161590654.376099,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,5,1,0,0,12,4096,1024,1,4096,20,100,5.494528,0.536863,5.110624,1907377.698077,46.875714,7812619051.324839,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,5,1,0,0,12,4096,1024,1,4096,20,100,5.533952,0.509604,5.112960,2009403.939818,49.383111,8230518537.496488,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,5,1,0,0,12,4096,1024,1,4096,20,100,5.489344,0.509737,5.109024,2008879.265320,49.370217,8228369470.750296,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,5,1,0,0,12,4096,1024,1,4096,20,100,5.497120,0.509645,5.120448,2009242.490399,49.379143,8229857240.674348,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,6,1,0,0,12,4096,1024,1,4096,20,100,5.496192,0.448727,5.108384,2282010.900471,56.082700,9347116648.327951,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,6,1,0,0,12,4096,1024,1,4096,20,100,5.504512,0.448758,5.109088,2281854.803995,56.078864,9346477277.163858,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,6,1,0,0,12,4096,1024,1,4096,20,100,5.528384,0.448778,5.114976,2281750.549507,56.076302,9346050250.780506,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,6,1,0,0,12,4096,1024,1,4096,20,100,5.468512,0.448727,5.102880,2282010.900471,56.082700,9347116648.327951,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,6,1,0,0,12,4096,1024,1,4096,20,100,5.464512,0.448748,5.112672,2281906.783265,56.080141,9346690184.254616,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,8,1,0,0,12,4096,1024,1,4096,20,100,5.467616,0.891525,5.110336,1148593.586186,28.227836,4704639329.017272,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,8,1,0,0,12,4096,1024,1,4096,20,100,5.510432,0.891064,5.103584,1149187.567970,28.242434,4707072278.405719,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,8,1,0,0,12,4096,1024,1,4096,20,100,5.472480,0.891054,5.103680,1149200.713045,28.242757,4707126120.632343,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,8,1,0,0,12,4096,1024,1,4096,20,100,5.516416,0.891075,5.098656,1149174.346327,28.242109,4707018122.554826,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,8,1,0,0,12,4096,1024,1,4096,20,100,5.478048,0.891054,5.099424,1149200.713045,28.242757,4707126120.632343,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,10,1,0,0,12,4096,1024,1,4096,20,100,5.468096,2.321900,5.101536,441018.197710,10.838463,1806410537.818959,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,10,1,0,0,12,4096,1024,1,4096,20,100,5.497536,2.317343,5.115040,441885.429502,10.859776,1809962719.238161,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,10,1,0,0,12,4096,1024,1,4096,20,100,5.510016,2.319473,5.108352,441479.680113,10.849805,1808300769.744545,0.000000,-1
