rank,operator,precision,direction,normalization,placement,logN,N,batch,element_stride,batch_stride,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,fft_core,stage_space,tile_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,stage_handoff,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,median_Gbutterfly_s,slowdown_vs_best
1,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,cufft,auto,four-mul,table,shared,scalar,0,0,0,0,0,0,named-barrier,5,0.088893,0.088740,0.088945,283.101015,1.000000
2,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,32,6,1,0,0,named-barrier,5,0.211917,0.211825,0.212603,118.753320,2.383956
3,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,32,5,1,0,0,named-barrier,5,0.214098,0.213914,0.214149,117.543526,2.408491
4,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,32,6,1,0,0,named-barrier,5,0.214129,0.213873,0.214149,117.526659,2.408840
5,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,32,5,1,0,0,named-barrier,5,0.214180,0.214016,0.214282,117.498564,2.409414
6,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,32,8,1,0,0,named-barrier,5,0.279214,0.278938,0.280054,90.130926,3.141012
7,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,32,8,1,0,0,named-barrier,5,0.286280,0.285583,0.286966,87.906428,3.220501
8,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix4,four-mul,table,shared,scalar,0,256,6,1,0,0,named-barrier,5,0.448748,0.448727,0.448778,56.080141,5.048182
9,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix4,four-mul,table,shared,scalar,0,256,5,1,0,0,named-barrier,5,0.509737,0.509604,0.585667,49.370217,5.734276
10,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix4,four-mul,table,shared,scalar,0,256,8,1,0,0,named-barrier,5,0.891064,0.891054,0.891525,28.242434,10.024006
11,fft,fp32,forward,none,out-of-place,12,4096,1024,1,4096,online-reorder,radix4,four-mul,table,shared,scalar,0,256,10,1,0,0,named-barrier,5,2.319657,2.317343,2.327265,10.848941,26.094934
1,fft,fp32,forward,none,out-of-place,14,16384,256,1,16384,cufft,auto,four-mul,table,shared,scalar,0,0,0,0,0,0,named-barrier,5,0.122757,0.122163,0.123003,239.172502,1.000000
2,fft,fp32,forward,none,out-of-place,14,16384,256,1,16384,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,32,5,1,0,0,named-barrier,5,0.203510,0.203459,0.203776,144.268892,1.657828
3,fft,fp32,forward,none,out-of-place,14,16384,256,1,16384,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,32,5,1,0,0,named-barrier,5,0.213658,0.213555,0.214077,137.416725,1.740495
4,fft,fp32,forward,none,out-of-place,14,16384,256,1,16384,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,32,6,1,0,0,named-barrier,5,0.222444,0.222157,0.222577,131.989135,1.812068
5,fft,fp32,forward,none,out-of-place,14,16384,256,1,16384,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,32,6,1,0,0,named-barrier,5,0.229663,0.229304,0.229868,127.840202,1.870875
6,fft,fp32,forward,none,out-of-place,14,16384,256,1,16384,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,32,10,1,0,0,named-barrier,5,0.237466,0.237363,0.237855,123.639505,1.934440
7,fft,fp32,forward,none,out-of-place,14,16384,256,1,16384,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,32,10,1,0,0,named-barrier,5,0.239288,0.238879,0.239442,122.697709,1.949282
8,fft,fp32,forward,none,out-of-place,14,16384,256,1,16384,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,32,8,1,0,0,named-barrier,5,0.257147,0.256676,0.257331,114.176496,2.094764
9,fft,fp32,forward,none,out-of-place,14,16384,256,1,16384,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,32,8,1,0,0,named-barrier,5,0.258898,0.258816,0.259441,113.404272,2.109028
10,fft,fp32,forward,none,out-of-place,14,16384,256,1,16384,online-reorder,radix4,four-mul,table,shared,scalar,0,256,6,1,0,0,named-barrier,5,0.440914,0.440883,0.441446,66.589252,3.591763
11,fft,fp32,forward,none,out-of-place,14,16384,256,1,16384,online-reorder,radix4,four-mul,table,shared,scalar,0,256,8,1,0,0,named-barrier,5,0.498575,0.498524,0.498596,58.888045,4.061479
12,fft,fp32,forward,none,out-of-place,14,16384,256,1,16384,online-reorder,radix4,four-mul,table,shared,scalar,0,256,5,1,0,0,named-barrier,5,0.521892,0.521851,0.521963,56.257113,4.251424
13,fft,fp32,forward,none,out-of-place,14,16384,256,1,16384,online-reorder,radix4,four-mul,table,shared,scalar,0,256,10,1,0,0,named-barrier,5,0.995287,0.995246,0.995441,29.499157,8.107782
1,fft,fp32,forward,none,out-of-place,16,65536,64,1,65536,cufft,auto,four-mul,table,shared,scalar,0,0,0,0,0,0,named-barrier,5,0.179292,0.178954,0.179354,187.149469,1.000000
2,fft,fp32,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,32,6,1,0,0,named-barrier,5,0.225987,0.214364,0.226304,148.479771,1.260441
3,fft,fp32,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,32,10,1,0,0,named-barrier,5,0.234578,0.233820,0.234721,143.041730,1.308357
4,fft,fp32,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,32,6,1,0,0,named-barrier,5,0.236001,0.235776,0.236227,142.179024,1.316294
5,fft,fp32,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,32,10,1,0,0,named-barrier,5,0.257096,0.257044,0.257352,130.513395,1.433951
6,fft,fp32,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,32,8,1,0,0,named-barrier,5,0.297523,0.297298,0.297636,112.779212,1.659433
7,fft,fp32,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,32,8,1,0,0,named-barrier,5,0.302111,0.301998,0.302664,111.066667,1.685022
8,fft,fp32,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix4,four-mul,table,shared,scalar,0,256,8,1,0,0,named-barrier,5,0.445317,0.445204,0.445348,75.349522,2.483753
9,fft,fp32,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix4,four-mul,table,shared,scalar,0,256,6,1,0,0,named-barrier,5,0.483400,0.483328,0.483451,69.413433,2.696160
10,fft,fp32,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix4,four-mul,table,shared,scalar,0,256,10,1,0,0,named-barrier,5,0.519086,0.519055,0.519137,64.641366,2.895199
1,fft,fp32,forward,none,out-of-place,18,262144,16,1,262144,cufft,auto,four-mul,table,shared,scalar,0,0,0,0,0,0,named-barrier,5,0.211661,0.211384,0.212091,178.345426,1.000000
2,fft,fp32,forward,none,out-of-place,18,262144,16,1,262144,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,32,10,1,0,0,named-barrier,5,0.240364,0.240169,0.240660,157.048522,1.135608
3,fft,fp32,forward,none,out-of-place,18,262144,16,1,262144,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,32,8,1,0,0,named-barrier,5,0.270418,0.270121,0.270705,139.594058,1.277600
4,fft,fp32,forward,none,out-of-place,18,262144,16,1,262144,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,32,10,1,0,0,named-barrier,5,0.270500,0.269988,0.270899,139.551794,1.277987
5,fft,fp32,forward,none,out-of-place,18,262144,16,1,262144,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,32,8,1,0,0,named-barrier,5,0.278641,0.278385,0.278702,135.474630,1.316449
6,fft,fp32,forward,none,out-of-place,18,262144,16,1,262144,online-reorder,radix4,four-mul,table,shared,scalar,0,256,10,1,0,0,named-barrier,5,0.468081,0.467948,0.468306,80.645796,2.211466
7,fft,fp32,forward,none,out-of-place,18,262144,16,1,262144,online-reorder,radix4,four-mul,table,shared,scalar,0,256,8,1,0,0,named-barrier,5,0.489011,0.488940,0.554680,77.194011,2.310350
1,fft,fp32,forward,none,out-of-place,20,1048576,4,1,1048576,cufft,auto,four-mul,table,shared,scalar,0,0,0,0,0,0,named-barrier,5,0.209521,0.209224,0.209848,200.185721,1.000000
2,fft,fp32,forward,none,out-of-place,20,1048576,4,1,1048576,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,32,10,1,0,0,named-barrier,5,0.235971,0.235735,0.236237,177.746921,1.126240
3,fft,fp32,forward,none,out-of-place,20,1048576,4,1,1048576,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,32,10,1,0,0,named-barrier,5,0.300452,0.300145,0.300698,139.599875,1.433995
4,fft,fp32,forward,none,out-of-place,20,1048576,4,1,1048576,online-reorder,radix4,four-mul,table,shared,scalar,0,256,10,1,0,0,named-barrier,5,0.639396,0.638116,0.639887,65.597925,3.051704
