family,logN,prefix_log_n,suffix_log_n,prefix_core,suffix_core,prefix_spatial_scope,suffix_spatial_scope,prefix_stage_fusion,suffix_stage_fusion,prefix_temporal_reuse,suffix_temporal_reuse,prefix_threads,suffix_threads,prefix_ept,suffix_ept,cross_twiddle,boundary,reorder,prefix_units_per_cta,prefix_tile_shared_bytes,suffix_units_per_cta,suffix_tile_shared_bytes,status,reason
cufftdx-online,18,1,17,cufftdx-block,cufftdx-direct,cta,cta,full-dimension,full-dimension,resident-codelet,resident-codelet,128,128,4,4,table,global-scratch,direct-strided-or-transpose,0,4096,0,4096,hardware-infeasible,prefix-coverage;suffix-coverage
cufftdx-online,18,1,17,cufftdx-block,cufftdx-direct,cta,cta,full-dimension,full-dimension,resident-codelet,resident-codelet,128,128,4,4,recurrence,global-scratch,direct-strided-or-transpose,0,4096,0,4096,hardware-infeasible,prefix-coverage;suffix-coverage
cufftdx-online,18,1,17,cufftdx-block,cufftdx-direct,cta,cta,full-dimension,full-dimension,resident-codelet,resident-codelet,128,128,4,8,table,global-scratch,direct-strided-or-transpose,0,4096,0,8192,hardware-infeasible,prefix-coverage;suffix-coverage
cufftdx-online,18,1,17,cufftdx-block,cufftdx-direct,cta,cta,full-dimension,full-dimension,resident-codelet,resident-codelet,128,128,4,8,recurrence,global-scratch,direct-strided-or-transpose,0,4096,0,8192,hardware-infeasible,prefix-coverage;suffix-coverage
cufftdx-online,18,1,17,cufftdx-block,cufftdx-direct,cta,cta,full-dimension,full-dimension,resident-codelet,resident-codelet,128,128,4,16,table,global-scratch,direct-strided-or-transpose,0,4096,0,16384,hardware-infeasible,prefix-coverage;suffix-coverage
cufftdx-online,18,1,17,cufftdx-block,cufftdx-direct,cta,cta,full-dimension,full-dimension,resident-codelet,resident-codelet,128,128,4,16,recurrence,global-scratch,direct-strided-or-transpose,0,4096,0,16384,hardware-infeasible,prefix-coverage;suffix-coverage
cufftdx-online,18,1,17,cufftdx-block,cufftdx-direct,cta,cta,full-dimension,full-dimension,resident-codelet,resident-codelet,128,128,8,4,table,global-scratch,direct-strided-or-transpose,0,8192,0,4096,hardware-infeasible,prefix-coverage;suffix-coverage
cufftdx-online,18,1,17,cufftdx-block,cufftdx-direct,cta,cta,full-dimension,full-dimension,resident-codelet,resident-codelet,128,128,8,4,recurrence,global-scratch,direct-strided-or-transpose,0,8192,0,4096,hardware-infeasible,prefix-coverage;suffix-coverage
cufftdx-online,18,1,17,cufftdx-block,cufftdx-direct,cta,cta,full-dimension,full-dimension,resident-codelet,resident-codelet,128,128,8,8,table,global-scratch,direct-strided-or-transpose,0,8192,0,8192,hardware-infeasible,prefix-coverage;suffix-coverage
cufftdx-online,18,1,17,cufftdx-block,cufftdx-direct,cta,cta,full-dimension,full-dimension,resident-codelet,resident-codelet,128,128,8,8,recurrence,global-scratch,direct-strided-or-transpose,0,8192,0,8192,hardware-infeasible,prefix-coverage;suffix-coverage
cufftdx-online,18,1,17,cufftdx-block,cufftdx-direct,cta,cta,full-dimension,full-dimension,resident-codelet,resident-codelet,128,128,8,16,table,global-scratch,direct-strided-or-transpose,0,8192,0,16384,hardware-infeasible,prefix-coverage;suffix-coverage
cufftdx-online,18,1,17,cufftdx-block,cufftdx-direct,cta,cta,full-dimension,full-dimension,resident-codelet,resident-codelet,128,128,8,16,recurrence,global-scratch,direct-strided-or-transpose,0,8192,0,16384,hardware-infeasible,prefix-coverage;suffix-coverage
cufftdx-online,18,1,17,cufftdx-block,cufftdx-direct,cta,cta,full-dimension,full-dimension,resident-codelet,resident-codelet,128,128,16,4,table,global-scratch,direct-strided-or-transpose,0,16384,0,4096,hardware-infeasible,prefix-coverage;suffix-coverage
cufftdx-online,18,1,17,cufftdx-block,cufftdx-direct,cta,cta,full-dimension,full-dimension,resident-codelet,resident-codelet,128,128,16,4,recurrence,global-scratch,direct-strided-or-transpose,0,16384,0,4096,hardware-infeasible,prefix-coverage;suffix-coverage
cufftdx-online,18,1,17,cufftdx-block,cufftdx-direct,cta,cta,full-dimension,full-dimension,resident-codelet,resident-codelet,128,128,16,8,table,global-scratch,direct-strided-or-transpose,0,16384,0,8192,hardware-infeasible,prefix-coverage;suffix-coverage
cufftdx-online,18,1,17,cufftdx-block,cufftdx-direct,cta,cta,full-dimension,full-dimension,resident-codelet,resident-codelet,128,128,16,8,recurrence,global-scratch,direct-strided-or-transpose,0,16384,0,8192,hardware-infeasible,prefix-coverage;suffix-coverage
cufftdx-online,18,1,17,cufftdx-block,cufftdx-direct,cta,cta,full-dimension,full-dimension,resident-codelet,resident-codelet,128,128,16,16,table,global-scratch,direct-strided-or-transpose,0,16384,0,16384,hardware-infeasible,prefix-coverage;suffix-coverage
cufftdx-online,18,1,17,cufftdx-block,cufftdx-direct,cta,cta,full-dimension,full-dimension,resident-codelet,resident-codelet,128,128,16,16,recurrence,global-scratch,direct-strided-or-transpose,0,16384,0,16384,hardware-infeasible,prefix-coverage;suffix-coverage
cufftdx-online,18,1,17,cufftdx-block,cufftdx-direct,cta,cta,full-dimension,full-dimension,resident-codelet,resident-codelet,128,256,4,4,table,global-scratch,direct-strided-or-transpose,0,4096,0,8192,hardware-infeasible,prefix-coverage;suffix-coverage
cufftdx-online,18,1,17,cufftdx-block,cufftdx-direct,cta,cta,full-dimension,full-dimension,resident-codelet,resident-codelet,128,256,4,4,recurrence,global-scratch,direct-strided-or-transpose,0,4096,0,8192,hardware-infeasible,prefix-coverage;suffix-coverage
cufftdx-online,18,1,17,cufftdx-block,cufftdx-direct,cta,cta,full-dimension,full-dimension,resident-codelet,resident-codelet,128,256,4,8,table,global-scratch,direct-strided-or-transpose,0,4096,0,16384,hardware-infeasible,prefix-coverage;suffix-coverage
cufftdx-online,18,1,17,cufftdx-block,cufftdx-direct,cta,cta,full-dimension,full-dimension,resident-codelet,resident-codelet,128,256,4,8,recurrence,global-scratch,direct-strided-or-transpose,0,4096,0,16384,hardware-infeasible,prefix-coverage;suffix-coverage
cufftdx-online,18,1,17,cufftdx-block,cufftdx-direct,cta,cta,full-dimension,full-dimension,resident-codelet,resident-codelet,128,256,4,16,table,global-scratch,direct-strided-or-transpose,0,4096,0,32768,hardware-infeasible,prefix-coverage;suffix-coverage
cufftdx-online,18,1,17,cufftdx-block,cufftdx-direct,cta,cta,full-dimension,full-dimension,resident-codelet,resident-codelet,128,256,4,16,recurrence,global-scratch,direct-strided-or-transpose,0,4096,0,32768,hardware-infeasible,prefix-coverage;suffix-coverage
cufftdx-online,18,1,17,cufftdx-block,cufftdx-direct,cta,cta,full-dimension,full-dimension,resident-codelet,resident-codelet,128,256,8,4,table,global-scratch,direct-strided-or-transpose,0,8192,0,8192,hardware-infeasible,prefix-coverage;suffix-coverage
cufftdx-online,18,1,17,cufftdx-block,cufftdx-direct,cta,cta,full-dimension,full-dimension,resident-codelet,resident-codelet,128,256,8,4,recurrence,global-scratch,direct-strided-or-transpose,0,8192,0,8192,hardware-infeasible,prefix-coverage;suffix-coverage
cufftdx-online,18,1,17,cufftdx-block,cufftdx-direct,cta,cta,full-dimension,full-dimension,resident-codelet,resident-codelet,128,256,8,8,table,global-scratch,direct-strided-or-transpose,0,8192,0,16384,hardware-infeasible,prefix-coverage;suffix-coverage
cufftdx-online,18,1,17,cufftdx-block,cufftdx-direct,cta,cta,full-dimension,full-dimension,resident-codelet,resident-codelet,128,256,8,8,recurrence,global-scratch,direct-strided-or-transpose,0,8192,0,16384,hardware-infeasible,prefix-coverage;suffix-coverage
