trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,fft_core,stage_space,stage_handoff,tile_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,11,2048,2048,1,2048,20,100,5.495104,0.086211,5.180992,23755791.485686,267.585235,48651860962.684853,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,11,2048,2048,1,2048,20,100,5.460640,0.086118,5.200032,23781212.815098,267.871581,48703923845.321274,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,11,2048,2048,1,2048,20,100,5.458368,0.086231,5.176544,23750148.996339,267.521678,48640305144.503235,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,11,2048,2048,1,2048,20,100,5.474752,0.086292,5.216064,23733239.648488,267.331211,48605674800.104301,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,11,2048,2048,1,2048,20,100,5.470240,0.086313,5.174272,23727605.817658,267.267752,48594136714.564087,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,256,0,0,0,0,11,2048,2048,1,2048,20,100,5.466560,0.085637,5.439616,23914862.419241,269.377010,48977638234.604774,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,256,0,0,0,0,11,2048,2048,1,2048,20,100,5.519584,0.085709,5.451296,23894863.447048,269.151742,48936680339.554436,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,256,0,0,0,0,11,2048,2048,1,2048,20,100,5.493216,0.085565,5.240352,23934896.980155,269.602680,49018669015.358315,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,256,0,0,0,0,11,2048,2048,1,2048,20,100,5.476000,0.085617,5.191040,23920585.535280,269.441475,48989359176.253975,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,256,0,0,0,0,11,2048,2048,1,2048,20,100,5.479232,0.085504,5.719776,23952097.091778,269.796422,49053894843.960938,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,512,0,0,0,0,11,2048,2048,1,2048,20,100,5.489184,0.088934,5.178144,23028209.767075,259.389755,47161773602.968956,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,512,0,0,0,0,11,2048,2048,1,2048,20,100,5.520736,0.089016,6.227424,23007015.648455,259.151024,47118368048.036552,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,512,0,0,0,0,11,2048,2048,1,2048,20,100,5.487552,0.088893,5.300608,23038819.545194,259.509263,47183502428.558167,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,512,0,0,0,0,11,2048,2048,1,2048,20,100,5.467168,0.088975,5.179328,23017607.828994,259.270335,47140060833.779335,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,512,0,0,0,0,11,2048,2048,1,2048,20,100,5.495104,0.089108,5.658976,22983223.652767,258.883031,47069642040.866272,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,1024,0,0,0,0,11,2048,2048,1,2048,20,100,5.475488,0.107909,5.790912,18978934.585422,213.778719,38868858030.944847,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,1024,0,0,0,0,11,2048,2048,1,2048,20,100,5.472864,0.108227,5.282976,18923266.145910,213.151670,38754849066.824326,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,1024,0,0,0,0,11,2048,2048,1,2048,20,100,5.487104,0.108093,5.182592,18946570.577340,213.414171,38802576542.392174,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,1024,0,0,0,0,11,2048,2048,1,2048,20,100,5.525824,0.107909,5.338176,18978934.585422,213.778719,38868858030.944847,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,1024,0,0,0,0,11,2048,2048,1,2048,20,100,5.505536,0.108052,5.310080,18953752.020178,213.495063,38817284137.324455,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,12,4096,1024,1,4096,20,100,5.458368,0.090030,5.179296,11373976.143764,279.526838,46587806284.857544,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,12,4096,1024,1,4096,20,100,5.495040,0.090092,5.190784,11366218.774252,279.336193,46556032099.335426,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,12,4096,1024,1,4096,20,100,5.495840,0.090051,6.592672,11371389.177671,279.463260,46577210071.741241,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,12,4096,1024,1,4096,20,100,5.479040,0.089958,5.275904,11383039.330423,279.749575,46624929097.412857,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,12,4096,1024,1,4096,20,100,5.498464,0.090020,5.196064,11375270.539000,279.558649,46593108127.744995,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,256,0,0,0,0,12,4096,1024,1,4096,20,100,5.546976,0.089385,5.611104,11456066.224302,281.544284,46924047254.741875,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,256,0,0,0,0,12,4096,1024,1,4096,20,100,5.538080,0.089416,5.193024,11452129.540037,281.447536,46907922595.989555,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,256,0,0,0,0,12,4096,1024,1,4096,20,100,5.468896,0.089457,5.254464,11446885.469974,281.318657,46886442885.012894,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,256,0,0,0,0,12,4096,1024,1,4096,20,100,5.586624,0.089446,6.360288,11448196.513988,281.350878,46891812921.293304,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,256,0,0,0,0,12,4096,1024,1,4096,20,100,5.496256,0.089457,5.407328,11446885.469974,281.318657,46886442885.012894,0.000000,-1
