trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,fft_core,stage_space,stage_handoff,tile_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,11,2048,2048,1,2048,20,100,5.538368,0.086303,5.328768,23730422.398692,267.299478,48599905072.521049,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,11,2048,2048,1,2048,20,100,5.550976,0.086303,5.238304,23730422.398692,267.299478,48599905072.521049,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,11,2048,2048,1,2048,20,100,5.562560,0.086149,5.527616,23772732.995530,267.776064,48686557174.845169,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,11,2048,2048,1,2048,20,100,5.555136,0.086180,5.207488,23764259.221213,267.680616,48669202885.044540,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,11,2048,2048,1,2048,20,100,5.558496,0.086231,5.218304,23750148.996339,267.521678,48640305144.503235,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,256,0,0,0,0,11,2048,2048,1,2048,20,100,5.603232,0.085647,5.170720,23912001.888060,269.344789,48971779866.747681,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,256,0,0,0,0,11,2048,2048,1,2048,20,100,5.638976,0.085658,5.649568,23909146.200393,269.312623,48965931418.404892,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,256,0,0,0,0,11,2048,2048,1,2048,20,100,5.575968,0.085535,5.577408,23943494.989798,269.699528,49036277739.105728,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,256,0,0,0,0,11,2048,2048,1,2048,20,100,5.612896,0.085729,6.190656,23889152.631190,269.087415,48924984588.677422,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,256,0,0,0,0,11,2048,2048,1,2048,20,100,5.547776,0.085637,5.607936,23914862.419241,269.377010,48977638234.604774,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,512,0,0,0,0,11,2048,2048,1,2048,20,100,5.489728,0.089057,5.106016,22996435.135889,259.031845,47096699158.300636,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,512,0,0,0,0,11,2048,2048,1,2048,20,100,5.478496,0.089068,5.107072,22993792.008994,259.002073,47091286034.420013,0.000000,-1
