trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,fft_core,stage_space,stage_handoff,tile_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,11,2048,2048,1,2048,20,100,5.498848,0.086190,5.191328,23761434.602697,267.648799,48663418066.323509,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,11,2048,2048,1,2048,20,100,5.469952,0.086231,5.178144,23750148.996339,267.521678,48640305144.503235,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,11,2048,2048,1,2048,20,100,5.458368,0.086180,5.179936,23764259.221213,267.680616,48669202885.044540,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,11,2048,2048,1,2048,20,100,5.476608,0.086241,5.634336,23747327.730909,267.489900,48634527192.902634,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,11,2048,2048,1,2048,20,100,5.469120,0.086252,5.193504,23744509.186771,267.458151,48628754814.507309,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,256,0,0,0,0,11,2048,2048,1,2048,20,100,5.458720,0.085678,5.174560,23903430.634869,269.248243,48954225940.212273,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,256,0,0,0,0,11,2048,2048,1,2048,20,100,5.474400,0.085668,5.659424,23906287.036437,269.280417,48960075850.623184,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,256,0,0,0,0,11,2048,2048,1,2048,20,100,5.467968,0.085555,5.719904,23937760.907426,269.634939,49024534338.409264,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,256,0,0,0,0,11,2048,2048,1,2048,20,100,5.472544,0.085729,5.674720,23889152.631190,269.087415,48924984588.677422,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,256,0,0,0,0,11,2048,2048,1,2048,20,100,5.476032,0.085729,5.608160,23889152.631190,269.087415,48924984588.677422,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,512,0,0,0,0,11,2048,2048,1,2048,20,100,5.467104,0.088996,5.838624,23012312.446426,259.210687,47129215890.279465,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,512,0,0,0,0,11,2048,2048,1,2048,20,100,5.470752,0.088873,5.711808,23044130.999102,259.569092,47194380286.161865,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,512,0,0,0,0,11,2048,2048,1,2048,20,100,5.480224,0.089160,5.715072,22970023.502003,258.734345,47042608132.101372,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,512,0,0,0,0,11,2048,2048,1,2048,20,100,5.468320,0.089119,5.642368,22980581.640542,258.853272,47064231199.830925,0.000000,-1
