trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,complex_multiply,local_exchange,fft_core,stage_space,stage_handoff,tile_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,32,0,0,0,0,3,8,524288,1,8,20,100,5.482688,0.861768,5.117312,608386727.225820,7.300641,4867093817.806563,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,32,0,0,0,0,3,8,524288,1,8,20,100,5.521632,0.784507,5.108800,668302584.258951,8.019631,5346420674.071608,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,32,0,0,0,0,3,8,524288,1,8,20,100,5.496320,0.743004,5.114560,705632673.480277,8.467592,5645061387.842213,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,32,0,0,0,0,3,8,524288,1,8,20,100,5.494112,0.743076,5.122400,705564582.236388,8.466775,5644516657.891106,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,32,0,0,0,0,3,8,524288,1,8,20,100,5.536928,0.743147,5.136224,705496560.717218,8.465959,5643972485.737747,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,64,0,0,0,0,3,8,524288,1,8,20,100,5.494176,0.743147,5.104800,705496560.717218,8.465959,5643972485.737747,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,64,0,0,0,0,3,8,524288,1,8,20,100,5.510432,0.743168,5.117600,705477039.492261,8.465724,5643816315.938087,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,64,0,0,0,0,3,8,524288,1,8,20,100,5.486912,0.743199,5.106624,705447957.699876,8.465375,5643583661.599007,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,64,0,0,0,0,3,8,524288,1,8,20,100,5.558304,0.743240,5.121408,705409091.421527,8.464909,5643272731.372216,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,64,0,0,0,0,3,8,524288,1,8,20,100,5.528736,0.743240,5.109824,705409091.421527,8.464909,5643272731.372216,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,128,0,0,0,0,3,8,524288,1,8,20,100,5.537536,0.744335,5.123552,704370681.337537,8.452448,5634965450.700299,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,128,0,0,0,0,3,8,524288,1,8,20,100,5.543584,0.744335,5.109408,704370681.337537,8.452448,5634965450.700299,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,128,0,0,0,0,3,8,524288,1,8,20,100,5.511552,0.744325,5.109280,704380383.022242,8.452565,5635043064.177936,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,128,0,0,0,0,3,8,524288,1,8,20,100,5.514976,0.744315,5.110336,704390028.566734,8.452680,5635120228.533869,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,128,0,0,0,0,3,8,524288,1,8,20,100,5.544800,0.744325,5.108480,704380383.022242,8.452565,5635043064.177936,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,256,0,0,0,0,3,8,524288,1,8,20,100,5.625888,1.333647,5.167040,393123443.666310,4.717481,3144987549.330482,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,256,0,0,0,0,3,8,524288,1,8,20,100,5.544672,1.333617,5.153472,393132474.777082,4.717590,3145059798.216656,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,256,0,0,0,0,3,8,524288,1,8,20,100,5.546432,1.333647,5.169280,393123443.666310,4.717481,3144987549.330482,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,inverse,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,256,0,0,0,0,3,8,524288,1,8,20,100,5.605248,1.333606,5.158496,393135496.953500,4.717626,3145083975.628002,0.000000,-1
