trial,device,compute_capability,library,library_version,precision,direction,placement,logN,N,batch,warmup,repeat,plan_ms,kernel_ms,transforms_s,Gbutterfly_s,points_s,max_abs_error,relative_l2_error,correct
1,"Tesla V100-SXM2-16GB",7.0,cufft,10900,fp32,forward,in-place,3,8,524288,20,100,0.368061000,0.087992318,5958338319.392107964,71.500059833,47666706555.136863708,0.000000000,0.000000000,1
1,"Tesla V100-SXM2-16GB",7.0,vkfft,10304,fp32,forward,in-place,3,8,524288,20,100,171.952373000,0.083732478,6261465210.579137802,75.137582527,50091721684.633102417,0.000001066,0.000000053,1
1,"Tesla V100-SXM2-16GB",7.0,cufft,10900,fp32,forward,in-place,8,256,16384,20,100,0.383828000,0.084131844,194741956.843902975,199.415763808,49853940952.039161682,0.000000000,0.000000000,1
1,"Tesla V100-SXM2-16GB",7.0,vkfft,10304,fp32,forward,in-place,8,256,16384,20,100,208.151196000,0.084162563,194670877.398835063,199.342978456,49835744614.101776123,0.000017278,0.000000267,1
1,"Tesla V100-SXM2-16GB",7.0,cufft,10900,fp32,forward,in-place,12,4096,1024,20,100,0.380693000,0.089702398,11415525.421498895,280.547952759,46757992126.459472656,0.000000000,0.000000000,1
1,"Tesla V100-SXM2-16GB",7.0,vkfft,10304,fp32,forward,in-place,12,4096,1024,20,100,224.504207000,0.088483840,11572734.607488990,284.411525714,47401920952.274902344,0.000130371,0.000000466,1
1,"Tesla V100-SXM2-16GB",7.0,cufft,10900,fp32,forward,in-place,16,65536,64,20,100,0.489306000,0.180951044,353686.823784965,185.433757469,23179219683.571487427,0.000000000,0.000000000,1
1,"Tesla V100-SXM2-16GB",7.0,vkfft,10304,fp32,forward,in-place,16,65536,64,20,100,427.908486000,0.195676148,327071.033820392,171.479418180,21434927272.453235626,0.000587017,0.000000538,1
1,"Tesla V100-SXM2-16GB",7.0,cufft,10900,fp32,forward,in-place,20,1048576,4,20,100,0.462412000,0.223221764,17919.399653902,187.898524115,18789852411.490158081,0.000000000,0.000000000,1
1,"Tesla V100-SXM2-16GB",7.0,vkfft,10304,fp32,forward,in-place,20,1048576,4,20,100,802.827694000,0.217251837,18411.812072877,193.061842561,19306184256.129077911,0.002894508,0.000000675,1
