trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,fft_core,stage_space,stage_handoff,tile_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,5,1,0,0,14,16384,256,1,16384,20,100,5.598240,0.606618,5.128672,422012.174874,48.399732,6914247473.131425,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,5,1,0,0,14,16384,256,1,16384,20,100,5.557632,0.552499,5.107232,463349.108108,53.140583,7591511787.244868,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,5,1,0,0,14,16384,256,1,16384,20,100,5.589888,0.522209,5.109440,490224.908911,56.222914,8031844907.598920,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,5,1,0,0,14,16384,256,1,16384,20,100,5.565152,0.523418,5.104768,489093.228598,56.093124,8013303457.347672,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,5,1,0,0,14,16384,256,1,16384,20,100,5.569120,0.522025,5.118784,490398.035653,56.242770,8034681416.132335,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,7,1,0,0,14,16384,256,1,16384,20,100,5.573056,0.475822,5.114176,538016.247713,61.704007,8814858202.535284,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,7,1,0,0,14,16384,256,1,16384,20,100,5.565312,0.475740,5.111712,538108.865076,61.714630,8816375645.403728,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,7,1,0,0,14,16384,256,1,16384,20,100,5.555008,0.475668,5.112000,538189.948290,61.723929,8817704112.775398,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,7,1,0,0,14,16384,256,1,16384,20,100,5.524224,0.475771,5.104576,538074.146681,61.710648,8815806819.219553,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,7,1,0,0,14,16384,256,1,16384,20,100,5.539168,0.475750,5.109888,538097.303016,61.713303,8816186212.609814,0.000000,-1
