trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,complex_multiply,local_exchange,fft_core,stage_space,stage_handoff,tile_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,32,0,0,0,0,3,8,524288,1,8,20,100,5.492864,0.861778,5.103424,608379447.574894,7.300553,4867035580.599154,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,32,0,0,0,0,3,8,524288,1,8,20,100,5.492640,0.784476,5.104640,668328785.580420,8.019945,5346630284.643356,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,32,0,0,0,0,3,8,524288,1,8,20,100,5.495968,0.743424,5.109088,705234161.339289,8.462810,5641873290.714315,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,32,0,0,0,0,3,8,524288,1,8,20,100,5.469472,0.743014,5.121568,705622937.268650,8.467475,5644983498.149203,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,32,0,0,0,0,3,8,524288,1,8,20,100,5.494560,0.743127,5.113024,705515969.846650,8.466192,5644127758.773198,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,64,0,0,0,0,3,8,524288,1,8,20,100,5.477952,0.743147,5.106624,705496560.717218,8.465959,5643972485.737747,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,64,0,0,0,0,3,8,524288,1,8,20,100,5.478240,0.743178,5.118720,705467364.155098,8.465608,5643738913.240784,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,64,0,0,0,0,3,8,524288,1,8,20,100,5.475360,0.743178,5.111776,705467364.155098,8.465608,5643738913.240784,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,64,0,0,0,0,3,8,524288,1,8,20,100,5.484320,0.743189,5.127168,705457632.504731,8.465492,5643661060.037851,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,64,0,0,0,0,3,8,524288,1,8,20,100,5.455872,0.743229,5.106752,705418765.160348,8.465025,5643350121.282786,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,128,0,0,0,0,3,8,524288,1,8,20,100,5.462976,0.744305,5.110816,704399730.784409,8.452797,5635197846.275273,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,128,0,0,0,0,3,8,524288,1,8,20,100,5.456832,0.744325,5.104032,704380383.022242,8.452565,5635043064.177936,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,128,0,0,0,0,3,8,524288,1,8,20,100,5.460800,0.744325,5.114048,704380383.022242,8.452565,5635043064.177936,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,128,0,0,0,0,3,8,524288,1,8,20,100,5.465664,0.744284,5.106656,704419136.021608,8.453030,5635353088.172867,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,128,0,0,0,0,3,8,524288,1,8,20,100,5.461088,0.744294,5.106752,704409433.269364,8.452913,5635275466.154910,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,256,0,0,0,0,3,8,524288,1,8,20,100,5.463168,1.337508,5.104640,391988764.097275,4.703865,3135910112.778200,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,256,0,0,0,0,3,8,524288,1,8,20,100,5.457376,1.333647,5.109504,393123443.666310,4.717481,3144987549.330482,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,256,0,0,0,0,3,8,524288,1,8,20,100,5.459168,1.333617,5.108352,393132474.777082,4.717590,3145059798.216656,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,256,0,0,0,0,3,8,524288,1,8,20,100,5.458848,1.333555,5.106496,393150608.532601,4.717807,3145204868.260808,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,scalar,0,named-barrier,256,0,0,0,0,3,8,524288,1,8,20,100,5.457728,1.333678,5.105856,393114342.694296,4.717372,3144914741.554366,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,shared,scalar,0,named-barrier,0,0,0,0,0,3,8,524288,1,8,20,100,5.469056,0.086344,5.115776,6072106553.579595,72.865279,48576852428.636757,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,shared,scalar,0,named-barrier,0,0,0,0,0,3,8,524288,1,8,20,100,5.457792,0.086282,5.113088,6076429687.810320,72.917156,48611437502.482559,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,shared,scalar,0,named-barrier,0,0,0,0,0,3,8,524288,1,8,20,100,5.489440,0.086313,5.118720,6074267089.320511,72.891205,48594136714.564087,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,shared,scalar,0,named-barrier,0,0,0,0,0,3,8,524288,1,8,20,100,5.458048,0.086303,5.107264,6074988134.065131,72.899858,48599905072.521049,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,shared,scalar,0,named-barrier,0,0,0,0,0,3,8,524288,1,8,20,100,5.487936,0.086333,5.116320,6072826561.367711,72.873919,48582612490.941689,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,32,0,0,0,0,3,8,524288,1,8,20,100,5.458144,0.090767,5.110528,5776173207.325963,69.314078,46209385658.607704,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,32,0,0,0,0,3,8,524288,1,8,20,100,5.455296,0.090655,5.104320,5783350538.580658,69.400206,46266804308.645264,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,32,0,0,0,0,3,8,524288,1,8,20,100,5.459840,0.090860,5.106880,5770314598.677913,69.243775,46162516789.423302,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,32,0,0,0,0,3,8,524288,1,8,20,100,5.456864,0.090849,5.107840,5770965283.761467,69.251583,46167722270.091736,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,32,0,0,0,0,3,8,524288,1,8,20,100,5.459904,0.090798,5.112192,5774219016.389655,69.290628,46193752131.117241,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,64,0,0,0,0,3,8,524288,1,8,20,100,5.482592,0.091771,5.106176,5713010493.442910,68.556126,45704083947.543282,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,64,0,0,0,0,3,8,524288,1,8,20,100,5.458944,0.091720,5.107232,5716199185.085011,68.594390,45729593480.680092,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,radix8,four-mul,shared,cta-dft8,0,named-barrier,64,0,0,0,0,3,8,524288,1,8,20,100,5.466592,0.091853,5.110464,5707915331.672869,68.494984,45663322653.382950,0.000000,-1
