logN,N,batch,backend,compute_unit,fft_core,tile_threads,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,throughput_vs_cufft
3,8,524288,temporal-tile,radix8,cta-dft8,32,5,0.090798,0.090655,0.090860,0.950605
3,8,524288,cufft,auto,cufft,0,5,0.086313,0.086282,0.086344,1.000000
3,8,524288,temporal-tile,auto,cufftdx-block,32,5,0.149279,0.149043,0.149463,0.578199
3,8,524288,temporal-tile,radix8,scalar,64,5,0.743178,0.743147,0.743229,0.116140
4,16,262144,temporal-tile,radix8,cta-dft8,64,5,0.102072,0.101990,0.102154,0.825545
4,16,262144,cufft,auto,cufft,0,5,0.084265,0.084204,0.084316,1.000000
4,16,262144,temporal-tile,auto,cufftdx-block,32,5,0.099113,0.099041,0.099164,0.850191
4,16,262144,temporal-tile,radix8,scalar,32,5,0.382372,0.382362,0.433224,0.220374
5,32,131072,temporal-tile,radix8,cta-dft8,64,5,0.099830,0.099717,0.099871,0.848903
5,32,131072,cufft,auto,cufft,0,5,0.084746,0.084685,0.084869,1.000000
5,32,131072,temporal-tile,auto,cufftdx-block,32,5,0.084808,0.084726,0.084838,0.999269
5,32,131072,temporal-tile,radix8,scalar,64,5,0.189624,0.189573,0.189655,0.446916
6,64,65536,temporal-tile,radix8,cta-dft8,32,5,0.092037,0.091904,0.092211,0.914002
6,64,65536,cufft,auto,cufft,0,5,0.084122,0.084070,0.084163,1.000000
6,64,65536,temporal-tile,auto,cufftdx-block,32,5,0.084019,0.083978,0.084060,1.001226
6,64,65536,temporal-tile,radix8,scalar,32,5,0.097444,0.097413,0.097505,0.863286
7,128,32768,temporal-tile,radix8,cta-dft8,64,5,0.095672,0.095580,0.095785,0.883655
7,128,32768,cufft,auto,cufft,0,5,0.084541,0.084511,0.084613,1.000000
7,128,32768,temporal-tile,auto,cufftdx-block,32,5,0.084490,0.084378,0.084675,1.000604
7,128,32768,temporal-tile,radix8,scalar,32,5,0.088525,0.088453,0.088566,0.954996
7,128,32768,temporal-tile,auto,turbofft-generated,32,5,0.087634,0.087562,0.087654,0.964705
8,256,16384,temporal-tile,radix8,cta-dft8,64,5,0.101601,0.101407,0.101908,0.828260
8,256,16384,cufft,auto,cufft,0,5,0.084152,0.084142,0.084214,1.000000
8,256,16384,temporal-tile,auto,cufftdx-block,32,5,0.084736,0.084593,0.084828,0.993108
8,256,16384,temporal-tile,radix8,scalar,64,5,0.110838,0.110510,0.110920,0.759234
8,256,16384,temporal-tile,auto,turbofft-generated,32,5,0.087388,0.087296,0.087450,0.962970
9,512,8192,temporal-tile,radix8,cta-dft8,64,5,0.101540,0.101437,0.101775,0.836321
9,512,8192,cufft,auto,cufft,0,5,0.084920,0.084879,0.085012,1.000000
9,512,8192,temporal-tile,auto,cufftdx-block,32,5,0.084756,0.084705,0.084808,1.001935
9,512,8192,temporal-tile,radix8,scalar,128,5,0.106752,0.106322,0.106793,0.795489
9,512,8192,temporal-tile,auto,turbofft-generated,32,5,0.083702,0.083610,0.083712,1.014552
10,1024,4096,temporal-tile,radix8,cta-dft8,128,5,0.107971,0.107909,0.108155,0.795612
10,1024,4096,cufft,auto,cufft,0,5,0.085903,0.085780,0.085903,1.000000
10,1024,4096,temporal-tile,auto,cufftdx-block,32,5,0.084808,0.084787,0.085002,1.012912
10,1024,4096,temporal-tile,radix8,scalar,256,5,0.110070,0.109353,0.114381,0.780440
10,1024,4096,temporal-tile,auto,turbofft-generated,32,5,0.186931,0.186460,0.187372,0.459544
