trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,fft_core,stage_space,stage_handoff,tile_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,6,1,0,0,12,4096,1024,1,4096,20,100,5.476800,0.519823,5.131616,1969900.108105,48.412265,8068710842.796187,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,6,1,0,0,12,4096,1024,1,4096,20,100,5.475552,0.474358,5.122624,2158708.256337,53.052414,8842069017.954796,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,6,1,0,0,12,4096,1024,1,4096,20,100,5.470592,0.474368,5.113440,2158661.738146,53.051271,8841878479.444181,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,6,1,0,0,12,4096,1024,1,4096,20,100,5.528192,0.461804,5.110016,2217393.205213,54.494655,9082442568.551304,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,6,1,0,0,12,4096,1024,1,4096,20,100,5.460544,0.448707,5.109824,2282115.178752,56.085263,9347543772.167719,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,12,4096,1024,1,4096,20,100,5.461984,0.088750,5.103296,11538017.862908,283.558327,47259721166.472939,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,12,4096,1024,1,4096,20,100,5.456128,0.088822,5.107680,11528706.309087,283.329486,47221581042.021461,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,12,4096,1024,1,4096,20,100,5.455008,0.088678,5.104352,11547344.470478,283.787538,47297922951.077415,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,12,4096,1024,1,4096,20,100,5.456896,0.088699,5.110560,11544677.078963,283.721984,47286997315.431557,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,12,4096,1024,1,4096,20,100,5.459712,0.088832,5.107808,11527377.728222,283.296835,47216139174.797523,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,temporal-tile,auto,four-mul,table,shared,cufftdx-direct,0,named-barrier,256,0,0,0,0,12,4096,1024,1,4096,20,100,5.486944,0.089692,5.114080,11416828.343057,280.579973,46763328893.161629,0.000000,-1
