trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,fft_core,stage_space,stage_handoff,tile_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,6,1,0,0,12,4096,1024,1,4096,20,100,5.530752,0.519813,5.113376,1969938.733522,48.413214,8068869052.504313,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,6,1,0,0,12,4096,1024,1,4096,20,100,5.556864,0.474327,5.110272,2158847.958582,53.055847,8842641238.351761,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,6,1,0,0,12,4096,1024,1,4096,20,100,5.519200,0.474337,5.106464,2158801.434370,53.054704,8842450675.178961,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,6,1,0,0,12,4096,1024,1,4096,20,100,5.466048,0.448676,5.112160,2282271.310854,56.089100,9348183289.258106,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,6,1,0,0,12,4096,1024,1,4096,20,100,5.469920,0.448758,5.103936,2281854.803995,56.078864,9346477277.163858,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,12,4096,1024,1,4096,20,100,5.488832,0.088771,5.106144,11535355.746147,283.492903,47248817136.219704,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,12,4096,1024,1,4096,20,100,5.476064,0.088812,5.103424,11530035.196237,283.362145,47227024163.788147,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,12,4096,1024,1,4096,20,100,5.505664,0.088893,5.107936,11519409.772597,283.101015,47183502428.558167,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,12,4096,1024,1,4096,20,100,5.468416,0.088863,5.122464,11523391.889949,283.198879,47199813181.230110,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,12,4096,1024,1,4096,20,100,5.494016,0.088852,5.110208,11524720.518536,283.231531,47205255243.922935,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,named-barrier,32,6,1,0,0,12,4096,1024,1,4096,20,100,5.465440,0.213320,5.115872,4800307.016339,117.972345,19662057538.925323,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,named-barrier,32,6,1,0,0,12,4096,1024,1,4096,20,100,5.455904,0.213473,5.108448,4796853.369784,117.887468,19647911402.634197,0.000000,-1
