trial,device,compute_capability,operator,precision,direction,normalization,placement,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,fft_core,stage_space,stage_handoff,tile_threads,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,6,1,0,0,12,4096,1024,1,4096,20,100,5.486080,0.519834,5.103520,1969861.032470,48.411305,8068550788.995433,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,6,1,0,0,12,4096,1024,1,4096,20,100,5.495296,0.452618,5.105792,2262392.247020,55.600552,9266758643.795349,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,6,1,0,0,12,4096,1024,1,4096,20,100,5.491072,0.448707,5.115168,2282115.178752,56.085263,9347543772.167719,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,6,1,0,0,12,4096,1024,1,4096,20,100,5.523392,0.448748,5.113248,2281906.783265,56.080141,9346690184.254616,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,radix4,four-mul,table,shared,scalar,0,named-barrier,256,6,1,0,0,12,4096,1024,1,4096,20,100,5.540288,0.448758,5.106816,2281854.803995,56.078864,9346477277.163858,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,12,4096,1024,1,4096,20,100,5.480320,0.088740,5.112224,11539348.897692,283.591039,47265173084.944832,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,12,4096,1024,1,4096,20,100,5.503680,0.088852,5.109152,11524720.518536,283.231531,47205255243.922935,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,12,4096,1024,1,4096,20,100,5.510592,0.088812,5.111456,11530035.196237,283.362145,47227024163.788147,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,12,4096,1024,1,4096,20,100,5.510208,0.089047,5.112096,11499539.435253,282.612681,47102113526.797043,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,cufft,auto,four-mul,table,shared,scalar,0,named-barrier,0,0,0,0,0,12,4096,1024,1,4096,20,100,5.508192,0.088996,5.122496,11506156.223213,282.775295,47129215890.279465,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,named-barrier,32,6,1,0,0,12,4096,1024,1,4096,20,100,5.434080,0.212675,5.106848,4814868.354948,118.330205,19721700781.865463,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,named-barrier,32,6,1,0,0,12,4096,1024,1,4096,20,100,5.535584,0.212326,5.114880,4822763.613094,118.524239,19754039759.234467,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,named-barrier,32,6,1,0,0,12,4096,1024,1,4096,20,100,5.497216,0.212726,5.111136,4813709.477252,118.301724,19716954018.823486,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,named-barrier,32,6,1,0,0,12,4096,1024,1,4096,20,100,5.534400,0.212664,5.102944,4815100.129971,118.335901,19722650132.360626,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,named-barrier,32,6,1,0,0,12,4096,1024,1,4096,20,100,5.480576,0.212972,5.124512,4808154.889816,118.165215,19694202428.686375,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,6,1,0,0,12,4096,1024,1,4096,20,100,5.473024,0.224707,5.119136,4557054.312517,111.994167,18665694464.068958,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,6,1,0,0,12,4096,1024,1,4096,20,100,5.469248,0.224297,5.108320,4565376.242882,112.198687,18699781090.844635,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,6,1,0,0,12,4096,1024,1,4096,20,100,5.481120,0.224061,5.111040,4570175.251860,112.316627,18719437831.619949,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,6,1,0,0,12,4096,1024,1,4096,20,100,5.482624,0.224532,5.111680,4560587.604597,112.081001,18680166828.431339,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,named-barrier,32,6,1,0,0,12,4096,1024,1,4096,20,100,5.512832,0.224369,5.110688,4563917.529807,112.162837,18693806202.090771,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-resident,0,named-barrier,256,6,1,0,0,12,4096,1024,1,4096,20,100,5.473792,0.217108,5.114464,4716536.323955,115.913597,19318932782.919418,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-resident,0,named-barrier,256,6,1,0,0,12,4096,1024,1,4096,20,100,5.465184,0.217303,5.123744,4712313.002551,115.809804,19301634058.450546,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-resident,0,named-barrier,256,6,1,0,0,12,4096,1024,1,4096,20,100,5.477312,0.217252,5.111872,4713423.890657,115.837106,19306184256.129078,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-resident,0,named-barrier,256,6,1,0,0,12,4096,1024,1,4096,20,100,5.500544,0.217160,5.112480,4715424.291990,115.886267,19314377899.989563,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp32,forward,none,out-of-place,online-reorder,auto,four-mul,table,shared,cufftdx-resident,0,named-barrier,256,6,1,0,0,12,4096,1024,1,4096,20,100,5.505248,0.217211,5.114048,4714312.460862,115.858943,19309823839.692398,0.000000,-1
