trial,device,compute_capability,operator,precision,direction,normalization,placement,auto_select,backend,compute_unit,complex_multiply,cross_twiddle,direct_boundary,decomposition_count,stages_per_decomposition,segment_threads,segment_ept,boundary_twiddles,boundary_layouts,boundary_residencies,execution_group_count,group_threads,group_ept,local_exchange,shared_layout,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,256x128,4x8,recurrence,direct-strided,global-scratch,2,256x128,4x8,shared,linear,cufftdx-block,0,named-barrier,32,256,128,4,8,4,4,8,1,0,0,16,65536,64,1,65536,1000,100,10.965952,0.345027,10.137472,185492.970044,97.251738,12156467284.779268,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,256x128,4x8,recurrence,direct-strided,global-scratch,2,256x128,4x8,shared,linear,cufftdx-block,0,named-barrier,32,256,128,4,8,4,4,8,1,0,0,16,65536,64,1,65536,1000,100,10.973600,0.345108,10.125664,185448.935178,97.228651,12153581415.839609,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,256x128,4x8,recurrence,direct-strided,global-scratch,2,256x128,4x8,shared,linear,cufftdx-block,0,named-barrier,32,256,128,4,8,4,4,8,1,0,0,16,65536,64,1,65536,1000,100,10.945088,0.344904,10.116320,185559.053549,97.286385,12160798133.398058,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,256x128,4x8,recurrence,direct-strided,global-scratch,2,256x128,4x8,shared,linear,cufftdx-block,0,named-barrier,32,256,128,4,8,4,4,8,1,0,0,16,65536,64,1,65536,1000,100,11.033184,0.345201,10.125696,185399.414936,97.202688,12150336057.264551,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,256x128,4x8,recurrence,direct-strided,global-scratch,2,256x128,4x8,shared,linear,cufftdx-block,0,named-barrier,32,256,128,4,8,4,4,8,1,0,0,16,65536,64,1,65536,1000,100,11.021760,0.344791,10.122144,185619.680832,97.318171,12164771403.004875,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,256x128,4x8,recurrence,direct-strided,global-scratch,2,256x128,4x8,shared,xor-swizzle,cufftdx-block,0,named-barrier,32,256,128,4,8,4,4,8,1,0,0,16,65536,64,1,65536,1000,100,10.983648,0.342108,10.142048,187075.338840,98.081355,12260169406.204676,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,256x128,4x8,recurrence,direct-strided,global-scratch,2,256x128,4x8,shared,xor-swizzle,cufftdx-block,0,named-barrier,32,256,128,4,8,4,4,8,1,0,0,16,65536,64,1,65536,1000,100,10.962912,0.342057,10.123872,187103.340990,98.096036,12262004555.103899,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,256x128,4x8,recurrence,direct-strided,global-scratch,2,256x128,4x8,shared,xor-swizzle,cufftdx-block,0,named-barrier,32,256,128,4,8,4,4,8,1,0,0,16,65536,64,1,65536,1000,100,10.950656,0.341893,10.116544,187193.010757,98.143049,12267881152.961519,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,256x128,4x8,recurrence,direct-strided,global-scratch,2,256x128,4x8,shared,xor-swizzle,cufftdx-block,0,named-barrier,32,256,128,4,8,4,4,8,1,0,0,16,65536,64,1,65536,1000,100,10.954432,0.342170,10.121760,187041.740805,98.063740,12257967525.415703,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,256x128,4x8,recurrence,direct-strided,global-scratch,2,256x128,4x8,shared,xor-swizzle,cufftdx-block,0,named-barrier,32,256,128,4,8,4,4,8,1,0,0,16,65536,64,1,65536,1000,100,10.946656,0.342098,10.122560,187080.928821,98.084286,12260535751.183170,0.000000,-1
