trial,device,compute_capability,operator,precision,direction,normalization,placement,auto_select,backend,compute_unit,complex_multiply,cross_twiddle,direct_boundary,decomposition_count,stages_per_decomposition,segment_threads,segment_ept,boundary_twiddles,boundary_layouts,boundary_residencies,execution_group_count,group_threads,group_ept,local_exchange,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,table,direct-strided,2,8x8,128x128,4x4,table,direct-strided,global-scratch,2,128x128,4x4,shared,cufftdx-block,0,named-barrier,32,128,128,4,4,2,2,8,1,0,0,16,65536,64,1,65536,100,50,10.933152,0.446136,10.123872,143453.909327,75.211163,9401395401.686230,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,table,direct-strided,2,8x8,128x128,4x4,table,direct-strided,global-scratch,2,128x128,4x4,shared,cufftdx-block,0,named-barrier,32,128,128,4,4,2,2,8,1,0,0,16,65536,64,1,65536,100,50,10.921024,0.444477,10.117920,143989.310581,75.491868,9436483458.256527,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,table,direct-strided,2,8x8,128x128,4x4,table,direct-strided,global-scratch,2,128x128,4x4,shared,cufftdx-block,0,named-barrier,32,128,128,4,4,2,2,8,1,0,0,16,65536,64,1,65536,100,50,10.924256,0.443679,10.120896,144248.527159,75.627772,9453471475.909641,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,table,direct-strided,2,8x8,128x128,4x8,table,direct-strided,global-scratch,2,128x128,4x8,shared,cufftdx-block,0,named-barrier,32,128,128,4,8,2,4,8,1,0,0,16,65536,64,1,65536,100,50,10.922592,0.419922,10.117120,152409.291509,79.906363,9988295328.328876,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,table,direct-strided,2,8x8,128x128,4x8,table,direct-strided,global-scratch,2,128x128,4x8,shared,cufftdx-block,0,named-barrier,32,128,128,4,8,2,4,8,1,0,0,16,65536,64,1,65536,100,50,10.950496,0.420147,10.139360,152327.561440,79.863513,9982939066.548607,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,table,direct-strided,2,8x8,128x128,4x8,table,direct-strided,global-scratch,2,128x128,4x8,shared,cufftdx-block,0,named-barrier,32,128,128,4,8,2,4,8,1,0,0,16,65536,64,1,65536,100,50,10.943520,0.420291,10.123968,152275.606836,79.836273,9979534169.617809,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,table,direct-strided,2,8x8,128x256,4x4,table,direct-strided,global-scratch,2,128x256,4x4,shared,cufftdx-block,0,named-barrier,32,128,256,4,4,2,4,8,1,0,0,16,65536,64,1,65536,100,50,10.924672,0.421274,10.139488,151920.265412,79.649972,9956246514.054411,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,table,direct-strided,2,8x8,128x256,4x4,table,direct-strided,global-scratch,2,128x256,4x4,shared,cufftdx-block,0,named-barrier,32,128,256,4,4,2,4,8,1,0,0,16,65536,64,1,65536,100,50,10.909056,0.421396,10.126464,151875.966992,79.626747,9953343372.805685,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,table,direct-strided,2,8x8,128x256,4x4,table,direct-strided,global-scratch,2,128x256,4x4,shared,cufftdx-block,0,named-barrier,32,128,256,4,4,2,4,8,1,0,0,16,65536,64,1,65536,100,50,10.920224,0.421212,10.129344,151942.429689,79.661593,9957699072.123711,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,table,direct-strided,2,8x8,128x256,4x8,table,direct-strided,global-scratch,2,128x256,4x8,shared,cufftdx-block,0,named-barrier,32,128,256,4,8,2,8,8,1,0,0,16,65536,64,1,65536,100,50,10.938432,0.426332,10.129632,150117.686731,78.704902,9838112717.628822,0.000000,-1
