rank,operator,precision,direction,normalization,placement,logN,N,batch,element_stride,batch_stride,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,fft_core,stage_space,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,stage_handoff,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,median_Gbutterfly_s,slowdown_vs_best
1,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,32,256,128,4,8,4,4,8,1,0,0,named-barrier,3,0.384041,0.383775,0.437883,87.372016,1.000000
2,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,32,256,512,4,4,4,8,8,1,0,0,named-barrier,3,0.388956,0.388588,0.389059,86.267902,1.012798
3,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,32,256,256,4,8,4,8,8,1,0,0,named-barrier,3,0.389530,0.389427,0.446198,86.140901,1.014293
4,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,32,128,128,8,8,4,4,8,1,0,0,named-barrier,3,0.401981,0.401859,0.402063,83.472590,1.046714
5,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,32,128,256,8,4,4,4,8,1,0,0,named-barrier,3,0.403354,0.403005,0.403661,83.188626,1.050289
6,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,32,256,128,4,4,4,2,8,1,0,0,named-barrier,3,0.403784,0.403231,0.493015,83.100020,1.051409
7,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,32,256,256,4,4,4,4,8,1,0,0,named-barrier,3,0.405053,0.403804,0.468439,82.839519,1.054713
8,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,32,256,512,4,8,4,16,8,1,0,0,named-barrier,3,0.406036,0.405668,0.406323,82.638956,1.057273
9,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,32,128,512,8,4,4,8,8,1,0,0,named-barrier,3,0.407798,0.407511,0.407880,82.282036,1.061861
10,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,table,shared,cufftdx-block,0,32,128,256,8,8,4,8,8,1,0,0,named-barrier,3,0.408330,0.407921,0.408474,82.174743,1.063246
