trial,device,compute_capability,operator,precision,direction,normalization,placement,auto_select,backend,compute_unit,complex_multiply,cross_twiddle,direct_boundary,decomposition_count,stages_per_decomposition,segment_threads,segment_ept,boundary_twiddles,boundary_layouts,boundary_residencies,execution_group_count,group_threads,group_ept,local_exchange,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x128,4x4,recurrence,direct-strided,global-scratch,2,128x128,4x4,shared,cufftdx-block,0,named-barrier,32,128,128,4,4,2,2,8,1,0,0,16,65536,64,1,65536,100,50,10.966400,0.397046,10.134624,161190.500024,84.510245,10563780609.564287,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x128,4x4,recurrence,direct-strided,global-scratch,2,128x128,4x4,shared,cufftdx-block,0,named-barrier,32,128,128,4,4,2,2,8,1,0,0,16,65536,64,1,65536,100,50,10.952864,0.393871,10.139136,162489.610082,85.191353,10648919086.317030,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x128,4x4,recurrence,direct-strided,global-scratch,2,128x128,4x4,shared,cufftdx-block,0,named-barrier,32,128,128,4,4,2,2,8,1,0,0,16,65536,64,1,65536,100,50,10.952256,0.396370,10.118368,161465.324428,84.654332,10581791501.703463,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x128,4x8,recurrence,direct-strided,global-scratch,2,128x128,4x8,shared,cufftdx-block,0,named-barrier,32,128,128,4,8,2,4,8,1,0,0,16,65536,64,1,65536,100,50,10.943648,0.376095,10.112256,170169.907170,89.218040,11152255036.301182,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x128,4x8,recurrence,direct-strided,global-scratch,2,128x128,4x8,shared,cufftdx-block,0,named-barrier,32,128,128,4,8,2,4,8,1,0,0,16,65536,64,1,65536,100,50,10.934848,0.375787,10.112192,170309.019285,89.290975,11161371887.887514,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x128,4x8,recurrence,direct-strided,global-scratch,2,128x128,4x8,shared,cufftdx-block,0,named-barrier,32,128,128,4,8,2,4,8,1,0,0,16,65536,64,1,65536,100,50,10.940416,0.376197,10.125248,170123.573476,89.193748,11149218511.338713,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x256,4x4,recurrence,direct-strided,global-scratch,2,128x256,4x4,shared,cufftdx-block,0,named-barrier,32,128,256,4,4,2,4,8,1,0,0,16,65536,64,1,65536,100,50,10.978784,0.376750,10.134272,169873.884826,89.062839,11132854915.944654,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x256,4x4,recurrence,direct-strided,global-scratch,2,128x256,4x4,shared,cufftdx-block,0,named-barrier,32,128,256,4,4,2,4,8,1,0,0,16,65536,64,1,65536,100,50,10.952672,0.377160,10.132832,169689.398318,88.966115,11120764408.187853,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x256,4x4,recurrence,direct-strided,global-scratch,2,128x256,4x4,shared,cufftdx-block,0,named-barrier,32,128,256,4,4,2,4,8,1,0,0,16,65536,64,1,65536,100,50,10.946048,0.376730,10.124864,169883.130433,89.067687,11133460836.069323,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x256,4x8,recurrence,direct-strided,global-scratch,2,128x256,4x8,shared,cufftdx-block,0,named-barrier,32,128,256,4,8,2,8,8,1,0,0,16,65536,64,1,65536,100,50,10.947360,0.382259,10.127328,167425.654296,87.779261,10972407679.959234,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x256,4x8,recurrence,direct-strided,global-scratch,2,128x256,4x8,shared,cufftdx-block,0,named-barrier,32,128,256,4,8,2,8,8,1,0,0,16,65536,64,1,65536,100,50,10.934560,0.381932,10.106048,167569.296421,87.854571,10981821410.215260,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x256,4x8,recurrence,direct-strided,global-scratch,2,128x256,4x8,shared,cufftdx-block,0,named-barrier,32,128,256,4,8,2,8,8,1,0,0,16,65536,64,1,65536,100,50,10.937184,0.381891,10.110880,167587.277192,87.863998,10982999798.060905,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x512,4x4,recurrence,direct-strided,global-scratch,2,128x512,4x4,shared,cufftdx-block,0,named-barrier,32,128,512,4,4,2,8,8,1,0,0,16,65536,64,1,65536,100,50,10.961792,0.381092,10.161344,167938.524100,88.048153,11006019115.446239,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x512,4x4,recurrence,direct-strided,global-scratch,2,128x512,4x4,shared,cufftdx-block,0,named-barrier,32,128,512,4,4,2,8,8,1,0,0,16,65536,64,1,65536,100,50,10.948960,0.381010,10.109760,167974.635050,88.067085,11008385682.658260,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x512,4x4,recurrence,direct-strided,global-scratch,2,128x512,4x4,shared,cufftdx-block,0,named-barrier,32,128,512,4,4,2,8,8,1,0,0,16,65536,64,1,65536,100,50,10.968416,0.381542,10.127552,167740.210732,87.944180,10993022450.515129,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x512,4x8,recurrence,direct-strided,global-scratch,2,128x512,4x8,shared,cufftdx-block,0,named-barrier,32,128,512,4,8,2,16,8,1,0,0,16,65536,64,1,65536,100,50,10.978976,0.397517,10.121504,160999.490046,84.410101,10551262579.634665,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x512,4x8,recurrence,direct-strided,global-scratch,2,128x512,4x8,shared,cufftdx-block,0,named-barrier,32,128,512,4,8,2,16,8,1,0,0,16,65536,64,1,65536,100,50,10.960096,0.397496,10.129792,161007.770718,84.414442,10551805261.761118,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x512,4x8,recurrence,direct-strided,global-scratch,2,128x512,4x8,shared,cufftdx-block,0,named-barrier,32,128,512,4,8,2,16,8,1,0,0,16,65536,64,1,65536,100,50,10.954688,0.397107,10.119040,161165.543678,84.497161,10562145070.456558,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x128,8x4,recurrence,direct-strided,global-scratch,2,128x128,8x4,shared,cufftdx-block,0,named-barrier,32,128,128,8,4,4,2,8,1,0,0,16,65536,64,1,65536,100,50,10.952160,0.388915,10.129984,164560.290254,86.276985,10784623182.060699,0.000000,-1
