rank,operator,precision,direction,normalization,placement,logN,N,batch,element_stride,batch_stride,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,fft_core,stage_space,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,stage_handoff,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,median_Gbutterfly_s,slowdown_vs_best
1,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,32,256,128,4,8,4,4,8,1,0,0,named-barrier,3,0.361697,0.361574,0.361759,92.769377,1.000000
2,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,32,256,256,4,4,4,4,8,1,0,0,named-barrier,3,0.362783,0.362537,0.363028,92.491815,1.003003
3,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,32,256,512,4,4,4,8,8,1,0,0,named-barrier,3,0.366797,0.366776,0.367104,91.479622,1.014100
4,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,32,256,256,4,8,4,8,8,1,0,0,named-barrier,3,0.367862,0.367637,0.367903,91.214790,1.017045
5,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,32,128,128,8,8,4,4,8,1,0,0,named-barrier,3,0.368230,0.368128,0.368271,91.123470,1.018062
6,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,32,128,256,8,4,4,4,8,1,0,0,named-barrier,3,0.369705,0.369500,0.369787,90.760026,1.022140
7,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,32,128,512,8,4,4,8,8,1,0,0,named-barrier,3,0.374047,0.373596,0.374047,89.706528,1.034145
8,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,32,128,256,8,8,4,8,8,1,0,0,named-barrier,3,0.374641,0.374559,0.374845,89.564313,1.035787
9,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,32,128,128,4,8,2,4,8,1,0,0,named-barrier,3,0.376095,0.375787,0.376197,89.218040,1.039807
10,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,32,128,256,4,4,2,4,8,1,0,0,named-barrier,3,0.376750,0.376730,0.377160,89.062839,1.041618
11,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,32,256,128,4,4,4,2,8,1,0,0,named-barrier,3,0.380170,0.380170,0.381256,88.261592,1.051073
12,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,32,128,512,4,4,2,8,8,1,0,0,named-barrier,3,0.381092,0.381010,0.381542,88.048153,1.053622
13,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,recurrence,shared,cufftdx-block,0,32,128,256,4,8,2,8,8,1,0,0,named-barrier,3,0.381932,0.381891,0.382259,87.854571,1.055945
