trial,device,compute_capability,operator,precision,direction,normalization,placement,auto_select,backend,compute_unit,complex_multiply,cross_twiddle,direct_boundary,decomposition_count,stages_per_decomposition,segment_threads,segment_ept,boundary_twiddles,boundary_layouts,boundary_residencies,execution_group_count,group_threads,group_ept,local_exchange,shared_layout,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x128,4x4,recurrence,direct-strided,global-scratch,2,128x128,4x4,shared,xor-swizzle,cufftdx-block,0,named-barrier,32,128,128,4,4,2,2,8,1,0,0,16,65536,64,1,65536,100,50,10.940064,0.395448,10.120224,161841.637562,84.851628,10606453559.260303,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x128,4x4,recurrence,direct-strided,global-scratch,2,128x128,4x4,shared,xor-swizzle,cufftdx-block,0,named-barrier,32,128,128,4,4,2,2,8,1,0,0,16,65536,64,1,65536,100,50,10.893920,0.396902,10.111584,161248.717171,84.540767,10567595928.536726,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x128,4x4,recurrence,direct-strided,global-scratch,2,128x128,4x4,shared,xor-swizzle,cufftdx-block,0,named-barrier,32,128,128,4,4,2,2,8,1,0,0,16,65536,64,1,65536,100,50,10.926368,0.395837,10.119904,161682.538755,84.768215,10596026859.858606,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x128,4x8,recurrence,direct-strided,global-scratch,2,128x128,4x8,shared,xor-swizzle,cufftdx-block,0,named-barrier,32,128,128,4,8,2,4,8,1,0,0,16,65536,64,1,65536,100,50,10.909824,0.376586,10.114816,169947.797179,89.101591,11137698835.912271,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x128,4x8,recurrence,direct-strided,global-scratch,2,128x128,4x8,shared,xor-swizzle,cufftdx-block,0,named-barrier,32,128,128,4,8,2,4,8,1,0,0,16,65536,64,1,65536,100,50,10.899104,0.376812,10.111552,169846.180907,89.048314,11131039311.945549,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x128,4x8,recurrence,direct-strided,global-scratch,2,128x128,4x8,shared,xor-swizzle,cufftdx-block,0,named-barrier,32,128,128,4,8,2,4,8,1,0,0,16,65536,64,1,65536,100,50,10.911936,0.376812,10.111872,169846.180907,89.048314,11131039311.945549,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x256,4x4,recurrence,direct-strided,global-scratch,2,128x256,4x4,shared,xor-swizzle,cufftdx-block,0,named-barrier,32,128,256,4,4,2,4,8,1,0,0,16,65536,64,1,65536,100,50,10.935136,0.377836,10.118400,169385.878087,88.806983,11100872906.329487,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x256,4x4,recurrence,direct-strided,global-scratch,2,128x256,4x4,shared,xor-swizzle,cufftdx-block,0,named-barrier,32,128,256,4,4,2,4,8,1,0,0,16,65536,64,1,65536,100,50,10.924736,0.378388,10.120416,169138.335261,88.677200,11084649939.682959,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x256,4x4,recurrence,direct-strided,global-scratch,2,128x256,4x4,shared,xor-swizzle,cufftdx-block,0,named-barrier,32,128,256,4,4,2,4,8,1,0,0,16,65536,64,1,65536,100,50,10.896544,0.377856,10.110304,169376.699883,88.802171,11100271403.508060,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x256,4x8,recurrence,direct-strided,global-scratch,2,128x256,4x8,shared,xor-swizzle,cufftdx-block,0,named-barrier,32,128,256,4,8,2,8,8,1,0,0,16,65536,64,1,65536,100,50,10.897536,0.383058,10.110112,167076.547238,87.596229,10949528599.780352,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x256,4x8,recurrence,direct-strided,global-scratch,2,128x256,4x8,shared,xor-swizzle,cufftdx-block,0,named-barrier,32,128,256,4,8,2,8,8,1,0,0,16,65536,64,1,65536,100,50,10.894816,0.383590,10.109824,166844.634181,87.474640,10934329945.707138,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x256,4x8,recurrence,direct-strided,global-scratch,2,128x256,4x8,shared,xor-swizzle,cufftdx-block,0,named-barrier,32,128,256,4,8,2,8,8,1,0,0,16,65536,64,1,65536,100,50,10.914912,0.383263,10.121600,166987.280643,87.549427,10943678424.241434,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x512,4x4,recurrence,direct-strided,global-scratch,2,128x512,4x4,shared,xor-swizzle,cufftdx-block,0,named-barrier,32,128,512,4,4,2,8,8,1,0,0,16,65536,64,1,65536,100,50,10.896928,0.382300,10.116064,167407.734288,87.769866,10971233274.325953,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x512,4x4,recurrence,direct-strided,global-scratch,2,128x512,4x4,shared,xor-swizzle,cufftdx-block,0,named-barrier,32,128,512,4,4,2,8,8,1,0,0,16,65536,64,1,65536,100,50,10.893984,0.381829,10.113216,167614.249045,87.878139,10984767425.386349,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x512,4x4,recurrence,direct-strided,global-scratch,2,128x512,4x4,shared,xor-swizzle,cufftdx-block,0,named-barrier,32,128,512,4,4,2,8,8,1,0,0,16,65536,64,1,65536,100,50,10.922080,0.382464,10.121952,167336.014366,87.732264,10966533037.510202,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x512,4x8,recurrence,direct-strided,global-scratch,2,128x512,4x8,shared,xor-swizzle,cufftdx-block,0,named-barrier,32,128,512,4,8,2,16,8,1,0,0,16,65536,64,1,65536,100,50,10.901408,0.398418,10.108832,160635.344967,84.219184,10527397967.753153,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,8x8,128x512,4x8,recurrence,direct-strided,global-scratch,2,128x512,4x8,shared,xor-swizzle,cufftdx-block,0,named-barrier,32,128,512,4,8,2,16,8,1,0,0,16,65536,64,1,65536,100,50,10.915328,0.398582,10.124960,160569.309307,84.184562,10523070254.772758,0.000000,-1
