rank,operator,precision,direction,normalization,placement,logN,N,batch,element_stride,batch_stride,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,shared_layout,fft_core,stage_space,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,stage_handoff,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,median_Gbutterfly_s,slowdown_vs_best
1,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,256,128,4,8,4,4,8,1,0,0,named-barrier,3,0.353505,0.353505,0.353546,94.919181,1.000000
2,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,256,256,4,4,4,4,8,1,0,0,named-barrier,3,0.354734,0.354591,0.354898,94.590386,1.003477
3,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,256,512,4,4,4,8,8,1,0,0,named-barrier,3,0.358932,0.358666,0.359055,93.483963,1.015352
4,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,256,256,4,8,4,8,8,1,0,0,named-barrier,3,0.359772,0.359608,0.359813,93.265786,1.017728
5,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,512,128,4,8,8,4,8,1,0,0,named-barrier,3,0.363848,0.363704,0.364052,92.221091,1.029258
6,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,512,256,4,4,8,4,8,1,0,0,named-barrier,3,0.364237,0.363807,0.364605,92.122575,1.030359
7,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,128,128,8,8,4,4,8,1,0,0,named-barrier,3,0.367370,0.367268,0.367514,91.336832,1.039222
8,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,512,256,4,8,8,8,8,1,0,0,named-barrier,3,0.367534,0.366899,0.368087,91.296113,1.039685
9,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,512,512,4,4,8,8,8,1,0,0,named-barrier,3,0.367841,0.367800,0.367985,91.219867,1.040554
10,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,128,256,8,4,4,4,8,1,0,0,named-barrier,3,0.368804,0.368681,0.368906,90.981789,1.043278
