trial,device,compute_capability,operator,precision,direction,normalization,placement,auto_select,backend,compute_unit,complex_multiply,cross_twiddle,direct_boundary,decomposition_count,stages_per_decomposition,segment_threads,segment_ept,boundary_twiddles,boundary_layouts,boundary_residencies,execution_group_count,group_threads,group_ept,local_exchange,shared_layout,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,7x7,128x128,4x4,recurrence,direct-strided,global-scratch,2,128x128,4x4,shared,xor-swizzle,cufftdx-block,0,named-barrier,128,128,128,4,4,4,4,7,1,0,0,14,16384,1,1,16384,1000,100,0.067040,0.009329,0.081696,107196.761041,12.294182,1756311732.892490,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,cufft,auto,four-mul,table,direct-strided,1,14,,,,,,0,,,shared,linear,scalar,0,named-barrier,0,0,0,8,8,0,0,0,0,0,0,14,16384,1,1,16384,1000,100,0.066208,0.014264,0.095328,70104.989117,8.040201,1148600141.694182,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,cufft,auto,four-mul,table,direct-strided,1,14,,,,,,0,,,shared,linear,scalar,0,named-barrier,0,0,0,8,8,0,0,0,0,0,0,14,16384,1,1,16384,1000,100,0.066464,0.014264,0.094080,70104.989117,8.040201,1148600141.694182,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,7x7,128x128,4x4,recurrence,direct-strided,global-scratch,2,128x128,4x4,shared,xor-swizzle,cufftdx-block,0,named-barrier,128,128,128,4,4,4,4,7,1,0,0,14,16384,1,1,16384,1000,100,0.067840,0.009339,0.087904,107079.221975,12.280702,1754385972.840813,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,7x7,128x128,4x4,recurrence,direct-strided,global-scratch,2,128x128,4x4,shared,xor-swizzle,cufftdx-block,0,named-barrier,128,128,128,4,4,4,4,7,1,0,0,14,16384,1,1,16384,1000,100,0.066464,0.009318,0.082208,107314.558431,12.307692,1758241725.339002,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,cufft,auto,four-mul,table,direct-strided,1,14,,,,,,0,,,shared,linear,scalar,0,named-barrier,0,0,0,8,8,0,0,0,0,0,0,14,16384,1,1,16384,1000,100,0.065760,0.014275,0.098272,70054.699126,8.034433,1147776190.473506,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,cufft,auto,four-mul,table,direct-strided,1,14,,,,,,0,,,shared,linear,scalar,0,named-barrier,0,0,0,8,8,0,0,0,0,0,0,14,16384,1,1,16384,1000,100,0.065696,0.014254,0.096416,70155.351364,8.045977,1149425276.740288,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,7x7,128x128,4x4,recurrence,direct-strided,global-scratch,2,128x128,4x4,shared,xor-swizzle,cufftdx-block,0,named-barrier,128,128,128,4,4,4,4,7,1,0,0,14,16384,1,1,16384,1000,100,0.074496,0.009349,0.082560,106961.940386,12.267251,1752464431.277015,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,7x7,128x128,4x4,recurrence,direct-strided,global-scratch,2,128x128,4x4,shared,xor-swizzle,cufftdx-block,0,named-barrier,128,128,128,4,4,4,4,7,1,0,0,14,16384,1,1,16384,1000,100,0.066176,0.009339,0.084032,107079.221975,12.280702,1754385972.840813,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,cufft,auto,four-mul,table,direct-strided,1,14,,,,,,0,,,shared,linear,scalar,0,named-barrier,0,0,0,8,8,0,0,0,0,0,0,14,16384,1,1,16384,1000,100,0.066144,0.014264,0.095776,70104.989117,8.040201,1148600141.694182,0.000000,-1
