logN,batch,total_points,local_stages,prefix_threads,prefix_ept,suffix_threads,suffix_ept,trials,cuntt_median_ms,cuntt_min_ms,cuntt_max_ms,cufft_median_ms,cufft_min_ms,cufft_max_ms,throughput_vs_cufft,timing_quality,range_separation
14,1,16384,7,128,4,128,4,5,0.009339,0.009318,0.009349,0.014264,0.014254,0.014275,1.5273583895492022,short,faster
14,2,32768,7,128,4,128,4,5,0.010578,0.010568,0.010598,0.014285,0.014275,0.014295,1.3504443183966723,short,faster
14,4,65536,7,128,4,128,4,5,0.012892,0.012872,0.012913,0.014397,0.014377,0.014418,1.1167390629847966,short,faster
14,8,131072,7,128,4,128,4,5,0.017029,0.017019,0.01705,0.016722,0.016722,0.016773,0.9819719302366552,short,slower
14,16,262144,7,128,4,128,4,5,0.025969,0.025876,0.028887,0.028058,0.026798,0.029716,1.080442065539682,stable,overlap
14,32,524288,7,128,4,128,4,5,0.050883,0.050719,0.050954,0.0495,0.04949,0.049674,0.9728199988208244,stable,slower
14,64,1048576,7,128,4,128,4,5,0.092856,0.092795,0.092938,0.095519,0.095468,0.095652,1.0286788145084864,stable,faster
15,1,32768,7,128,4,128,8,5,0.009738,0.009718,0.009779,0.012319,0.012268,0.012329,1.26504415691107,short,faster
15,2,65536,7,128,4,128,8,5,0.010854,0.010854,0.010865,0.012462,0.012442,0.012472,1.1481481481481481,short,faster
15,4,131072,7,128,4,128,8,5,0.017295,0.015002,0.017357,0.016927,0.014725,0.016968,0.9787221740387395,short,overlap
15,8,262144,7,128,4,128,8,5,0.029112,0.028068,0.029215,0.028436,0.028109,0.029215,0.976779334982138,stable,overlap
15,16,524288,7,128,4,128,8,5,0.049889,0.049879,0.052019,0.049828,0.049644,0.050104,0.9987772855739742,stable,overlap
15,32,1048576,7,128,4,128,8,5,0.092006,0.091996,0.09215,0.093788,0.093676,0.093952,1.0193683020672564,stable,faster
15,64,2097152,7,128,4,128,8,5,0.174141,0.17409,0.174203,0.178084,0.177961,0.178115,1.0226425712497345,stable,faster
16,1,65536,8,128,8,128,8,5,0.011018,0.011018,0.011039,0.012206,0.012196,0.012247,1.1078235614449083,short,faster
16,2,131072,8,128,8,128,8,5,0.015237,0.015206,0.015258,0.014377,0.014356,0.014387,0.9435584432631094,short,slower
16,4,262144,8,128,8,128,8,5,0.026081,0.026061,0.026112,0.025242,0.025201,0.025272,0.9678309880756106,stable,slower
16,8,524288,8,128,8,128,8,5,0.048916,0.048794,0.049009,0.05076,0.050606,0.050821,1.0376972769645922,stable,faster
16,16,1048576,8,128,8,128,8,5,0.093327,0.093235,0.093522,0.092365,0.092303,0.092488,0.9896921576821285,stable,slower
16,32,2097152,8,128,8,128,8,5,0.174776,0.174684,0.174807,0.178012,0.177848,0.178063,1.0185151279351856,stable,faster
16,64,4194304,8,128,8,128,8,5,0.339364,0.339251,0.339548,0.34304,0.342446,0.34305,1.0108320269680933,stable,faster
17,1,131072,8,128,8,256,8,5,0.017664,0.017623,0.017746,0.026685,0.026655,0.026767,1.5106997282608696,short,faster
17,2,262144,8,128,8,256,8,5,0.02729,0.027259,0.027331,0.035011,0.03499,0.035021,1.282924148039575,stable,faster
17,4,524288,8,128,8,256,8,5,0.052357,0.052081,0.052603,0.053842,0.053576,0.053996,1.0283629696124683,stable,faster
17,8,1048576,8,128,8,256,8,5,0.096276,0.096133,0.096819,0.10923,0.109199,0.109292,1.1345506668328555,stable,faster
17,16,2097152,8,128,8,256,8,5,0.179753,0.179558,0.179784,0.203725,0.203346,0.204073,1.1333607784014732,stable,faster
17,32,4194304,8,128,8,256,8,5,0.346307,0.345979,0.350413,0.395213,0.394885,0.39593,1.141221517324224,stable,faster
17,64,8388608,8,128,8,256,8,5,0.678134,0.678031,0.678369,0.754668,0.754043,0.755026,1.1128597002952219,stable,faster
18,1,262144,9,256,8,256,8,5,0.029194,0.029174,0.029276,0.042455,0.042424,0.042465,1.4542371720216483,stable,faster
18,2,524288,9,256,8,256,8,5,0.055306,0.054989,0.055726,0.059341,0.05932,0.059617,1.0729577261056666,stable,faster
18,4,1048576,9,256,8,256,8,5,0.100506,0.100311,0.100782,0.128379,0.128317,0.128399,1.2773267267625812,stable,faster
18,8,2097152,9,256,8,256,8,5,0.185283,0.185129,0.185815,0.225044,0.224676,0.225413,1.2145960503661966,stable,faster
18,16,4194304,9,256,8,256,8,5,0.354877,0.354642,0.355154,0.42197,0.421018,0.422246,1.1890598714484173,stable,faster
18,32,8388608,9,256,8,256,8,5,0.693135,0.6929,0.693565,0.780964,0.779796,0.781619,1.1267126894472217,stable,faster
18,64,16777216,9,256,8,256,8,5,1.370327,1.369907,1.370675,1.48566,1.484984,1.488405,1.0841645826142228,stable,faster
