rank,operator,precision,direction,normalization,placement,logN,N,batch,element_stride,batch_stride,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,shared_layout,fft_core,stage_space,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,stage_handoff,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,median_Gbutterfly_s,slowdown_vs_best
1,fft,fp64,forward,none,out-of-place,14,16384,256,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,128,128,4,4,4,4,7,1,0,0,named-barrier,5,0.340173,0.339958,0.340244,86.309453,1.000000
2,fft,fp64,forward,none,out-of-place,14,16384,256,1,16384,cufft,auto,four-mul,table,shared,linear,scalar,0,0,0,0,8,8,0,0,0,0,0,0,named-barrier,5,0.344433,0.344207,0.344607,85.242000,1.012523
1,fft,fp64,forward,none,out-of-place,15,32768,128,1,32768,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,128,128,4,8,4,4,7,1,0,0,named-barrier,5,0.338852,0.338821,0.339026,92.834910,1.000000
2,fft,fp64,forward,none,out-of-place,15,32768,128,1,32768,cufft,auto,four-mul,table,shared,linear,scalar,0,0,0,0,8,8,0,0,0,0,0,0,named-barrier,5,0.342753,0.342569,0.342907,91.778200,1.011512
1,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,128,128,8,8,4,4,8,1,0,0,named-barrier,5,0.339435,0.339292,0.339548,98.853635,1.000000
2,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,cufft,auto,four-mul,table,shared,linear,scalar,0,0,0,0,8,8,0,0,0,0,0,0,named-barrier,5,0.342712,0.342600,0.343122,97.908452,1.009654
1,fft,fp64,forward,none,out-of-place,17,131072,32,1,131072,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,128,256,8,8,4,4,8,1,0,0,named-barrier,5,0.346143,0.345917,0.346296,102.996770,1.000000
2,fft,fp64,forward,none,out-of-place,17,131072,32,1,131072,cufft,auto,four-mul,table,shared,linear,scalar,0,0,0,0,8,8,0,0,0,0,0,0,named-barrier,5,0.395817,0.395059,0.396390,90.070887,1.143507
1,fft,fp64,forward,none,out-of-place,18,262144,16,1,262144,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,256,256,8,8,4,4,9,1,0,0,named-barrier,5,0.354970,0.354447,0.355103,106.343577,1.000000
2,fft,fp64,forward,none,out-of-place,18,262144,16,1,262144,cufft,auto,four-mul,table,shared,linear,scalar,0,0,0,0,8,8,0,0,0,0,0,0,named-barrier,5,0.422154,0.421612,0.423066,89.419297,1.189267
