trial,device,compute_capability,operator,precision,direction,normalization,placement,auto_select,backend,compute_unit,complex_multiply,cross_twiddle,direct_boundary,decomposition_count,stages_per_decomposition,segment_threads,segment_ept,boundary_twiddles,boundary_layouts,boundary_residencies,execution_group_count,group_threads,group_ept,local_exchange,shared_layout,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,7x8,128x128,4x4,recurrence,direct-strided,global-scratch,2,128x128,4x4,shared,linear,cufftdx-block,0,named-barrier,32,128,128,4,4,4,2,7,1,0,0,15,32768,16,1,32768,100,50,1.509344,0.055890,1.354304,286277.027623,70.355442,9380725641.160645,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,7x8,128x128,4x4,recurrence,direct-strided,global-scratch,2,128x128,4x4,shared,xor-swizzle,cufftdx-block,0,named-barrier,32,128,128,4,4,4,2,7,1,0,0,15,32768,16,1,32768,100,50,1.520672,0.053903,1.400480,296827.508040,72.948328,9726443783.470873,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,7x8,128x128,4x8,recurrence,direct-strided,global-scratch,2,128x128,4x8,shared,linear,cufftdx-block,0,named-barrier,32,128,128,4,8,4,4,7,1,0,0,15,32768,16,1,32768,100,50,1.517248,0.055398,1.358144,288817.000994,70.979666,9463955488.578730,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,7x8,128x128,4x8,recurrence,direct-strided,global-scratch,2,128x128,4x8,shared,xor-swizzle,cufftdx-block,0,named-barrier,32,128,128,4,8,4,4,7,1,0,0,15,32768,16,1,32768,100,50,1.505952,0.053125,1.356512,301175.786320,74.016961,9868928166.140909,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,7x8,128x256,4x4,recurrence,direct-strided,global-scratch,2,128x256,4x4,shared,linear,cufftdx-block,0,named-barrier,32,128,256,4,4,4,4,7,1,0,0,15,32768,16,1,32768,100,50,1.513984,0.056463,1.360576,283369.600696,69.640913,9285455075.602398,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,7x8,128x256,4x4,recurrence,direct-strided,global-scratch,2,128x256,4x4,shared,xor-swizzle,cufftdx-block,0,named-barrier,32,128,256,4,4,4,4,7,1,0,0,15,32768,16,1,32768,100,50,1.514272,0.054395,1.374560,294145.339723,72.289159,9638554492.042950,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,7x8,128x256,4x8,recurrence,direct-strided,global-scratch,2,128x256,4x8,shared,linear,cufftdx-block,0,named-barrier,32,128,256,4,8,4,8,7,1,0,0,15,32768,16,1,32768,100,50,1.515232,0.060498,1.357408,264471.914593,64.996618,8666215697.382219,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,7x8,128x256,4x8,recurrence,direct-strided,global-scratch,2,128x256,4x8,shared,xor-swizzle,cufftdx-block,0,named-barrier,32,128,256,4,8,4,8,7,1,0,0,15,32768,16,1,32768,100,50,1.511392,0.058819,1.365056,272022.980068,66.852368,8913649010.878786,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,7x8,128x512,4x4,recurrence,direct-strided,global-scratch,2,128x512,4x4,shared,linear,cufftdx-block,0,named-barrier,32,128,512,4,4,4,8,7,1,0,0,15,32768,16,1,32768,100,50,1.506144,0.064061,1.357728,249760.228123,61.381074,8184143155.123624,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,online-reorder,auto,four-mul,recurrence,direct-strided,2,7x8,128x512,4x4,recurrence,direct-strided,global-scratch,2,128x512,4x4,shared,xor-swizzle,cufftdx-block,0,named-barrier,32,128,512,4,4,4,8,7,1,0,0,15,32768,16,1,32768,100,50,1.517120,0.062075,1.363040,257753.212413,63.345429,8446057264.337685,0.000000,-1
