rank,operator,precision,direction,normalization,placement,logN,N,batch,element_stride,batch_stride,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,shared_layout,fft_core,stage_space,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,stage_handoff,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,median_Gbutterfly_s,slowdown_vs_best
1,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,128,128,4,4,4,4,7,1,0,0,named-barrier,1,0.053842,0.053842,0.053842,68.162801,1.000000
2,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,128,128,8,4,8,4,7,1,0,0,named-barrier,1,0.054600,0.054600,0.054600,67.216804,1.014078
3,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,128,128,4,8,4,8,7,1,0,0,named-barrier,1,0.056115,0.056115,0.056115,65.401461,1.042216
4,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,128,128,8,8,8,8,7,1,0,0,named-barrier,1,0.056300,0.056300,0.056300,65.187342,1.045652
5,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,linear,cufftdx-block,0,32,128,128,4,4,4,4,7,1,0,0,named-barrier,1,0.056320,0.056320,0.056320,65.163636,1.046024
6,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,128,256,4,4,4,8,7,1,0,0,named-barrier,1,0.056586,0.056586,0.056586,64.857036,1.050964
7,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,128,256,8,4,8,8,7,1,0,0,named-barrier,1,0.057508,0.057508,0.057508,63.817665,1.068088
8,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,256,128,8,4,16,4,7,1,0,0,named-barrier,1,0.057569,0.057569,0.057569,63.749555,1.069221
9,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,256,128,4,4,8,4,7,1,0,0,named-barrier,1,0.057590,0.057590,0.057590,63.726887,1.069611
10,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,linear,cufftdx-block,0,32,128,128,4,8,4,8,7,1,0,0,named-barrier,1,0.057692,0.057692,0.057692,63.613775,1.071506
11,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,128,256,4,8,4,16,7,1,0,0,named-barrier,1,0.058368,0.058368,0.058368,62.877192,1.084061
12,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,128,256,8,8,8,16,7,1,0,0,named-barrier,1,0.058757,0.058757,0.058757,62.460789,1.091286
13,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,linear,cufftdx-block,0,32,128,256,4,4,4,8,7,1,0,0,named-barrier,1,0.058798,0.058798,0.058798,62.417278,1.092047
14,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,256,128,8,8,16,8,7,1,0,0,named-barrier,1,0.059146,0.059146,0.059146,62.049861,1.098510
15,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,256,128,4,8,8,8,7,1,0,0,named-barrier,1,0.059290,0.059290,0.059290,61.899830,1.101185
16,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,256,256,8,4,16,8,7,1,0,0,named-barrier,1,0.060334,0.060334,0.060334,60.828239,1.120575
17,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,linear,cufftdx-block,0,32,128,256,4,8,4,16,7,1,0,0,named-barrier,1,0.060396,0.060396,0.060396,60.766358,1.121727
18,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,256,256,4,4,8,8,7,1,0,0,named-barrier,1,0.060457,0.060457,0.060457,60.704609,1.122859
19,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,512,128,4,4,16,4,7,1,0,0,named-barrier,1,0.061215,0.061215,0.061215,59.953163,1.136938
20,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,linear,cufftdx-block,0,32,128,128,8,4,8,4,7,1,0,0,named-barrier,1,0.061809,0.061809,0.061809,59.377073,1.147970
21,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,256,256,8,8,16,16,7,1,0,0,named-barrier,1,0.061891,0.061891,0.061891,59.298480,1.149493
22,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,128,512,4,4,4,16,7,1,0,0,named-barrier,1,0.061972,0.061972,0.061972,59.220092,1.150997
23,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,256,256,4,8,8,16,7,1,0,0,named-barrier,1,0.062034,0.062034,0.062034,59.161438,1.152149
24,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,128,512,8,4,8,16,7,1,0,0,named-barrier,1,0.062648,0.062648,0.062648,58.581237,1.163553
25,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,512,128,4,8,16,8,7,1,0,0,named-barrier,1,0.062669,0.062669,0.062669,58.562091,1.163943
26,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,linear,cufftdx-block,0,32,128,128,8,8,8,8,7,1,0,0,named-barrier,1,0.063099,0.063099,0.063099,58.162936,1.171929
27,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,linear,cufftdx-block,0,32,256,128,4,4,8,4,7,1,0,0,named-barrier,1,0.063160,0.063160,0.063160,58.106353,1.173062
28,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,linear,cufftdx-block,0,32,256,128,8,4,16,4,7,1,0,0,named-barrier,1,0.063775,0.063775,0.063775,57.546564,1.184484
29,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,512,256,4,4,16,8,7,1,0,0,named-barrier,1,0.063775,0.063775,0.063775,57.546564,1.184484
30,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,linear,cufftdx-block,0,32,128,512,4,4,4,16,7,1,0,0,named-barrier,1,0.064102,0.064102,0.064102,57.252393,1.190558
31,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,linear,cufftdx-block,0,32,128,256,8,4,8,8,7,1,0,0,named-barrier,1,0.064451,0.064451,0.064451,56.943119,1.197039
32,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,linear,cufftdx-block,0,32,256,128,4,8,8,8,7,1,0,0,named-barrier,1,0.064451,0.064451,0.064451,56.943119,1.197039
33,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,512,256,4,8,16,16,7,1,0,0,named-barrier,1,0.065352,0.065352,0.065352,56.157944,1.213774
34,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,linear,cufftdx-block,0,32,128,256,8,8,8,16,7,1,0,0,named-barrier,1,0.065454,0.065454,0.065454,56.070087,1.215668
35,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,linear,cufftdx-block,0,32,256,128,8,8,16,8,7,1,0,0,named-barrier,1,0.065556,0.065556,0.065556,55.982504,1.217562
36,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,linear,cufftdx-block,0,32,256,256,4,4,8,8,7,1,0,0,named-barrier,1,0.065618,0.065618,0.065618,55.930088,1.218714
37,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,256,512,8,4,16,16,7,1,0,0,named-barrier,1,0.065700,0.065700,0.065700,55.860351,1.220237
38,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,256,512,4,4,8,16,7,1,0,0,named-barrier,1,0.065761,0.065761,0.065761,55.808157,1.221370
39,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,512,128,8,4,32,4,7,1,0,0,named-barrier,1,0.066335,0.066335,0.066335,55.325720,1.232031
40,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,linear,cufftdx-block,0,32,256,256,8,4,16,8,7,1,0,0,named-barrier,1,0.066703,0.066703,0.066703,55.019960,1.238866
41,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,linear,cufftdx-block,0,32,256,256,4,8,8,16,7,1,0,0,named-barrier,1,0.067236,0.067236,0.067236,54.584220,1.248765
42,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,512,128,8,8,32,8,7,1,0,0,named-barrier,1,0.067666,0.067666,0.067666,54.237288,1.256751
43,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,linear,cufftdx-block,0,32,512,128,4,4,16,4,7,1,0,0,named-barrier,1,0.067973,0.067973,0.067973,53.992171,1.262453
44,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,128,512,4,8,4,32,7,1,0,0,named-barrier,1,0.068260,0.068260,0.068260,53.765374,1.267784
45,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,linear,cufftdx-block,0,32,256,256,8,8,16,16,7,1,0,0,named-barrier,1,0.068342,0.068342,0.068342,53.700928,1.269306
46,fft,fp64,forward,none,out-of-place,14,16384,32,1,16384,online-reorder,auto,four-mul,recurrence,shared,xor-swizzle,cufftdx-block,0,32,128,512,8,8,8,32,7,1,0,0,named-barrier,1,0.068526,0.068526,0.068526,53.556484,1.272724
