trial,device,compute_capability,operator,precision,direction,normalization,placement,auto_select,backend,compute_unit,complex_multiply,cross_twiddle,direct_boundary,decomposition_count,stages_per_decomposition,segment_threads,segment_ept,boundary_twiddles,boundary_layouts,boundary_residencies,execution_group_count,group_threads,group_ept,local_exchange,shared_layout,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,cufft,auto,four-mul,table,direct-strided,1,14,,,,,,0,,,shared,linear,scalar,0,named-barrier,0,0,0,8,8,0,0,0,0,0,0,14,16384,256,1,16384,1000,100,10.936640,0.344207,10.111712,743737.757628,85.297796,12185399420.982153,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,cufft,auto,four-mul,table,direct-strided,1,14,,,,,,0,,,shared,linear,scalar,0,named-barrier,0,0,0,8,8,0,0,0,0,0,0,14,16384,256,1,16384,1000,100,10.905056,0.344535,10.108896,743030.411800,85.216672,12173810266.935751,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,cufft,auto,four-mul,table,direct-strided,1,14,,,,,,0,,,shared,linear,scalar,0,named-barrier,0,0,0,8,8,0,0,0,0,0,0,14,16384,256,1,16384,1000,100,10.899360,0.344433,10.112992,743251.252505,85.242000,12177428521.037113,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,cufft,auto,four-mul,table,direct-strided,1,14,,,,,,0,,,shared,linear,scalar,0,named-barrier,0,0,0,8,8,0,0,0,0,0,0,14,16384,256,1,16384,1000,100,10.901440,0.344402,10.109600,743317.562478,85.249605,12178514943.637495,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,cufft,auto,four-mul,table,direct-strided,1,14,,,,,,0,,,shared,linear,scalar,0,named-barrier,0,0,0,8,8,0,0,0,0,0,0,14,16384,256,1,16384,1000,100,10.909472,0.344607,10.111904,742875.869254,85.198948,12171278241.850054,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,cufft,auto,four-mul,table,direct-strided,1,15,,,,,,0,,,shared,linear,scalar,0,named-barrier,0,0,0,8,8,0,0,0,0,0,0,15,32768,128,1,32768,1000,100,10.907552,0.342753,10.108192,373446.450588,91.778200,12237093292.879196,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,cufft,auto,four-mul,table,direct-strided,1,15,,,,,,0,,,shared,linear,scalar,0,named-barrier,0,0,0,8,8,0,0,0,0,0,0,15,32768,128,1,32768,1000,100,10.934976,0.342569,10.111840,373647.392317,91.827583,12243677751.449253,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,cufft,auto,four-mul,table,direct-strided,1,15,,,,,,0,,,shared,linear,scalar,0,named-barrier,0,0,0,8,8,0,0,0,0,0,0,15,32768,128,1,32768,1000,100,10.900928,0.342907,10.106432,373279.202019,91.737097,12231612891.773672,0.000000,-1
4,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,cufft,auto,four-mul,table,direct-strided,1,15,,,,,,0,,,shared,linear,scalar,0,named-barrier,0,0,0,8,8,0,0,0,0,0,0,15,32768,128,1,32768,1000,100,10.898144,0.342630,10.107680,373580.409381,91.811121,12241482854.601223,0.000000,-1
5,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,cufft,auto,four-mul,table,direct-strided,1,15,,,,,,0,,,shared,linear,scalar,0,named-barrier,0,0,0,8,8,0,0,0,0,0,0,15,32768,128,1,32768,1000,100,10.913856,0.342835,10.109216,373357.241360,91.756276,12234170084.888609,0.000000,-1
