trial,device,compute_capability,operator,precision,direction,normalization,placement,auto_select,backend,compute_unit,complex_multiply,cross_twiddle,direct_boundary,decomposition_count,stages_per_decomposition,segment_threads,segment_ept,boundary_twiddles,boundary_layouts,boundary_residencies,execution_group_count,group_threads,group_ept,local_exchange,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,hierarchical,radix2,four-mul,table,direct-strided,1,16,,,,,,0,,,shared,scalar,0,named-barrier,32,0,0,8,8,0,0,5,0,0,0,16,65536,64,1,65536,10,20,10.925248,2.058394,10.120768,31092.205285,16.301270,2037658765.542572,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,hierarchical,radix2,four-mul,table,direct-strided,1,16,,,,,,0,,,shared,scalar,0,named-barrier,32,0,0,8,8,0,0,5,0,0,0,16,65536,64,1,65536,10,20,10.915200,2.040679,10.117088,31362.118023,16.442782,2055347766.774239,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,hierarchical,radix2,four-mul,table,direct-strided,1,16,,,,,,0,,,shared,scalar,0,named-barrier,32,0,0,8,8,0,0,5,0,0,0,16,65536,64,1,65536,10,20,10.918752,2.032691,10.134944,31485.352389,16.507392,2063424054.190817,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,hierarchical,radix2,gauss3,table,direct-strided,1,16,,,,,,0,,,shared,scalar,0,named-barrier,32,0,0,8,8,0,0,5,0,0,0,16,65536,64,1,65536,10,20,10.901120,2.032742,10.111584,31484.562111,16.506978,2063372262.505749,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,hierarchical,radix2,gauss3,table,direct-strided,1,16,,,,,,0,,,shared,scalar,0,named-barrier,32,0,0,8,8,0,0,5,0,0,0,16,65536,64,1,65536,10,20,10.925024,2.034330,10.125728,31459.994653,16.494098,2061762209.608165,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,hierarchical,radix2,gauss3,table,direct-strided,1,16,,,,,,0,,,shared,scalar,0,named-barrier,32,0,0,8,8,0,0,5,0,0,0,16,65536,64,1,65536,10,20,10.909536,2.033561,10.114112,31471.878772,16.500328,2062541047.194665,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,hierarchical,radix2,four-mul,table,direct-strided,1,16,,,,,,0,,,shared,scalar,0,named-barrier,64,0,0,8,8,0,0,5,0,0,0,16,65536,64,1,65536,10,20,10.932224,2.032845,10.120832,31482.974288,16.506146,2063268202.961425,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,hierarchical,radix2,four-mul,table,direct-strided,1,16,,,,,,0,,,shared,scalar,0,named-barrier,64,0,0,8,8,0,0,5,0,0,0,16,65536,64,1,65536,10,20,10.902432,2.032999,10.114976,31480.592855,16.504897,2063112133.323107,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,hierarchical,radix2,four-mul,table,direct-strided,1,16,,,,,,0,,,shared,scalar,0,named-barrier,64,0,0,8,8,0,0,5,0,0,0,16,65536,64,1,65536,10,20,10.920992,2.033459,10.113216,31473.461785,16.501158,2062644791.562287,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fft,fp64,forward,none,out-of-place,0,hierarchical,radix2,gauss3,table,direct-strided,1,16,,,,,,0,,,shared,scalar,0,named-barrier,64,0,0,8,8,0,0,5,0,0,0,16,65536,64,1,65536,10,20,10.933888,2.032333,10.120608,31490.903921,16.510303,2063787879.341481,0.000000,-1
