rank,operator,precision,direction,normalization,placement,logN,N,batch,element_stride,batch_stride,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,fft_core,stage_space,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,stage_handoff,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,median_Gbutterfly_s,slowdown_vs_best
1,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,cufft,auto,four-mul,table,shared,scalar,0,0,0,0,8,8,0,0,0,0,0,0,named-barrier,3,0.344166,0.343808,0.345088,97.494794,1.000000
2,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix4,four-mul,table,shared,scalar,0,128,0,0,8,8,0,0,8,1,0,0,named-barrier,3,0.520602,0.520243,0.521472,64.453183,1.512648
3,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix4,gauss3,table,shared,scalar,0,128,0,0,8,8,0,0,8,1,0,0,named-barrier,3,0.522496,0.522394,0.523725,64.219502,1.518151
4,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix4,gauss3,table,shared,scalar,0,256,0,0,8,8,0,0,10,4,0,0,named-barrier,3,0.525670,0.525056,0.526131,63.831693,1.527373
5,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix4,four-mul,table,shared,scalar,0,256,0,0,8,8,0,0,10,4,0,0,named-barrier,3,0.527258,0.526899,0.527462,63.639546,1.531987
6,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix4,four-mul,table,shared,scalar,0,64,0,0,8,8,0,0,8,1,0,0,named-barrier,3,0.535450,0.534733,0.535859,62.665899,1.555790
7,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix4,gauss3,table,shared,scalar,0,64,0,0,8,8,0,0,8,1,0,0,named-barrier,3,0.535910,0.535654,0.536013,62.612016,1.557127
8,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix4,four-mul,table,shared,scalar,0,128,0,0,8,8,0,0,10,2,0,0,named-barrier,3,0.536832,0.536269,0.537037,62.504533,1.559805
9,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix4,gauss3,table,shared,scalar,0,128,0,0,8,8,0,0,10,2,0,0,named-barrier,3,0.538931,0.538163,0.539085,62.261069,1.565904
10,fft,fp64,forward,none,out-of-place,16,65536,64,1,65536,online-reorder,radix4,four-mul,table,shared,scalar,0,128,0,0,8,8,0,0,10,4,0,0,named-barrier,3,0.539136,0.539085,0.539238,62.237418,1.566500
