trial,device,compute_capability,backend,compute_unit,word_bits,logN,N,batch,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,inverse,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,cross_twiddle,correct
1,"Tesla V100-SXM2-16GB",7.0,hybrid2d,radix4,64,16,65536,64,576460756061519873,60,8,4,256,0,1000,200,5.471712,0.281636,5.096224,227243.796726,5898.850315,14892649462.248514,fused,-1
1,"Tesla V100-SXM2-16GB",7.0,hybrid2d,radix4,64,18,262144,16,576460756061519873,60,9,4,512,0,1000,200,5.462528,0.342344,5.105824,46736.658394,1466.450915,12251734578.097889,fused,-1
1,"Tesla V100-SXM2-16GB",7.0,hybrid2d,radix4,64,20,1048576,4,576460756061519873,60,10,2,512,0,1000,200,5.466144,0.428303,5.111840,9339.174905,363.428640,9792834664.673830,fused,-1
2,"Tesla V100-SXM2-16GB",7.0,hybrid2d,radix4,64,16,65536,64,576460756061519873,60,8,4,256,0,1000,200,5.478112,0.273265,5.108224,234205.195632,5893.402647,15348871700.961912,fused,-1
2,"Tesla V100-SXM2-16GB",7.0,hybrid2d,radix4,64,18,262144,16,576460756061519873,60,9,4,512,0,1000,200,5.503648,0.342175,5.101728,46759.738772,1461.514157,12257784960.727879,fused,-1
2,"Tesla V100-SXM2-16GB",7.0,hybrid2d,radix4,64,20,1048576,4,576460756061519873,60,10,2,512,0,1000,200,5.487552,0.428867,5.105888,9326.910336,362.900447,9779974332.517557,fused,-1
3,"Tesla V100-SXM2-16GB",7.0,hybrid2d,radix4,64,16,65536,64,576460756061519873,60,8,4,256,0,1000,200,5.488192,0.274565,5.101248,233095.877433,5891.013489,15276171423.468260,fused,-1
3,"Tesla V100-SXM2-16GB",7.0,hybrid2d,radix4,64,18,262144,16,576460756061519873,60,9,4,512,0,1000,200,5.510080,0.342303,5.101440,46742.253395,1460.677308,12253201273.900156,fused,-1
3,"Tesla V100-SXM2-16GB",7.0,hybrid2d,radix4,64,20,1048576,4,576460756061519873,60,10,2,512,0,1000,200,5.468960,0.430054,5.103296,9301.148956,363.560016,9752961567.651134,fused,-1
1,"Tesla V100-SXM2-16GB",7.0,hybrid2d,radix4,64,16,65536,64,576460756061519873,60,8,4,256,0,1000,200,5.525248,0.292818,5.104224,218565.857931,5859.576972,14323932065.379932,fused-barrett,-1
1,"Tesla V100-SXM2-16GB",7.0,hybrid2d,radix4,64,18,262144,16,576460756061519873,60,9,4,512,0,1000,200,5.486176,0.345303,5.101824,46336.112529,1463.418714,12146733882.727638,fused-barrett,-1
1,"Tesla V100-SXM2-16GB",7.0,hybrid2d,radix4,64,20,1048576,4,576460756061519873,60,10,2,512,0,1000,200,5.387840,0.435569,5.096832,9183.397160,366.292307,9629489860.927404,fused-barrett,-1
2,"Tesla V100-SXM2-16GB",7.0,hybrid2d,radix4,64,16,65536,64,576460756061519873,60,8,4,256,0,1000,200,5.519168,0.293309,5.101056,218199.583980,5864.278540,14299927935.706278,fused-barrett,-1
2,"Tesla V100-SXM2-16GB",7.0,hybrid2d,radix4,64,18,262144,16,576460756061519873,60,9,4,512,0,1000,200,5.455776,0.344643,5.107488,46424.911873,1466.825865,12170012098.052582,fused-barrett,-1
2,"Tesla V100-SXM2-16GB",7.0,hybrid2d,radix4,64,20,1048576,4,576460756061519873,60,10,2,512,0,1000,200,5.469472,0.435625,5.107872,9182.210374,363.208145,9628245424.848131,fused-barrett,-1
3,"Tesla V100-SXM2-16GB",7.0,hybrid2d,radix4,64,16,65536,64,576460756061519873,60,8,4,256,0,1000,200,5.507776,0.293719,5.112896,217895.295820,5863.817886,14279986106.882847,fused-barrett,-1
3,"Tesla V100-SXM2-16GB",7.0,hybrid2d,radix4,64,18,262144,16,576460756061519873,60,9,4,512,0,1000,200,5.466304,0.344704,5.110720,46416.631421,1464.969644,12167841427.158167,fused-barrett,-1
3,"Tesla V100-SXM2-16GB",7.0,hybrid2d,radix4,64,20,1048576,4,576460756061519873,60,10,2,512,0,1000,200,5.465728,0.435272,5.102272,9189.662872,363.528246,9636059935.207603,fused-barrett,-1
