trial,device,compute_capability,operator,precision,direction,normalization,placement,auto_select,selection_target,selected_implementation,selection_confidence,predicted_kernel_ms,selection_reason,backend,compute_unit,complex_multiply,cross_twiddle,direct_boundary,stage_matrices,decomposition_count,stages_per_decomposition,segment_threads,segment_ept,boundary_twiddles,boundary_layouts,boundary_residencies,execution_group_count,group_threads,group_ept,local_exchange,shared_layout,fft_core,stage_space,stage_handoff,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,logN,N,batch,element_stride,batch_stride,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,transforms_s,Gbutterfly_s,points_s,max_error,correct
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,10,50,2.794496,0.055788,2.598944,293685763.503058,300.734222,75183555456.782974,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,10,50,2.798880,0.055890,2.608000,293147676.286270,300.183221,75045805129.285156,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,10,50,2.769024,0.055644,2.627520,294442408.839070,301.509027,75377256662.802002,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,10,50,2.785696,0.063488,2.609408,258064519.619796,264.258068,66064517022.667778,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,10,50,2.782400,0.063468,2.600512,258147769.493267,264.343316,66085828990.276299,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix2,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,10,50,2.770688,0.063549,2.603488,257815001.174986,264.002561,66000640300.796463,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix4,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,10,50,2.777120,0.051200,2.612608,320000008.083880,327.680008,81920002069.473312,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix4,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,10,50,2.784128,0.051180,2.602944,320128069.606956,327.811143,81952785819.380814,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix4,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,10,50,2.776992,0.051220,2.604544,319872048.977289,327.548978,81887244538.186081,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix4,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,10,50,2.773312,0.052040,2.630112,314836683.676878,322.392764,80598191021.280884,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix4,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,10,50,2.772800,0.052122,2.609856,314341834.703686,321.886039,80471509684.143692,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix4,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,10,50,2.769088,0.052060,2.601632,314712819.796615,322.265927,80566481867.933502,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix8,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,10,50,2.769728,0.053228,2.602368,307810687.868006,315.198144,78799536094.209503,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix8,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,10,50,2.763936,0.053371,2.608256,306983872.844967,314.351486,78587871448.311554,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix8,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,10,50,2.770048,0.053146,2.606816,308285171.780527,315.684016,78921003975.814941,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix8,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,10,50,2.767136,0.053965,2.601472,303605306.720541,310.891834,77722958520.458481,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix8,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,10,50,2.796800,0.053965,2.620704,303605306.720541,310.891834,77722958520.458481,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,0,,,,0.000000,,temporal-tile,radix8,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,0,0,0,0,8,256,16384,1,256,10,50,2.765280,0.053985,2.600800,303490120.949264,310.773884,77693470963.011581,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,0,,,,0.000000,,hierarchical,radix2,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,6,0,0,0,8,256,16384,1,256,10,50,2.764128,0.199352,2.601536,82186149.980700,84.158618,21039654395.059223,0.000000,-1
2,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,0,,,,0.000000,,hierarchical,radix2,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,6,0,0,0,8,256,16384,1,256,10,50,2.777920,0.199393,2.606528,82169271.825482,84.141334,21035333587.323452,0.000000,-1
3,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,0,,,,0.000000,,hierarchical,radix2,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,128,0,0,8,8,0,0,6,0,0,0,8,256,16384,1,256,10,50,2.766880,0.199332,2.599040,82194597.803248,84.167268,21041817037.631569,0.000000,-1
1,Tesla V100-SXM2-16GB,7.0,fwht,fp32,forward,none,out-of-place,0,,,,0.000000,,hierarchical,radix2,four-mul,table,direct-strided,,1,8,,,,,,0,,,shared,linear,scalar,0,named-barrier,256,0,0,8,8,0,0,6,0,0,0,8,256,16384,1,256,10,50,2.768096,0.246354,2.632416,66505946.837541,68.102090,17025522390.410519,0.000000,-1
