rank,operator,precision,direction,normalization,placement,stage_matrices,logN,N,batch,element_stride,batch_stride,backend,compute_unit,complex_multiply,cross_twiddle,local_exchange,shared_layout,fft_core,stage_space,tile_threads,prefix_threads,suffix_threads,prefix_ept,suffix_ept,prefix_units_per_cta,suffix_units_per_cta,local_stages,reorder_columns,warp_stages,pipeline_warps,stage_handoff,trials,median_kernel_ms,min_kernel_ms,max_kernel_ms,median_Gbutterfly_s,slowdown_vs_best
1,fwht,fp32,forward,none,out-of-place,,12,4096,1024,1,4096,temporal-tile,radix2,four-mul,table,warp-register,linear,scalar,0,256,0,0,8,8,0,0,0,0,0,0,named-barrier,3,0.043930,0.043848,0.043971,572.867143,1.000000
2,fwht,fp32,forward,none,out-of-place,,12,4096,1024,1,4096,hierarchical,radix8,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,10,0,0,0,named-barrier,3,0.142213,0.142193,0.142356,176.958524,3.237264
3,fwht,fp32,forward,none,out-of-place,,12,4096,1024,1,4096,hierarchical,radix8,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,10,0,0,0,named-barrier,3,0.142582,0.142520,0.142643,176.501004,3.245664
4,fwht,fp32,forward,none,out-of-place,,12,4096,1024,1,4096,hierarchical,radix4,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,10,0,0,0,named-barrier,3,0.143094,0.143012,0.143176,175.869466,3.257318
5,fwht,fp32,forward,none,out-of-place,,12,4096,1024,1,4096,hierarchical,radix4,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,10,0,0,0,named-barrier,3,0.143811,0.143729,0.143811,174.992885,3.273640
6,fwht,fp32,forward,none,out-of-place,,12,4096,1024,1,4096,hierarchical,radix2,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,10,0,0,0,named-barrier,3,0.148193,0.148173,0.148193,169.817573,3.373389
7,fwht,fp32,forward,none,out-of-place,,12,4096,1024,1,4096,hierarchical,radix2,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,10,0,0,0,named-barrier,3,0.151716,0.151695,0.151757,165.874725,3.453585
8,fwht,fp32,forward,none,out-of-place,,12,4096,1024,1,4096,hierarchical,radix4,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,8,0,0,0,named-barrier,3,0.227758,0.227738,0.227860,110.493661,5.184566
9,fwht,fp32,forward,none,out-of-place,,12,4096,1024,1,4096,hierarchical,radix4,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,8,0,0,0,named-barrier,3,0.228188,0.228147,0.228188,110.285408,5.194355
10,fwht,fp32,forward,none,out-of-place,,12,4096,1024,1,4096,hierarchical,radix8,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,8,0,0,0,named-barrier,3,0.228966,0.228884,0.229007,109.910547,5.212065
11,fwht,fp32,forward,none,out-of-place,,12,4096,1024,1,4096,hierarchical,radix8,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,8,0,0,0,named-barrier,3,0.228966,0.228946,0.229048,109.910547,5.212065
12,fwht,fp32,forward,none,out-of-place,,12,4096,1024,1,4096,hierarchical,radix2,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,8,0,0,0,named-barrier,3,0.233329,0.233062,0.233329,107.855701,5.311382
13,fwht,fp32,forward,none,out-of-place,,12,4096,1024,1,4096,hierarchical,radix2,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,8,0,0,0,named-barrier,3,0.239165,0.239063,0.239288,105.223497,5.444229
14,fwht,fp32,forward,none,out-of-place,,12,4096,1024,1,4096,online-reorder,radix8,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,6,1,0,0,named-barrier,3,0.364114,0.364093,0.364155,69.115247,8.288504
15,fwht,fp32,forward,none,out-of-place,,12,4096,1024,1,4096,online-reorder,radix4,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,6,1,0,0,named-barrier,3,0.365158,0.365138,0.365158,68.917559,8.312270
16,fwht,fp32,forward,none,out-of-place,,12,4096,1024,1,4096,online-reorder,radix2,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,6,1,0,0,named-barrier,3,0.366408,0.366367,0.366449,68.682581,8.340724
17,fwht,fp32,forward,none,out-of-place,,12,4096,1024,1,4096,hierarchical,radix8,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,6,0,0,0,named-barrier,3,0.374292,0.374272,0.374313,67.235717,8.520191
18,fwht,fp32,forward,none,out-of-place,,12,4096,1024,1,4096,hierarchical,radix4,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,6,0,0,0,named-barrier,3,0.374395,0.374313,0.374477,67.217332,8.522536
19,fwht,fp32,forward,none,out-of-place,,12,4096,1024,1,4096,hierarchical,radix2,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,6,0,0,0,named-barrier,3,0.374804,0.374661,0.374866,67.143869,8.531846
20,fwht,fp32,forward,none,out-of-place,,12,4096,1024,1,4096,hierarchical,radix8,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,6,0,0,0,named-barrier,3,0.390472,0.390328,0.390554,64.449803,8.888504
21,fwht,fp32,forward,none,out-of-place,,12,4096,1024,1,4096,hierarchical,radix4,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,6,0,0,0,named-barrier,3,0.396984,0.396943,0.397025,63.392486,9.036740
22,fwht,fp32,forward,none,out-of-place,,12,4096,1024,1,4096,online-reorder,radix4,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,6,1,0,0,named-barrier,3,0.405053,0.404890,0.405258,62.129639,9.220419
23,fwht,fp32,forward,none,out-of-place,,12,4096,1024,1,4096,online-reorder,radix8,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,6,1,0,0,named-barrier,3,0.406651,0.406548,0.406856,61.885573,9.256795
24,fwht,fp32,forward,none,out-of-place,,12,4096,1024,1,4096,hierarchical,radix2,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,6,0,0,0,named-barrier,3,0.422748,0.422543,0.422810,59.529117,9.623219
25,fwht,fp32,forward,none,out-of-place,,12,4096,1024,1,4096,online-reorder,radix2,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,6,1,0,0,named-barrier,3,0.428687,0.428646,0.428749,58.704376,9.758411
26,fwht,fp32,forward,none,out-of-place,,12,4096,1024,1,4096,online-reorder,radix4,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,8,1,0,0,named-barrier,3,0.532296,0.532296,0.532296,47.277902,12.116913
27,fwht,fp32,forward,none,out-of-place,,12,4096,1024,1,4096,online-reorder,radix8,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,8,1,0,0,named-barrier,3,0.532419,0.532398,0.532459,47.266993,12.119713
28,fwht,fp32,forward,none,out-of-place,,12,4096,1024,1,4096,online-reorder,radix2,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,8,1,0,0,named-barrier,3,0.568136,0.567951,0.568156,44.295447,12.932757
29,fwht,fp32,forward,none,out-of-place,,12,4096,1024,1,4096,online-reorder,radix4,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,8,1,0,0,named-barrier,3,0.702505,0.702484,0.702546,35.822985,15.991464
30,fwht,fp32,forward,none,out-of-place,,12,4096,1024,1,4096,online-reorder,radix8,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,8,1,0,0,named-barrier,3,0.717394,0.717373,0.717414,35.079505,16.330389
31,fwht,fp32,forward,none,out-of-place,,12,4096,1024,1,4096,online-reorder,radix2,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,8,1,0,0,named-barrier,3,0.802243,0.784077,0.840806,31.369345,18.261848
32,fwht,fp32,forward,none,out-of-place,,12,4096,1024,1,4096,online-reorder,radix8,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,10,1,0,0,named-barrier,3,1.549885,1.549845,1.550049,16.237216,35.280788
33,fwht,fp32,forward,none,out-of-place,,12,4096,1024,1,4096,online-reorder,radix4,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,10,1,0,0,named-barrier,3,1.549967,1.549865,1.551360,16.236358,35.282654
34,fwht,fp32,forward,none,out-of-place,,12,4096,1024,1,4096,online-reorder,radix2,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,10,1,0,0,named-barrier,3,1.553654,1.552241,1.674281,16.197833,35.366583
35,fwht,fp32,forward,none,out-of-place,,12,4096,1024,1,4096,online-reorder,radix4,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,10,1,0,0,named-barrier,3,1.931653,1.931633,1.931735,13.028128,43.971159
36,fwht,fp32,forward,none,out-of-place,,12,4096,1024,1,4096,online-reorder,radix2,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,10,1,0,0,named-barrier,3,2.085356,2.085212,2.089042,12.067882,47.469975
37,fwht,fp32,forward,none,out-of-place,,12,4096,1024,1,4096,online-reorder,radix8,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,10,1,0,0,named-barrier,3,2.085581,2.085519,2.085622,12.066578,47.475097
1,fwht,fp32,forward,none,out-of-place,,16,65536,64,1,65536,online-reorder,radix8,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,8,1,0,0,named-barrier,3,0.310804,0.310804,0.310825,107.959935,1.000000
2,fwht,fp32,forward,none,out-of-place,,16,65536,64,1,65536,online-reorder,radix4,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,8,1,0,0,named-barrier,3,0.310845,0.310804,0.310845,107.945713,1.000132
3,fwht,fp32,forward,none,out-of-place,,16,65536,64,1,65536,online-reorder,radix4,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,8,1,0,0,named-barrier,3,0.311849,0.311849,0.311910,107.598342,1.003362
4,fwht,fp32,forward,none,out-of-place,,16,65536,64,1,65536,online-reorder,radix8,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,8,1,0,0,named-barrier,3,0.312074,0.312054,0.312095,107.520671,1.004086
5,fwht,fp32,forward,none,out-of-place,,16,65536,64,1,65536,online-reorder,radix2,four-mul,table,shared,linear,scalar,0,128,0,0,8,8,0,0,8,1,0,0,named-barrier,3,0.312484,0.312381,0.312504,107.379733,1.005405
6,fwht,fp32,forward,none,out-of-place,,16,65536,64,1,65536,online-reorder,radix2,four-mul,table,shared,linear,scalar,0,256,0,0,8,8,0,0,8,1,0,0,named-barrier,3,0.312545,0.312545,0.312586,107.358630,1.005602
