operator,precision,logical_shape,batch,policy,trial,algorithm,physical_shape,kernel_ms
fwht,fp32,32767,256,default,1,zero-extended[temporal-warp-register-radix2]+direct-output,32768,0.242842
fwht,fp32,32767,256,default,2,zero-extended[temporal-warp-register-radix2]+direct-output,32768,0.242708
fwht,fp32,32767,256,default,3,zero-extended[temporal-warp-register-radix2]+direct-output,32768,0.242586
fwht,fp32,32767,256,default,4,zero-extended[temporal-warp-register-radix2]+direct-output,32768,0.242657
fwht,fp32,32767,256,default,5,zero-extended[temporal-warp-register-radix2]+direct-output,32768,0.242729
fwht,fp32,255,65536,default,1,zero-extended[temporal-warp-register-radix2]+direct-output,256,0.412979
fwht,fp32,255,65536,default,2,zero-extended[temporal-warp-register-radix2]+direct-output,256,0.412692
fwht,fp32,255,65536,default,3,zero-extended[temporal-warp-register-radix2]+direct-output,256,0.412293
fwht,fp32,255,65536,default,4,zero-extended[temporal-warp-register-radix2]+direct-output,256,0.412314
fwht,fp32,255,65536,default,5,zero-extended[temporal-warp-register-radix2]+direct-output,256,0.412314
subset-zeta,uint32,32767,256,default,1,zero-extended[hierarchical-radix4]+direct-output,32768,0.648817
subset-zeta,uint32,32767,256,default,2,zero-extended[hierarchical-radix4]+direct-output,32768,0.648817
subset-zeta,uint32,32767,256,default,3,zero-extended[hierarchical-radix4]+direct-output,32768,0.648837
subset-zeta,uint32,32767,256,default,4,zero-extended[hierarchical-radix4]+direct-output,32768,0.648806
subset-zeta,uint32,32767,256,default,5,zero-extended[hierarchical-radix4]+direct-output,32768,0.648929
superset-zeta,uint32,32767,256,default,1,zero-extended[hierarchical-radix4]+direct-output,32768,0.649032
superset-zeta,uint32,32767,256,default,2,zero-extended[hierarchical-radix4]+direct-output,32768,0.649001
superset-zeta,uint32,32767,256,default,3,zero-extended[hierarchical-radix4]+direct-output,32768,0.648847
superset-zeta,uint32,32767,256,default,4,zero-extended[hierarchical-radix4]+direct-output,32768,0.649011
superset-zeta,uint32,32767,256,default,5,zero-extended[hierarchical-radix4]+direct-output,32768,0.649001
structured-2x2,fp32,32767,256,explicit,1,zero-extended[temporal-warp-register-radix2]+direct-output,32768,0.257444
structured-2x2,fp32,32767,256,explicit,2,zero-extended[temporal-warp-register-radix2]+direct-output,32768,0.258212
structured-2x2,fp32,32767,256,explicit,3,zero-extended[temporal-warp-register-radix2]+direct-output,32768,0.257618
structured-2x2,fp32,32767,256,explicit,4,zero-extended[temporal-warp-register-radix2]+direct-output,32768,0.257905
structured-2x2,fp32,32767,256,explicit,5,zero-extended[temporal-warp-register-radix2]+direct-output,32768,0.25772
