operator,precision,logical_shape,batch,length_mode,policy,trial,algorithm,physical_shape,kernel_ms,cufft_ms
fft,fp32,1000,64,standard,default,1,cufft-direct,1000,0.00427008,0.00427008
fft,fp32,1000,64,standard,default,2,cufft-direct,1000,0.00427008,0.00427008
fft,fp32,1000,64,standard,default,3,cufft-direct,1000,0.00428032,0.00427008
fft,fp32,1000,64,standard,default,4,cufft-direct,1000,0.00427008,0.00428032
fft,fp32,1000,64,standard,default,5,cufft-direct,1000,0.00427008,0.00428032
fft,fp32,30x50,64,standard,default,1,cufft-direct,30x50,0.00979968,0.0098304
fft,fp32,30x50,64,standard,default,2,cufft-direct,30x50,0.00980992,0.00980992
fft,fp32,30x50,64,standard,default,3,cufft-direct,30x50,0.00980992,0.00980992
fft,fp32,30x50,64,standard,default,4,cufft-direct,30x50,0.00978944,0.00980992
fft,fp32,30x50,64,standard,default,5,cufft-direct,30x50,0.00982016,0.00982016
ntt,uint64,5419,1,standard,default,1,bluestein-ntt[ntt-hybrid-radix4],16384,0.0314573,
ntt,uint64,5419,1,standard,default,2,bluestein-ntt[ntt-hybrid-radix4],16384,0.0314778,
ntt,uint64,5419,1,standard,default,3,bluestein-ntt[ntt-hybrid-radix4],16384,0.0314675,
ntt,uint64,5419,1,standard,default,4,bluestein-ntt[ntt-hybrid-radix4],16384,0.0314675,
ntt,uint64,5419,1,standard,default,5,bluestein-ntt[ntt-hybrid-radix4],16384,0.0314368,
ntt,uint64,5419,64,standard,default,1,bluestein-ntt[ntt-hybrid-radix4],16384,0.213228,
ntt,uint64,5419,64,standard,default,2,bluestein-ntt[ntt-hybrid-radix4],16384,0.213166,
ntt,uint64,5419,64,standard,default,3,bluestein-ntt[ntt-hybrid-radix4],16384,0.21333,
ntt,uint64,5419,64,standard,default,4,bluestein-ntt[ntt-hybrid-radix4],16384,0.213228,
ntt,uint64,5419,64,standard,default,5,bluestein-ntt[ntt-hybrid-radix4],16384,0.212992,
fwht,fp32,32767,256,embedding,default,1,zero-extended[temporal-warp-register-radix2],32768,0.326543,
fwht,fp32,32767,256,embedding,default,2,zero-extended[temporal-warp-register-radix2],32768,0.323973,
fwht,fp32,32767,256,embedding,default,3,zero-extended[temporal-warp-register-radix2],32768,0.324239,
fwht,fp32,32767,256,embedding,default,4,zero-extended[temporal-warp-register-radix2],32768,0.324065,
fwht,fp32,32767,256,embedding,default,5,zero-extended[temporal-warp-register-radix2],32768,0.324086,
fwht,fp32,255,65536,embedding,default,1,zero-extended[temporal-warp-register-radix2],256,0.584264,
fwht,fp32,255,65536,embedding,default,2,zero-extended[temporal-warp-register-radix2],256,0.584172,
fwht,fp32,255,65536,embedding,default,3,zero-extended[temporal-warp-register-radix2],256,0.584182,
fwht,fp32,255,65536,embedding,default,4,zero-extended[temporal-warp-register-radix2],256,0.584264,
fwht,fp32,255,65536,embedding,default,5,zero-extended[temporal-warp-register-radix2],256,0.584223,
subset-zeta,uint32,32767,256,embedding,default,1,zero-extended[hierarchical-radix4],32768,0.735898,
subset-zeta,uint32,32767,256,embedding,default,2,zero-extended[hierarchical-radix4],32768,0.736133,
subset-zeta,uint32,32767,256,embedding,default,3,zero-extended[hierarchical-radix4],32768,0.736061,
subset-zeta,uint32,32767,256,embedding,default,4,zero-extended[hierarchical-radix4],32768,0.736031,
subset-zeta,uint32,32767,256,embedding,default,5,zero-extended[hierarchical-radix4],32768,0.736051,
superset-zeta,uint32,32767,256,embedding,default,1,zero-extended[hierarchical-radix4],32768,0.736072,
superset-zeta,uint32,32767,256,embedding,default,2,zero-extended[hierarchical-radix4],32768,0.736092,
superset-zeta,uint32,32767,256,embedding,default,3,zero-extended[hierarchical-radix4],32768,0.736133,
superset-zeta,uint32,32767,256,embedding,default,4,zero-extended[hierarchical-radix4],32768,0.73601,
superset-zeta,uint32,32767,256,embedding,default,5,zero-extended[hierarchical-radix4],32768,0.736215,
structured-2x2,fp32,32767,256,embedding,default,1,zero-extended[hierarchical-radix4],32768,0.744632,
structured-2x2,fp32,32767,256,embedding,default,2,zero-extended[hierarchical-radix4],32768,0.744643,
structured-2x2,fp32,32767,256,embedding,default,3,zero-extended[hierarchical-radix4],32768,0.744376,
structured-2x2,fp32,32767,256,embedding,default,4,zero-extended[hierarchical-radix4],32768,0.744602,
structured-2x2,fp32,32767,256,embedding,default,5,zero-extended[hierarchical-radix4],32768,0.744561,
structured-2x2,fp32,32767,256,embedding,explicit,1,zero-extended[temporal-warp-register-radix2],32768,0.345221,
structured-2x2,fp32,32767,256,embedding,explicit,2,zero-extended[temporal-warp-register-radix2],32768,0.344248,
structured-2x2,fp32,32767,256,embedding,explicit,3,zero-extended[temporal-warp-register-radix2],32768,0.344238,
structured-2x2,fp32,32767,256,embedding,explicit,4,zero-extended[temporal-warp-register-radix2],32768,0.344699,
structured-2x2,fp32,32767,256,embedding,explicit,5,zero-extended[temporal-warp-register-radix2],32768,0.343921,
