word_bits,logN,batch,backend,n1_log,rows_per_block,threads_per_block,data_time,target_ctas_per_sm,kernel_ms,correct
32,12,1024,hierarchical-dataflow,6,4,256,1,8,0.178074,1
32,12,1024,hybrid2d,6,4,256,0,0,0.158003,1
32,14,256,hierarchical-dataflow,7,4,256,1,8,0.185344,1
32,14,256,hybrid2d,7,4,256,0,0,0.165990,1
32,16,64,hierarchical-dataflow,8,4,256,1,6,0.200704,1
32,16,64,hybrid2d,8,4,256,0,0,0.176435,1
32,18,16,hierarchical-dataflow,9,4,256,1,6,0.233370,1
32,18,16,hybrid2d,9,4,512,0,0,0.214118,1
32,20,4,hierarchical-dataflow,10,4,256,1,5,0.270541,1
32,20,4,hybrid2d,10,2,512,0,0,0.325325,1
64,12,1024,hierarchical-dataflow,6,4,256,1,6,0.293786,1
64,12,1024,hybrid2d,6,4,256,0,0,0.267981,1
64,14,256,hierarchical-dataflow,7,4,256,1,6,0.284774,1
64,14,256,hybrid2d,7,4,256,0,0,0.266752,1
64,16,64,hierarchical-dataflow,8,4,256,1,5,0.321024,1
64,16,64,hybrid2d,8,4,256,0,0,0.305459,1
64,18,16,hierarchical-dataflow,9,4,256,1,5,0.374886,1
64,18,16,hybrid2d,9,4,512,0,0,0.374374,1
64,20,4,hierarchical-dataflow,10,4,256,1,2,0.543642,1
64,20,4,hybrid2d,10,2,512,0,0,0.476365,1
