word_bits,rows,data_time,threads,target_ctas,kernel_ms,correct
32,1,1,128,12,0.512860,1
32,1,1,256,6,0.582083,1
32,1,1,512,3,0.561889,1
32,1,2,128,12,0.601846,1
32,1,2,256,6,0.672788,1
32,1,2,512,3,0.565043,1
32,1,4,128,12,1.370685,1
32,1,4,256,6,1.165660,1
32,1,4,512,3,0.680980,1
32,1,8,128,12,1.924465,1
32,1,8,256,6,1.905213,1
32,1,8,512,3,1.391309,1
32,2,1,128,11,0.312054,1
32,2,1,256,6,0.290796,1
32,2,1,512,3,0.350044,1
32,2,2,128,11,0.438682,1
32,2,2,256,6,0.488796,1
32,2,2,512,3,0.406241,1
32,2,4,128,11,0.825303,1
32,2,4,256,6,0.905032,1
32,2,4,512,3,0.713032,1
32,2,8,128,11,0.943063,1
32,2,8,256,6,1.039708,1
32,2,8,512,3,1.116385,1
32,4,1,128,5,0.283382,1
32,4,1,256,5,0.243057,1
32,4,1,512,3,0.249098,1
32,4,2,128,5,0.398500,1
32,4,2,256,5,0.361820,1
32,4,2,512,3,0.349573,1
32,4,4,128,5,0.515994,1
32,4,4,256,5,0.520049,1
32,4,4,512,3,0.526950,1
32,4,8,128,5,0.646636,1
32,4,8,256,5,0.570327,1
32,4,8,512,3,0.529265,1
64,1,1,128,10,0.642642,1
64,1,1,256,5,0.745841,1
64,1,1,512,2,0.656486,1
64,1,2,128,10,1.209283,1
64,1,2,256,5,1.208771,1
64,1,2,512,2,0.666276,1
64,1,4,128,10,1.779896,1
64,1,4,256,5,1.870889,1
64,1,4,512,2,1.134531,1
64,1,8,128,10,2.435543,1
64,1,8,256,5,2.347970,1
64,1,8,512,2,1.948385,1
64,2,1,128,5,0.497521,1
64,2,1,256,5,0.482693,1
64,2,1,512,2,0.456049,1
64,2,2,128,5,0.791429,1
64,2,2,256,5,0.787558,1
64,2,2,512,2,0.582676,1
64,2,4,128,5,1.138749,1
64,2,4,256,5,1.110569,1
64,2,4,512,2,1.021276,1
64,2,8,128,5,1.277665,1
64,2,8,256,5,1.365627,1
64,2,8,512,2,1.279181,1
64,4,1,128,2,0.628347,1
64,4,1,256,2,0.500388,1
64,4,1,512,2,0.459203,1
64,4,2,128,2,0.825119,1
64,4,2,256,2,0.682107,1
64,4,2,512,2,0.626422,1
64,4,4,128,2,0.905912,1
64,4,4,256,2,0.785531,1
64,4,4,512,2,0.727306,1
64,4,8,128,2,0.926945,1
64,4,8,256,2,0.794071,1
64,4,8,512,2,0.727982,1
