variant,word_bits,batch,trials,kernel_ms,min_kernel_ms,max_kernel_ms,spread_pct,correct,speedup_vs_barrier
barrier,32,1,3,0.080179,0.079811,0.089395,12.0083697735901,-1,1.0
generic776,32,1,3,0.371343,0.370442,0.433377,16.989164295625226,-1,0.2159162822511802
resident1010,32,1,3,0.129372,0.129229,0.148316,14.769904587979465,-1,0.6197554339424296
resident776,32,1,3,0.428339,0.428155,0.458691,7.131996590019973,-1,0.1871858504595659
barrier,32,4,3,0.271708,0.242811,0.271892,11.976805004715608,-1,1.0
generic776,32,4,3,1.501737,1.340826,1.503498,12.132222973003204,-1,0.18092915071014432
resident1010,32,4,3,0.347505,0.310989,0.350618,12.742894443211817,-1,0.7818822750751788
resident776,32,4,3,2.627093,2.600243,2.668565,2.6275236583657824,-1,0.1034253450486907
barrier,32,8,3,0.50176,0.493711,0.504832,2.252532351922465,-1,1.0
generic776,32,8,3,3.706859,3.692011,3.834429,3.857464129982291,-1,0.13535988285499934
resident1010,32,8,3,0.546652,0.544522,0.56834,4.374111606142628,-1,0.9178782845393412
resident776,32,8,3,5.996687,5.99593,6.01985,0.3989372791209922,-1,0.08367286803530016
barrier,32,16,3,1.058591,1.032847,1.069363,3.535470403651275,-1,1.0
generic776,32,16,3,10.324991,10.277396,10.330603,0.5177089605187923,-1,0.1025270627354542
resident1010,32,16,3,1.020949,1.010237,1.020969,1.0623249791880562,-1,1.0368696183648742
resident776,32,16,3,13.564334,13.561733,13.615412,0.3958122461192648,-1,0.07804223930198122
barrier,32,32,3,2.852577,2.841661,2.925957,2.9664340679623535,-1,1.0
generic776,32,32,3,25.470772,25.424261,25.474253,0.19663108398706441,-1,0.11199413194072014
resident1010,32,32,3,2.398044,2.327101,2.44052,4.87383229176559,-1,1.1895432277306004
resident776,32,32,3,29.840281,29.816259,29.858078,0.14025569069546773,-1,0.09559484376169246
barrier,64,1,3,0.142316,0.141701,0.142336,0.4481266892964797,-1,1.0
generic776,64,1,3,0.502252,0.501699,0.56703,13.021951409111843,-1,0.28335576563159526
resident1010,64,1,3,0.203489,0.203325,0.204001,0.33247264232139084,-1,0.6993793276295033
resident776,64,1,3,0.644895,0.644649,0.694313,7.704037390890228,-1,0.22068088603571123
barrier,64,4,3,0.503357,0.502989,0.543805,8.114690380902957,-1,1.0
generic776,64,4,3,1.477263,1.476137,1.620787,9.799225952604672,-1,0.34073621284767847
resident1010,64,4,3,0.555151,0.55466,0.609178,9.82908448418851,-1,0.9067028610233974
resident776,64,4,3,3.363328,3.320095,3.559588,7.213438169690933,-1,0.14966039589359112
barrier,64,8,3,0.963727,0.963441,0.967578,0.42939837519890833,-1,1.0
generic776,64,8,3,2.871419,2.8689,2.874901,0.20917424796960127,-1,0.3356274371660841
resident1010,64,8,3,0.972923,0.971858,0.973496,0.16854314107617174,-1,0.9905480700939334
resident776,64,8,3,7.630172,7.523267,7.888138,4.8499009805181625,-1,0.12630475433581315
barrier,64,16,3,1.895014,1.889034,2.00919,6.360711347704684,-1,1.0
generic776,64,16,3,6.695895,6.620693,6.95636,5.069967751110038,-1,0.2830113076743288
resident1010,64,16,3,1.840476,1.83722,1.842155,0.2686123599786594,-1,1.029632551579048
resident776,64,16,3,16.561808,16.432209,16.663612,1.4082281937869645,-1,0.11442072024986645
barrier,64,32,3,3.712512,3.710956,3.723551,0.33940041326279147,-1,1.0
generic776,64,32,3,24.247295,23.757927,24.409927,2.7443471814691645,-1,0.15311035725840758
resident1010,64,32,3,3.623834,3.606958,3.630572,0.654679095237598,-1,1.0244707677007279
resident776,64,32,3,35.610031,35.583488,35.682384,0.2779266608152531,-1,0.10425466914083843
