trial,variant,producer_dt,consumer_dt,weights,resident_ctas,device,compute_capability,auto_select,selection_target,selected_implementation,selection_confidence,predicted_kernel_ms,selection_reason,backend,stage_space,stage_handoff,flow_tile_log,data_space,role_stages,target_ctas_per_sm,data_time,token_interleave,pipeline_buffers,dataflow_layout,dataflow_state,compute_unit,word_bits,logN,N,batch,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,hierarchical_core,stage_partition,segment_cores,segment_threads,segment_units,segment_data_space,segment_data_time,segment_role_stages,segment_token_interleave,segment_cta_weights,boundary_storage,boundary_buffers,ready_window,inverse,warmup,repeat,h2d_ms,kernel_ms,timed_region_wall_ms,host_timing_overhead_ms,appt_producer_weight,appt_tail_weight,appt_writer_weight,appt_fragment_width,appt_writer_tiles,appt_data_time_roles,input_order,output_order,appt_layout_id,d2h_ms,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,cross_twiddle,mod_multiply,correct
1,v06,1,1,9-11,4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-wave-10x10-resident-radix4","experimental",0.000000,"transform-wave readiness with the generated resident radix-4 core",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"10+10","dataflow-radix4+dataflow-radix4","256+256","1+1","0+0","1+1","0+0","0+0","9+11","full-scratch","1",8,0,2,10,0.807712,0.148480,0.149566,0.001086,0,0,0,0,0,7,natural,natural,"",0.720864,6734.913879,596.283005,7062069055.328189,fused,shoup,-1
1,homogeneous,1,1,8-12,4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-radix4-10x10","experimental",0.000000,"generated homogeneous two-level radix-4 roles with independent batch-time traversal",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-radix4+homogeneous-radix4","256+256","4+4","0+0","1+1","0+0","0+0","8+12","full-scratch","1",8,0,2,10,0.792000,0.151142,0.152214,0.001072,0,0,0,0,0,7,natural,natural,"",0.725440,6616.277600,599.311124,6937669900.787085,fused,shoup,-1
1,homogeneous,1,1,9-11,4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-radix4-10x10","experimental",0.000000,"generated homogeneous two-level radix-4 roles with independent batch-time traversal",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-radix4+homogeneous-radix4","256+256","4+4","0+0","1+1","0+0","0+0","9+11","full-scratch","1",8,0,2,10,0.781376,0.148173,0.149131,0.000958,0,0,0,0,0,7,natural,natural,"",0.732000,6748.877179,601.848109,7076710637.285809,fused,shoup,-1
1,homogeneous,1,1,10-10,4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-radix4-10x10","experimental",0.000000,"generated homogeneous two-level radix-4 roles with independent batch-time traversal",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-radix4+homogeneous-radix4","256+256","4+4","0+0","1+1","0+0","0+0","10+10","full-scratch","1",8,0,2,10,0.800064,0.149504,0.150550,0.001046,0,0,0,0,0,7,natural,natural,"",0.727968,6688.783982,596.112390,7013698352.928982,fused,shoup,-1
1,homogeneous,1,2,8-12,4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-radix4-10x10","experimental",0.000000,"generated homogeneous two-level radix-4 roles with independent batch-time traversal",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-radix4+homogeneous-radix4","256+256","4+4","0+0","1+2","0+0","0+0","8+12","full-scratch","1",8,0,2,10,0.798464,0.151142,0.152354,0.001211,0,0,0,0,0,7,natural,natural,"",0.741056,6616.277600,591.484138,6937669900.787085,fused,shoup,-1
1,homogeneous,1,2,9-11,4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-radix4-10x10","experimental",0.000000,"generated homogeneous two-level radix-4 roles with independent batch-time traversal",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-radix4+homogeneous-radix4","256+256","4+4","0+0","1+2","0+0","0+0","9+11","full-scratch","1",8,0,2,10,0.799296,0.149094,0.150100,0.001005,0,0,0,0,0,7,natural,natural,"",0.725408,6707.159902,597.443500,7032966901.356007,fused,shoup,-1
1,homogeneous,1,2,10-10,4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-radix4-10x10","experimental",0.000000,"generated homogeneous two-level radix-4 roles with independent batch-time traversal",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-radix4+homogeneous-radix4","256+256","4+4","0+0","1+2","0+0","0+0","10+10","full-scratch","1",8,0,2,10,0.799424,0.148480,0.149574,0.001094,0,0,0,0,0,7,natural,natural,"",0.748992,6734.913879,589.311301,7062069055.328189,fused,shoup,-1
1,homogeneous,1,4,8-12,4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-radix4-10x10","experimental",0.000000,"generated homogeneous two-level radix-4 roles with independent batch-time traversal",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-radix4+homogeneous-radix4","256+256","4+4","0+0","1+4","0+0","0+0","8+12","full-scratch","1",8,0,2,10,0.795584,0.150835,0.151835,0.001000,0,0,0,0,0,7,natural,natural,"",0.716960,6629.752156,601.185814,6951798996.823177,fused,shoup,-1
1,homogeneous,1,4,9-11,4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-radix4-10x10","experimental",0.000000,"generated homogeneous two-level radix-4 roles with independent batch-time traversal",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-radix4+homogeneous-radix4","256+256","4+4","0+0","1+4","0+0","0+0","9+11","full-scratch","1",8,0,2,10,0.787968,0.148890,0.149941,0.001051,0,0,0,0,0,7,natural,natural,"",0.727168,6716.385777,600.952291,7042640932.161654,fused,shoup,-1
1,homogeneous,1,4,10-10,4,"Tesla V100-SXM2-16GB",7.0,0,"v100-sm70","hierarchical-dataflow-homogeneous-radix4-10x10","experimental",0.000000,"generated homogeneous two-level radix-4 roles with independent batch-time traversal",hierarchical-dataflow,0,named-barrier,0,0,0,4,0,0,0,hermes-xor,inplace,radix4,32,20,1048576,1,998244353,30,0,0,0,dataflow-radix4,"10+10","homogeneous-radix4+homogeneous-radix4","256+256","4+4","0+0","1+4","0+0","0+0","10+10","full-scratch","1",8,0,2,10,0.785792,0.148685,0.149723,0.001038,0,0,0,0,0,7,natural,natural,"",0.734176,6725.637067,599.285853,7052341613.392894,fused,shoup,-1
