word_bits,batch,variant,producer_dt,consumer_dt,weights,resident_ctas,kernel_ms,trials,throughput_vs_v06
32,1,homogeneous,1,1,10-10,4,0.149453,2,0.9928037577030906
32,1,homogeneous,1,1,8-12,4,0.15104,2,0.9823722192796609
32,1,homogeneous,1,1,9-11,4,0.1485825,2,0.9986202951222384
32,1,homogeneous,1,2,10-10,4,0.1496575,2,0.991447137630924
32,1,homogeneous,1,2,8-12,4,0.15129599999999999,2,0.9807099989424705
32,1,homogeneous,1,2,9-11,4,0.1486845,2,0.9979352252588535
32,1,homogeneous,1,4,10-10,4,0.1486335,2,0.9982776426579472
32,1,homogeneous,1,4,8-12,4,0.15144950000000001,2,0.9797160109475435
32,1,homogeneous,1,4,9-11,4,0.148992,2,0.9958756174828177
32,1,homogeneous,2,1,10-10,4,0.14909450000000002,2,0.9951909694857958
32,1,homogeneous,2,1,8-12,4,0.1512445,2,0.9810439387878567
32,1,homogeneous,2,1,9-11,4,0.148582,2,0.9986236556245036
32,1,homogeneous,2,2,10-10,4,0.1499645,2,0.9894174954739288
32,1,homogeneous,2,2,8-12,4,0.1519615,2,0.9764150788193062
32,1,homogeneous,2,2,9-11,4,0.1496575,2,0.991447137630924
32,1,homogeneous,4,1,10-10,4,0.1483265,2,1.000343836064358
32,1,homogeneous,4,1,8-12,4,0.151501,2,0.9793829743698061
32,1,homogeneous,4,1,9-11,4,0.1483775,2,1.0
32,1,v06,1,1,9-11,4,0.1483775,4,1.0
32,4,homogeneous,1,1,10-10,4,0.36766699999999997,2,0.9498676791770814
32,4,homogeneous,1,1,8-12,4,0.3480065,2,1.003530106477896
32,4,homogeneous,1,1,9-11,4,0.3468285,2,1.006938587803482
32,4,homogeneous,1,2,10-10,4,0.4000765,2,0.8729205539440581
32,4,homogeneous,1,2,8-12,4,0.3751425,2,0.9309395762943414
32,4,homogeneous,1,2,9-11,4,0.36741100000000004,2,0.9505295159916277
32,4,homogeneous,1,4,10-10,4,0.406477,2,0.859175303891733
32,4,homogeneous,1,4,8-12,4,0.416666,2,0.8381653410645457
32,4,homogeneous,1,4,9-11,4,0.409805,2,0.8521979966081429
32,4,homogeneous,2,1,10-10,4,0.4030975,2,0.8663784816328555
32,4,homogeneous,2,1,8-12,4,0.3706365,2,0.9422574409158299
32,4,homogeneous,2,1,9-11,4,0.37596149999999995,2,0.9289116039807268
32,4,homogeneous,2,2,10-10,4,0.4033025,2,0.8659380985736512
32,4,homogeneous,2,2,8-12,4,0.3874305,2,0.9014132857377
32,4,homogeneous,2,2,9-11,4,0.380621,2,0.9175400201250061
32,4,homogeneous,4,1,10-10,4,0.443341,2,0.7877344978244737
32,4,homogeneous,4,1,8-12,4,0.4122625,2,0.8471180376580455
32,4,homogeneous,4,1,9-11,4,0.42214399999999996,2,0.8272887924499697
32,4,v06,1,1,9-11,4,0.34923499999999996,4,1.0
32,16,homogeneous,1,1,10-10,4,1.162701,2,0.9339030412806044
32,16,homogeneous,1,1,8-12,4,1.1617795,2,0.9346437942828222
32,16,homogeneous,1,1,9-11,4,1.0888705,2,0.9972260245823539
32,16,homogeneous,1,2,10-10,4,1.1720705,2,0.9264374455290871
32,16,homogeneous,1,2,8-12,4,1.2013565000000002,2,0.9038532692002748
32,16,homogeneous,1,2,9-11,4,1.1449855,2,0.9483526210593933
32,16,homogeneous,1,4,10-10,4,1.204429,2,0.9015475382940796
32,16,homogeneous,1,4,8-12,4,1.2333565000000002,2,0.8804023816309395
32,16,homogeneous,1,4,9-11,4,1.1902979999999999,2,0.9122505456616747
32,16,homogeneous,2,1,10-10,4,1.1904,2,0.9121723790322581
32,16,homogeneous,2,1,8-12,4,1.1720704999999998,2,0.9264374455290874
32,16,homogeneous,2,1,9-11,4,1.143808,2,0.9493289083482543
32,16,homogeneous,2,2,10-10,4,1.207245,2,0.899444603208131
32,16,homogeneous,2,2,8-12,4,1.190963,2,0.9117411708004363
32,16,homogeneous,2,2,9-11,4,1.1654654999999998,2,0.9316878105786917
32,16,homogeneous,4,1,10-10,4,1.248307,2,0.8698581358592077
32,16,homogeneous,4,1,8-12,4,1.2406785,2,0.8752065905873277
32,16,homogeneous,4,1,9-11,4,1.2306435,2,0.8823432618788463
32,16,v06,1,1,9-11,4,1.08585,4,1.0
64,1,homogeneous,1,1,10-10,2,0.255027,2,0.8992185141181129
64,1,homogeneous,1,1,8-12,2,0.2382335,2,0.9626060146872711
64,1,homogeneous,1,1,9-11,2,0.2294785,2,0.9993310920195138
64,1,homogeneous,1,2,10-10,2,0.29240299999999997,2,0.7842771790987098
64,1,homogeneous,1,2,8-12,2,0.2671615,2,0.8583759261719971
64,1,homogeneous,1,2,9-11,2,0.2591745,2,0.8848285614518404
64,1,homogeneous,1,4,10-10,2,0.2919935,2,0.7853770717498848
64,1,homogeneous,1,4,8-12,2,0.26721300000000003,2,0.8582104912560391
64,1,homogeneous,1,4,9-11,2,0.259021,2,0.8853529250524089
64,1,homogeneous,2,1,10-10,2,0.29184,2,0.7857901589912281
64,1,homogeneous,2,1,8-12,2,0.266496,2,0.86051948246878
64,1,homogeneous,2,1,9-11,2,0.25881600000000005,2,0.8860541852126605
64,1,homogeneous,2,2,10-10,2,0.2917375,2,0.7860662410557436
64,1,homogeneous,2,2,8-12,2,0.2667005,2,0.859859655306233
64,1,homogeneous,2,2,9-11,2,0.2592255,2,0.8846544803655505
64,1,homogeneous,4,1,10-10,2,0.292352,2,0.784413994089317
64,1,homogeneous,4,1,8-12,2,0.267264,2,0.8580467253352491
64,1,homogeneous,4,1,9-11,2,0.259379,2,0.8841309435227986
64,1,v06,1,1,9-11,2,0.229325,4,1.0
64,4,homogeneous,1,1,10-10,2,0.622285,2,0.9848606345966882
64,4,homogeneous,1,1,8-12,2,0.6273025,2,0.9769831939136223
64,4,homogeneous,1,1,9-11,2,0.61312,2,0.9995824634655534
64,4,homogeneous,1,2,10-10,2,0.810342,2,0.7563028943335037
64,4,homogeneous,1,2,8-12,2,0.765747,2,0.800347895584312
64,4,homogeneous,1,2,9-11,2,0.7809025,2,0.7848150057145419
