trial,variant,kernel_ms
1,warp128_coefficient_reuse4_dual,1.409188
2,warp128_coefficient_reuse4_dual,1.272627
3,warp128_coefficient_reuse4_dual,1.271501
4,warp128_coefficient_reuse4_dual,1.269555
5,warp128_coefficient_reuse4_dual,1.278423
1,warp128_vector_radix4_dual,1.322988
2,warp128_vector_radix4_dual,1.244590
3,warp128_vector_radix4_dual,1.238426
4,warp128_vector_radix4_dual,1.239081
5,warp128_vector_radix4_dual,1.238917
1,warp128_vector_radix4_distributed3_dual,1.318175
2,warp128_vector_radix4_distributed3_dual,1.315164
3,warp128_vector_radix4_distributed3_dual,1.316557
4,warp128_vector_radix4_distributed3_dual,1.316659
5,warp128_vector_radix4_distributed3_dual,1.317683
1,warp128_vector_radix4_distributed4_dual,1.330360
2,warp128_vector_radix4_distributed4_dual,1.330545
3,warp128_vector_radix4_distributed4_dual,1.325466
4,warp128_vector_radix4_distributed4_dual,1.329910
5,warp128_vector_radix4_distributed4_dual,1.328845
1,warp128_vector_radix4_distributed5_dual,1.238794
2,warp128_vector_radix4_distributed5_dual,1.238200
3,warp128_vector_radix4_distributed5_dual,1.238753
4,warp128_vector_radix4_distributed5_dual,1.238610
5,warp128_vector_radix4_distributed5_dual,1.240494
1,warp128_vector_radix4_distributed6_dual,1.201336
2,warp128_vector_radix4_distributed6_dual,1.201070
3,warp128_vector_radix4_distributed6_dual,1.204183
4,warp128_vector_radix4_distributed6_dual,1.196319
5,warp128_vector_radix4_distributed6_dual,1.201541
