trial,variant,kernel_ms
1,v06,1.499914
2,v06,1.421046
3,v06,1.464709
4,v06,1.462518
5,v06,1.426371
1,warp128_coefficient_reuse4_dual,1.321492
2,warp128_coefficient_reuse4_dual,1.272709
3,warp128_coefficient_reuse4_dual,1.273815
4,warp128_coefficient_reuse4_dual,1.270641
5,warp128_coefficient_reuse4_dual,1.278341
1,warp128_vector_radix4_dual,1.296282
2,warp128_vector_radix4_dual,1.240924
3,warp128_vector_radix4_dual,1.237791
4,warp128_vector_radix4_dual,1.239183
5,warp128_vector_radix4_dual,1.237750
1,warp128_vector_radix4_reuse3_dual,1.333473
2,warp128_vector_radix4_reuse3_dual,1.324769
3,warp128_vector_radix4_reuse3_dual,1.327022
4,warp128_vector_radix4_reuse3_dual,1.326797
5,warp128_vector_radix4_reuse3_dual,1.333125
1,warp128_vector_radix4_reuse4_dual,1.332961
2,warp128_vector_radix4_reuse4_dual,1.331302
3,warp128_vector_radix4_reuse4_dual,1.329726
4,warp128_vector_radix4_reuse4_dual,1.327350
5,warp128_vector_radix4_reuse4_dual,1.328415
1,warp128_vector_radix4_reuse5_dual,1.286042
2,warp128_vector_radix4_reuse5_dual,1.281823
3,warp128_vector_radix4_reuse5_dual,1.283973
4,warp128_vector_radix4_reuse5_dual,1.282028
5,warp128_vector_radix4_reuse5_dual,1.285796
1,warp128_vector_radix4_reuse6_dual,1.290076
2,warp128_vector_radix4_reuse6_dual,1.287598
3,warp128_vector_radix4_reuse6_dual,1.294029
4,warp128_vector_radix4_reuse6_dual,1.292534
5,warp128_vector_radix4_reuse6_dual,1.292083
