word_bits,batch,variant,threads,units,resident,kernel_ms,trials,throughput_vs_v06
32,1,v06,256,4,4,0.147712,3,1.0
32,1,warp1024,256,8,1,0.442266,3,0.33398904731541657
32,1,warp256,128,4,3,0.301312,3,0.49022939677145283
32,1,warp256,256,8,1,0.357171,3,0.4135610113923023
32,1,warp256_static,128,4,2,0.233062,3,0.6337884339789412
32,1,warp256_static,256,8,1,0.253645,3,0.5823572315637998
32,1,warp256_static_half,128,4,3,0.203315,3,0.7265179647345253
32,1,warp256_static_half,256,8,1,0.250061,3,0.5907038682561456
32,1,warp256_static_io,128,4,2,0.227277,3,0.649920581493068
32,1,warp256_static_io,256,8,1,0.232653,3,0.6349026232199886
32,1,warp256_static_io_half,128,4,3,0.176384,3,0.8374455732946299
32,1,warp256_static_io_half,256,8,1,0.229734,3,0.6429696953868388
32,4,v06,256,4,4,0.348723,3,1.0
32,4,warp1024,256,8,1,1.256704,3,0.27749016474842125
32,4,warp256,128,4,3,0.831027,3,0.4196289651238769
32,4,warp256,256,8,1,0.966912,3,0.36065639892772045
32,4,warp256_static,128,4,2,0.700979,3,0.4974799530371095
32,4,warp256_static,256,8,1,0.757299,3,0.46048258349740323
32,4,warp256_static_half,128,4,3,0.578765,3,0.6025295240728102
32,4,warp256_static_half,256,8,1,0.722893,3,0.4823991932416001
32,4,warp256_static_io,128,4,2,0.593101,3,0.5879656247418231
32,4,warp256_static_io,256,8,1,0.613734,3,0.5681989265707945
32,4,warp256_static_io_half,128,4,3,0.41943,3,0.8314212145054002
32,4,warp256_static_io_half,256,8,1,0.624179,3,0.5586906960983948
32,16,v06,256,4,4,1.014477,3,1.0
32,16,warp1024,256,8,1,4.136039,3,0.24527742605908698
32,16,warp256,128,4,3,4.43607,3,0.2286882307988828
32,16,warp256,256,8,1,3.114445,3,0.32573283522425345
32,16,warp256_static,128,4,2,2.076979,3,0.48843873722363107
32,16,warp256_static,256,8,1,2.392269,3,0.4240647686359686
32,16,warp256_static_half,128,4,3,2.036377,3,0.49817740035366737
32,16,warp256_static_half,256,8,1,2.24471,3,0.4519412307157718
32,16,warp256_static_io,128,4,2,1.683968,3,0.6024324690255397
32,16,warp256_static_io,256,8,1,1.689088,3,0.6006063627235526
32,16,warp256_static_io_half,128,4,3,1.23351,3,0.8224311112192038
32,16,warp256_static_io_half,256,8,1,1.837927,3,0.551968059667223
64,1,v06,256,4,2,0.228454,3,1.0
64,1,warp1024,256,8,1,0.855296,3,0.2671051893145765
64,1,warp256,128,4,3,0.487219,3,0.46889386497653
64,1,warp256,256,8,1,0.494541,3,0.46195158743157794
64,1,warp256_static,128,4,2,0.408013,3,0.5599184339714666
64,1,warp256_static,256,8,1,0.434842,3,0.5253724341254984
64,1,warp256_static_half,128,4,3,0.446259,3,0.5119314120275446
64,1,warp256_static_half,256,8,1,0.45865,3,0.49810094843562625
64,1,warp256_static_io,128,4,2,0.398387,3,0.5734474267483628
64,1,warp256_static_io,256,8,1,0.411853,3,0.5546979140615704
64,1,warp256_static_io_half,128,4,3,0.442829,3,0.5158966553680993
64,1,warp256_static_io_half,256,8,1,0.460902,3,0.49566719172405416
64,4,v06,256,4,2,0.551475,3,1.0
64,4,warp1024,256,8,1,2.309376,3,0.23879827278017962
64,4,warp256,128,4,3,1.278976,3,0.43118479158326667
64,4,warp256,256,8,1,1.215539,3,0.4536876233506289
64,4,warp256_static,128,4,2,1.009306,3,0.5463902919431768
64,4,warp256_static,256,8,1,1.054515,3,0.5229655339184365
64,4,warp256_static_half,128,4,3,1.01591,3,0.5428384404130288
64,4,warp256_static_half,256,8,1,1.030861,3,0.5349654318089442
64,4,warp256_static_io,128,4,2,0.877158,3,0.628706572818124
64,4,warp256_static_io,256,8,1,0.897382,3,0.6145376216594495
64,4,warp256_static_io_half,128,4,3,0.935578,3,0.5894484479113447
64,4,warp256_static_io_half,256,8,1,0.97193,3,0.5674019733931457
64,16,v06,256,4,2,1.84064,3,1.0
64,16,warp1024,256,8,1,8.229273,3,0.2236698187069502
64,16,warp256,128,4,3,6.787584,3,0.27117749113675793
64,16,warp256,256,8,1,5.778125,3,0.31855316387236343
64,16,warp256_static,128,4,2,3.605094,3,0.5105664373799962
64,16,warp256_static,256,8,1,3.536231,3,0.5205089825862621
64,16,warp256_static_half,128,4,3,3.630541,3,0.506987801542525
64,16,warp256_static_half,256,8,1,3.651277,3,0.5041085625659187
64,16,warp256_static_io,128,4,2,2.917939,3,0.6308013978359384
64,16,warp256_static_io,256,8,1,2.967091,3,0.620351718231763
64,16,warp256_static_io_half,128,4,3,3.188071,3,0.5773522609753673
64,16,warp256_static_io_half,256,8,1,3.213465,3,0.5727898078865026
