word_bits,batch,variant,threads,units,resident,kernel_ms,trials,throughput_vs_v06
32,16,v06,256,4,4,1.065472,1,1.0
32,16,warp1024,256,8,1,4.550144,1,0.2341622594801395
32,16,warp128_static_io_half,128,4,3,1.50272,1,0.7090289608177172
32,16,warp256,128,4,3,4.373709,1,0.24360834248460517
32,16,warp256,256,8,1,3.201434,1,0.3328108591337507
32,16,warp256_static,128,4,2,2.244403,1,0.47472401346816945
32,16,warp256_static,256,8,1,2.494976,1,0.42704699363841575
32,16,warp256_static_half,128,4,3,2.131968,1,0.499759846301633
32,16,warp256_static_half,256,8,1,2.387968,1,0.4461835334476844
32,16,warp256_static_io,128,4,2,1.810227,1,0.5885847465538852
32,16,warp256_static_io,256,8,1,1.806541,1,0.5897856732839166
32,16,warp256_static_io_half,128,4,3,1.306726,1,0.8153752202068375
32,16,warp256_static_io_half,256,8,1,1.98103,1,0.5378373876215907
32,16,warp64_static_io_half,128,4,3,1.670042,1,0.6379911403425782
64,16,v06,256,4,2,1.939456,1,1.0
64,16,warp1024,256,8,1,8.640922,1,0.22445012233648215
64,16,warp256,128,4,3,6.81984,1,0.2843843843843844
64,16,warp256,256,8,1,5.706138,1,0.3398894313456842
64,16,warp256_static,128,4,2,3.611443,1,0.5370307658185385
64,16,warp256_static,256,8,1,3.533619,1,0.5488582668363511
64,16,warp256_static_half,128,4,3,3.637555,1,0.5331757183052903
64,16,warp256_static_half,256,8,1,3.654349,1,0.5307254452160973
64,16,warp256_static_io,128,4,2,2.915635,1,0.6651916306396377
64,16,warp256_static_io,256,8,1,2.969805,1,0.653058365784959
64,16,warp256_static_io_half,128,4,3,3.175629,1,0.6107312913441716
64,16,warp256_static_io_half,256,8,1,3.260416,1,0.5948492462311558
