word_bits,batch,variant,threads,units,resident,kernel_ms,trials,throughput_vs_v06
32,1,v06,256,4,4,0.148531,2,1.0
32,1,warp1024,256,8,1,0.44221449999999995,2,0.33587998584397394
32,1,warp128_static_io_half,128,4,4,0.1892865,2,0.7846888182728298
32,1,warp256,128,4,3,0.302541,2,0.49094502893822656
32,1,warp256,256,8,1,0.357581,2,0.41537721523235294
32,1,warp256_static,128,4,2,0.2331135,2,0.6371617259403681
32,1,warp256_static,256,8,1,0.2540545,2,0.5846422716385656
32,1,warp256_static_half,128,4,3,0.2033665,2,0.7303611951820973
32,1,warp256_static_half,256,8,1,0.25001,2,0.5941002359905604
32,1,warp256_static_io,128,4,2,0.2276865,2,0.6523487338950705
32,1,warp256_static_io,256,8,1,0.23301100000000002,2,0.6374420091755324
32,1,warp256_static_io_half,128,4,3,0.176691,2,0.8406257251359719
32,1,warp256_static_io_half,256,8,1,0.229939,2,0.6459582758905622
32,1,warp64_static_io_half,128,4,4,0.198298,2,0.7490292388223784
32,4,v06,256,4,4,0.350515,2,1.0
32,4,warp1024,256,8,1,1.259981,2,0.2781907028756783
32,4,warp128_static_io_half,128,4,4,0.4672,2,0.750246147260274
32,4,warp256,128,4,3,0.83159,2,0.4214997775346024
32,4,warp256,256,8,1,0.966349,2,0.36272092173738474
32,4,warp256_static,128,4,2,0.700672,2,0.5002554690354403
32,4,warp256_static,256,8,1,0.7569405,2,0.46306810112551783
32,4,warp256_static_half,128,4,3,0.5783039999999999,2,0.6061085519034972
32,4,warp256_static_half,256,8,1,0.7233025,2,0.48460360637492617
32,4,warp256_static_io,128,4,2,0.593203,2,0.5908854135936602
32,4,warp256_static_io,256,8,1,0.614144,2,0.5707374817632347
32,4,warp256_static_io_half,128,4,3,0.4196865,2,0.8351829282095088
32,4,warp256_static_io_half,256,8,1,0.6242814999999999,2,0.5614694652973059
32,4,warp64_static_io_half,128,4,4,0.48634900000000003,2,0.7207067352868002
32,16,v06,256,4,4,1.0941955,2,1.0
32,16,warp1024,256,8,1,4.585421,2,0.23862487217640432
32,16,warp128_static_io_half,128,4,4,1.6095739999999998,2,0.6798044078743818
32,16,warp256,128,4,3,4.4672,2,0.2449398952363897
32,16,warp256,256,8,1,3.2373250000000002,2,0.3379937139459276
32,16,warp256_static,128,4,2,2.242765,2,0.4878779096338672
32,16,warp256_static,256,8,1,2.5135615,2,0.4353167805920007
32,16,warp256_static_half,128,4,3,2.1689855,2,0.5044734047323046
32,16,warp256_static_half,256,8,1,2.5009154999999996,2,0.4375179809153889
32,16,warp256_static_io,128,4,2,1.8868735,2,0.5798987054511073
32,16,warp256_static_io,256,8,1,1.88544,2,0.5803396024270198
32,16,warp256_static_io_half,128,4,3,1.3615615,2,0.803632814235714
32,16,warp256_static_io_half,256,8,1,2.0712965,2,0.5282659918558257
32,16,warp64_static_io_half,128,4,4,1.6597499999999998,2,0.6592532007832506
64,1,v06,256,4,2,0.2194945,2,1.0
64,1,warp1024,256,8,1,0.8193535000000001,2,0.26788742587906195
64,1,warp256,128,4,3,0.462541,2,0.474540635316653
64,1,warp256,256,8,1,0.46899199999999996,2,0.46801331365993454
64,1,warp256_static,128,4,2,0.3904515,2,0.5621556070344205
64,1,warp256_static,256,8,1,0.41712649999999996,2,0.5262060789712474
64,1,warp256_static_half,128,4,3,0.424038,2,0.5176293162405255
64,1,warp256_static_half,256,8,1,0.43704299999999996,2,0.5022263255560666
64,1,warp256_static_io,128,4,2,0.379648,2,0.5781526571982468
64,1,warp256_static_io,256,8,1,0.39296,2,0.5585670297231271
64,1,warp256_static_io_half,128,4,3,0.42127349999999997,2,0.521026126732396
64,1,warp256_static_io_half,256,8,1,0.4384255,2,0.5006426405398409
64,4,v06,256,4,2,0.5920255000000001,2,1.0
64,4,warp1024,256,8,1,2.4665084999999998,2,0.24002572867679156
64,4,warp256,128,4,3,1.313792,2,0.4506234624659003
64,4,warp256,256,8,1,1.30432,2,0.45389589977919537
64,4,warp256_static,128,4,2,1.087386,2,0.5444483375728583
64,4,warp256_static,256,8,1,1.1365375,2,0.5209027418804923
64,4,warp256_static_half,128,4,3,1.0979839999999998,2,0.5391931940720449
64,4,warp256_static_half,256,8,1,1.1201535,2,0.5285217606336989
64,4,warp256_static_io,128,4,2,0.9543680000000001,2,0.620332513244367
64,4,warp256_static_io,256,8,1,0.976128,2,0.6065039625950696
64,4,warp256_static_io_half,128,4,3,1.0308605000000002,2,0.5743022455511682
64,4,warp256_static_io_half,256,8,1,1.0686974999999999,2,0.5539692008262396
64,16,v06,256,4,2,1.9073535000000001,2,1.0
64,16,warp1024,256,8,1,8.493824,2,0.22455769038774528
64,16,warp256,128,4,3,6.808883,2,0.2801272249794864
64,16,warp256,256,8,1,5.7591295,2,0.33118781232476197
64,16,warp256_static,128,4,2,3.628288,2,0.5256896641060468
64,16,warp256_static,256,8,1,3.5330044999999997,2,0.5398672716097589
64,16,warp256_static_half,128,4,3,3.618509,2,0.5271103374345621
64,16,warp256_static_half,256,8,1,3.6659205,2,0.5202931978475802
64,16,warp256_static_io,128,4,2,2.916403,2,0.654008893832574
64,16,warp256_static_io,256,8,1,2.967501,2,0.6427473823934685
64,16,warp256_static_io_half,128,4,3,3.1944195,2,0.5970892364011677
64,16,warp256_static_io_half,256,8,1,3.2313855,2,0.5902587295759049
