device,compute_capability,backend,compute_unit,word_bits,logN,N,batch,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,inverse,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,correct
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix2,32,12,4096,1024,1073692673,30,6,4,256,0,50,200,2.831424,0.167306,2.628544,6120513.284118,181970.869351,25069622411.746059,-1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix4,32,12,4096,1024,1073692673,30,6,4,256,0,50,200,2.787968,0.146207,2.620032,7003781.962617,184725.553803,28687490918.878933,-1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix2,64,12,4096,1024,1073692673,30,6,4,256,0,50,200,5.457504,0.253117,5.109088,4045552.891886,94787.875115,16570584645.164633,-1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix4,64,12,4096,1024,1073692673,30,6,4,256,0,50,200,5.454368,0.261437,5.093920,3916806.930840,94729.507462,16043241188.722109,-1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix2,64,12,4096,1024,1099511590913,40,6,4,256,0,50,200,5.476032,0.254889,5.112576,4017435.800396,94396.542493,16455417038.421991,-1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix4,64,12,4096,1024,1099511590913,40,6,4,256,0,50,200,5.448512,0.261494,5.096800,3915963.241179,94755.104183,16039785435.871113,-1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix2,64,12,4096,1024,1125899906826241,50,6,4,256,0,50,200,5.456608,0.253184,5.109920,4044489.531508,94570.397112,16566229121.055813,-1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix4,64,12,4096,1024,1125899906826241,50,6,4,256,0,50,200,5.458336,0.261494,5.109664,3915963.241179,94556.591165,16039785435.871113,-1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix2,64,12,4096,1024,1152921504606830593,60,6,4,256,0,50,200,5.465280,0.254577,5.110784,4022364.136534,94546.575997,16475603503.244551,-1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix4,64,12,4096,1024,1152921504606830593,60,6,4,256,0,50,200,5.496640,0.262989,5.107968,3893701.851676,94225.063070,15948602784.463150,-1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix2,32,14,16384,256,1073692673,30,7,4,256,0,50,200,2.834912,0.183905,2.632256,1392020.983863,45300.799876,22806871799.616161,-1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix4,32,14,16384,256,1073692673,30,7,4,256,0,50,200,2.811264,0.168765,2.620928,1516898.107289,45705.969144,24852858589.819328,-1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix2,64,14,16384,256,1073692673,30,7,4,256,0,50,200,5.462720,0.296822,5.112032,862470.422461,23555.467098,14130715401.602821,-1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix4,64,14,16384,256,1073692673,30,7,4,256,0,50,200,5.457984,0.275343,5.095584,929748.229190,23641.503305,15232994987.041658,-1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix2,64,14,16384,256,1099511480321,40,7,4,256,0,50,200,5.473856,0.297180,5.111936,861430.359544,23522.133598,14113675010.770771,-1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix4,64,14,16384,256,1099511480321,40,7,4,256,0,50,200,5.471936,0.274918,5.104192,931185.374620,23608.416229,15256541177.767460,-1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix2,64,14,16384,256,1125899906826241,50,7,4,256,0,50,200,5.490272,0.298419,5.123072,857853.629083,23460.919250,14055073858.896484,-1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix4,64,14,16384,256,1125899906826241,50,7,4,256,0,50,200,5.470528,0.275308,5.098432,929869.205918,23596.149426,15234977069.762587,-1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix2,64,14,16384,256,1152921504606830593,60,7,4,256,0,50,200,5.487232,0.300160,5.111392,852878.406315,23486.100458,13973559809.057835,-1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix4,64,14,16384,256,1152921504606830593,60,7,4,256,0,50,200,5.452672,0.275968,5.097248,927643.833892,23646.428010,15198516574.478758,-1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix2,32,16,65536,64,1073479681,30,8,4,256,0,50,200,2.816736,0.241787,2.622464,264695.914833,11262.075632,17347111474.476925,-1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix4,32,16,65536,64,1073479681,30,8,4,256,0,50,200,2.807360,0.227564,2.623072,281240.162396,11311.426742,18431355282.804752,-1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix2,64,16,65536,64,1073479681,30,8,4,256,0,50,200,5.492352,0.363290,5.105088,176167.996393,5839.040870,11545345811.618332,-1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix4,64,16,65536,64,1073479681,30,8,4,256,0,50,200,5.487040,0.347274,5.106848,184292.388902,5849.508395,12077785999.106464,-1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix2,64,16,65536,64,1099510054913,40,8,4,256,0,50,200,5.462528,0.363315,5.102496,176155.583108,5853.955204,11544532294.574409,-1
