device,compute_capability,backend,compute_unit,word_bits,logN,N,batch,modulus,modulus_bits,n1_log,rows_per_block,threads_per_block,inverse,warmup,repeat,h2d_ms,kernel_ms,d2h_ms,kernel_ntt_s,end_to_end_ntt_s,kernel_points_s,correct,trial
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix4,64,12,4096,1024,1152921504606830593,60,6,4,256,0,50,200,5.499200,0.297441,5.109312,3442696.390041,93893.672689,14101284413.607250,-1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix2,32,18,262144,16,1073479681,30,9,4,256,0,50,200,2.821024,0.325350,2.595040,49177.747480,2786.769741,12891651435.486181,-1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix2,64,18,262144,16,1125899902124033,50,9,4,256,0,50,200,5.471200,0.476165,5.107104,33601.789522,1447.378440,8808507512.483406,-1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix4,64,18,262144,16,1073479681,30,9,4,256,0,50,200,5.465344,0.450642,5.103264,35504.907402,1452.004481,9307398446.120020,-1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix2,64,20,1048576,4,1099489607681,40,10,4,256,0,50,200,5.451840,0.809068,5.092256,4943.962977,352.324705,5184120922.766712,-1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix2,64,12,4096,1024,1073692673,30,6,4,256,0,50,200,5.389344,0.253123,5.109088,4045470.965165,95242.039496,16570249073.317303,-1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix2,32,12,4096,1024,1073692673,30,6,4,256,0,50,200,2.858016,0.167322,2.641184,6119950.767150,180710.504934,25067318342.248028,-1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix2,64,14,16384,256,1152921504606830593,60,7,4,256,0,50,200,5.527008,0.299331,5.111392,855241.770127,23405.220737,14012281161.760506,-1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix2,64,20,1048576,4,1053818881,30,10,4,256,0,50,200,5.517952,0.811904,5.116544,4926.690760,349.454858,5166009690.839526,-1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix2,64,16,65536,64,1073479681,30,8,4,256,0,50,200,5.515808,0.363320,5.108448,176153.097771,5824.760379,11544369415.531301,-1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix4,64,14,16384,256,1099511480321,40,7,4,256,0,50,200,5.513824,0.274959,5.108096,931046.697604,23492.964278,15254269093.547928,-1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix2,64,14,16384,256,1073692673,30,7,4,256,0,50,200,5.532992,0.296986,5.117440,861994.666029,23384.510107,14122920608.214418,-1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix4,64,20,1048576,4,1053818881,30,10,4,256,0,50,200,5.459104,0.795044,5.095840,5031.168810,352.423282,5275562865.646926,-1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix2,64,16,65536,64,1099510054913,40,8,4,256,0,50,200,5.452480,0.363244,5.117056,176190.341824,5853.955204,11546810241.788975,-1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix4,64,20,1048576,4,1099489607681,40,10,4,256,0,50,200,5.461216,0.790953,5.098016,5057.190628,352.417171,5302848719.593060,-1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix4,64,16,65536,64,1073479681,30,8,4,256,0,50,200,5.545568,0.347274,5.099744,184292.388902,5822.105877,12077785999.106464,-1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix2,64,12,4096,1024,1125899906826241,50,6,4,256,0,50,200,5.466272,0.253184,5.109920,4044489.531508,94557.619029,16566229121.055813,-1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix2,64,16,65536,64,1125899904679937,50,8,4,256,0,50,200,5.460224,0.365655,5.135232,175028.357092,5838.824101,11470658410.372452,-1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix4,64,12,4096,1024,1099511590913,40,6,4,256,0,50,200,5.448512,0.261494,5.096800,3915963.241179,94755.104183,16039785435.871113,-1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix4,32,14,16384,256,1073692673,30,7,4,256,0,50,200,2.811264,0.168827,2.620928,1516346.229494,45705.969144,24843816624.034710,-1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix2,64,14,16384,256,1125899906826241,50,7,4,256,0,50,200,5.464896,0.297805,5.097184,859623.477246,23572.993233,14084071051.206228,-1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix4,64,16,65536,64,1152921504606584833,60,8,4,256,0,50,200,5.470272,0.352937,5.114688,181335.487815,5851.216207,11884002529.455357,-1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix4,64,14,16384,256,1125899906826241,50,7,4,256,0,50,200,5.470528,0.275067,5.115872,930682.740839,23569.560357,15248306025.910881,-1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix2,64,20,1048576,4,1152921504577486849,60,10,4,256,0,50,200,5.535648,0.808458,5.137952,4947.688898,348.369604,5188027833.574062,-1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix4,64,20,1048576,4,1125899865948161,50,10,4,256,0,50,200,5.468096,0.789658,5.099872,5065.486657,352.186292,5311547737.125853,-1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix2,64,18,262144,16,1073479681,30,9,4,256,0,50,200,5.450752,0.473928,5.102080,33760.425456,1451.015618,8850092970.730534,-1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix2,32,20,1048576,4,1053818881,30,10,4,256,0,50,200,2.817376,0.504509,2.624832,7928.493724,672.640017,8313628234.854679,-1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix4,64,18,262144,16,1152921504606584833,60,9,4,256,0,50,200,5.448736,0.455726,5.115712,35108.808675,1451.882643,9203563541.318224,-1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix4,64,12,4096,1024,1073692673,30,6,4,256,0,50,200,5.454368,0.261437,5.093920,3916806.930840,94729.507462,16043241188.722109,-1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix4,64,18,262144,16,1099510054913,40,9,4,256,0,50,200,5.442304,0.449777,5.097152,35573.211768,1455.970583,9325304025.664457,-1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix4,64,14,16384,256,1152921504606830593,60,7,4,256,0,50,200,5.444960,0.275968,5.096736,927643.833892,23664.998160,15198516574.478758,-1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix4,64,14,16384,256,1073692673,30,7,4,256,0,50,200,5.443872,0.276613,5.092032,925480.336787,23676.263250,15163069837.916670,-1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix2,32,16,65536,64,1073479681,30,8,4,256,0,50,200,2.816736,0.243589,2.622464,262737.516738,11262.075632,17218765896.927929,-1,1
Tesla V100-SXM2-16GB,7.0,hybrid2d,radix2,64,18,262144,16,1152921504606584833,60,9,4,256,0,50,200,5.459776,0.467748,5.106336,34206.464945,1450.081855,8967019546.611908,-1,1
