case,backend,word_bits,logN,batch,stage_space,data_space,pipeline_buffers,dataflow_layout,dataflow_state,kernel_ms,kernel_ntt_s,correct
dataflow_default_w32_n6_b1,hybrid-dataflow,32,6,1,4,32,2,hermes-xor,inplace,0.022733,43989.302048,1
dataflow_search_w32_n6_b1_us2,hybrid-dataflow,32,6,1,2,32,2,hermes-xor,inplace,0.042803,23362.738239,1
dataflow_search_w32_n6_b1_us4,hybrid-dataflow,32,6,1,4,32,2,hermes-xor,inplace,0.022630,44188.350187,1
dataflow_default_w32_n6_b16,hybrid-dataflow,32,6,16,4,32,2,hermes-xor,inplace,0.022733,703828.832768,1
dataflow_search_w32_n6_b16_us2,hybrid-dataflow,32,6,16,2,32,2,hermes-xor,inplace,0.042803,373803.811818,1
dataflow_search_w32_n6_b16_us4,hybrid-dataflow,32,6,16,4,32,2,hermes-xor,inplace,0.022733,703828.832768,1
dataflow_default_w32_n6_b256,hybrid-dataflow,32,6,256,4,32,2,hermes-xor,inplace,0.025272,10129660.006841,1
dataflow_search_w32_n6_b256_us2,hybrid-dataflow,32,6,256,2,32,2,hermes-xor,inplace,0.044872,5705157.880239,1
dataflow_search_w32_n6_b256_us4,hybrid-dataflow,32,6,256,4,32,2,hermes-xor,inplace,0.025293,10121457.939366,1
dataflow_default_w32_n8_b1,hybrid-dataflow,32,8,1,8,32,2,hermes-xor,inplace,0.013414,74546.757401,1
dataflow_search_w32_n8_b1_us2,hybrid-dataflow,32,8,1,2,32,2,hermes-xor,inplace,0.214323,4665.850285,1
dataflow_search_w32_n8_b1_us4,hybrid-dataflow,32,8,1,4,32,2,hermes-xor,inplace,0.034304,29151.119031,1
dataflow_default_w32_n8_b16,hybrid-dataflow,32,8,16,8,32,2,hermes-xor,inplace,0.013517,1183712.079343,1
dataflow_search_w32_n8_b16_us2,hybrid-dataflow,32,8,16,2,32,2,hermes-xor,inplace,0.214426,74617.953102,1
dataflow_search_w32_n8_b16_us4,hybrid-dataflow,32,8,16,4,32,2,hermes-xor,inplace,0.034202,467814.375942,1
dataflow_default_w32_n8_b256,hybrid-dataflow,32,8,256,8,32,2,hermes-xor,inplace,0.013844,18491123.274601,1
dataflow_search_w32_n8_b256_us2,hybrid-dataflow,32,8,256,2,32,2,hermes-xor,inplace,0.225178,1136880.470468,1
dataflow_search_w32_n8_b256_us4,hybrid-dataflow,32,8,256,4,32,2,hermes-xor,inplace,0.039772,6436663.176930,1
dataflow_default_w32_n10_b1,hybrid-dataflow,32,10,1,8,32,2,hermes-xor,inplace,0.258253,3872.174869,1
dataflow_search_w32_n10_b1_us2,hybrid-dataflow,32,10,1,2,32,2,hermes-xor,inplace,1.056154,946.832033,1
dataflow_search_w32_n10_b1_us4,hybrid-dataflow,32,10,1,4,32,2,hermes-xor,inplace,0.350925,2849.613446,1
dataflow_default_w32_n10_b16,hybrid-dataflow,32,10,16,8,32,2,hermes-xor,inplace,0.258867,61807.752164,1
dataflow_search_w32_n10_b16_us2,hybrid-dataflow,32,10,16,2,32,2,hermes-xor,inplace,1.056256,15147.842146,1
dataflow_search_w32_n10_b16_us4,hybrid-dataflow,32,10,16,4,32,2,hermes-xor,inplace,0.350822,45607.123422,1
dataflow_default_w32_n10_b256,hybrid-dataflow,32,10,256,8,32,2,hermes-xor,inplace,0.298537,857515.274370,1
dataflow_search_w32_n10_b256_us2,hybrid-dataflow,32,10,256,2,32,2,hermes-xor,inplace,0.950886,269222.494309,1
dataflow_search_w32_n10_b256_us4,hybrid-dataflow,32,10,256,4,32,2,hermes-xor,inplace,0.341524,749580.231176,1
dataflow_default_w32_n12_b1,hybrid-dataflow,32,12,1,8,32,2,hermes-xor,inplace,0.291021,3436.180381,1
dataflow_search_w32_n12_b1_us2,hybrid-dataflow,32,12,1,2,32,2,hermes-xor,inplace,5.050982,197.981285,1
dataflow_search_w32_n12_b1_us4,hybrid-dataflow,32,12,1,4,32,2,hermes-xor,inplace,0.606208,1649.598908,1
hybrid2d_w32_n12_b1,hybrid2d,32,12,1,0,0,0,hermes-xor,inplace,0.008397,119092.992399,1
dataflow_default_w32_n12_b16,hybrid-dataflow,32,12,16,8,32,2,hermes-xor,inplace,0.248832,64300.407082,1
dataflow_search_w32_n12_b16_us2,hybrid-dataflow,32,12,16,2,32,2,hermes-xor,inplace,4.310835,3711.577608,1
dataflow_search_w32_n12_b16_us4,hybrid-dataflow,32,12,16,4,32,2,hermes-xor,inplace,0.600781,26632.007564,1
hybrid2d_w32_n12_b16,hybrid2d,32,12,16,0,0,0,hermes-xor,inplace,0.008909,1795977.041844,1
dataflow_default_w32_n12_b256,hybrid-dataflow,32,12,256,8,32,2,hermes-xor,inplace,0.566968,451524.344759,1
