case,backend,word_bits,logN,batch,stage_space,data_space,data_time,pipeline_buffers,dataflow_layout,dataflow_state,kernel_ms,kernel_ntt_s,correct
dataflow_default_w32_n6_b1,hybrid-dataflow,32,6,1,6,32,4,2,hermes-xor,inplace,0.006656,150240.386309,1
dataflow_search_w32_n6_b1_us2,hybrid-dataflow,32,6,1,2,32,4,2,hermes-xor,inplace,0.027290,36643.997348,1
dataflow_search_w32_n6_b1_us4,hybrid-dataflow,32,6,1,4,32,4,2,hermes-xor,inplace,0.017152,58302.238063,1
dataflow_default_w32_n6_b16,hybrid-dataflow,32,6,16,6,32,4,2,hermes-xor,inplace,0.006758,2367424.158686,1
dataflow_search_w32_n6_b16_us2,hybrid-dataflow,32,6,16,2,32,4,2,hermes-xor,inplace,0.027392,584112.150387,1
dataflow_search_w32_n6_b16_us4,hybrid-dataflow,32,6,16,4,32,4,2,hermes-xor,inplace,0.017254,927299.649610,1
dataflow_default_w32_n8_b1,hybrid-dataflow,32,8,1,8,32,4,2,hermes-xor,inplace,0.013363,74832.374136,1
dataflow_search_w32_n8_b1_us2,hybrid-dataflow,32,8,1,2,32,4,2,hermes-xor,inplace,0.115149,8684.415474,1
dataflow_search_w32_n8_b1_us4,hybrid-dataflow,32,8,1,4,32,4,2,hermes-xor,inplace,0.026163,38221.624388,1
dataflow_default_w32_n8_b16,hybrid-dataflow,32,8,16,8,32,4,2,hermes-xor,inplace,0.013363,1197317.986174,1
dataflow_search_w32_n8_b16_us2,hybrid-dataflow,32,8,16,2,32,4,2,hermes-xor,inplace,0.115302,138765.543184,1
dataflow_search_w32_n8_b16_us4,hybrid-dataflow,32,8,16,4,32,4,2,hermes-xor,inplace,0.026112,612745.109148,1
dataflow_default_w32_n10_b1,hybrid-dataflow,32,10,1,5,32,4,2,hermes-xor,inplace,0.045568,21945.224466,1
dataflow_search_w32_n10_b1_us2,hybrid-dataflow,32,10,1,2,32,4,2,hermes-xor,inplace,0.539546,1853.411478,1
dataflow_search_w32_n10_b1_us4,hybrid-dataflow,32,10,1,4,32,4,2,hermes-xor,inplace,0.183552,5448.047510,1
dataflow_default_w32_n10_b16,hybrid-dataflow,32,10,16,5,32,4,2,hermes-xor,inplace,0.045773,349552.585236,1
dataflow_search_w32_n10_b16_us2,hybrid-dataflow,32,10,16,2,32,4,2,hermes-xor,inplace,0.539597,29651.769835,1
dataflow_search_w32_n10_b16_us4,hybrid-dataflow,32,10,16,4,32,4,2,hermes-xor,inplace,0.183603,87144.451906,1
dataflow_default_w32_n12_b1,hybrid-dataflow,32,12,1,6,32,4,2,hermes-xor,inplace,0.084992,11765.813396,1
dataflow_search_w32_n12_b1_us2,hybrid-dataflow,32,12,1,2,32,4,2,hermes-xor,inplace,2.540800,393.576812,1
dataflow_search_w32_n12_b1_us4,hybrid-dataflow,32,12,1,4,32,4,2,hermes-xor,inplace,0.336845,2968.726233,1
hybrid2d_w32_n12_b1,hybrid2d,32,12,1,0,0,0,0,hermes-xor,inplace,0.008090,123615.504329,1
dataflow_default_w32_n12_b16,hybrid-dataflow,32,12,16,6,32,4,2,hermes-xor,inplace,0.077414,206679.891842,1
dataflow_search_w32_n12_b16_us2,hybrid-dataflow,32,12,16,2,32,4,2,hermes-xor,inplace,2.303488,6945.987949,1
