case,backend,word_bits,logN,batch,stage_space,role_stages,target_ctas_per_sm,data_space,data_time,token_interleave,pipeline_buffers,dataflow_layout,dataflow_state,kernel_ms,kernel_ntt_s,correct
w32_n10_b1_td10_ti1,hybrid-dataflow,32,10,1,5,5,1,32,10,1,2,hermes-xor,inplace,0.023619,42339.583275,1
w32_n10_b1_ti1,hybrid-dataflow,32,10,1,5,5,1,32,4,1,2,hermes-xor,inplace,0.027837,35922.843000,1
w32_n10_b1_ti2,hybrid-dataflow,32,10,1,5,5,1,32,10,2,2,hermes-xor,inplace,0.025523,39180.039152,1
w32_n10_b1_ur1,hybrid-dataflow,32,10,1,5,1,1,32,4,1,2,hermes-xor,inplace,0.040678,24583.070784,1
w32_n10_b16_td10_ti1,hybrid-dataflow,32,10,16,5,5,1,32,10,1,2,hermes-xor,inplace,0.023834,671321.189856,1
w32_n10_b16_ti1,hybrid-dataflow,32,10,16,5,5,1,32,4,1,2,hermes-xor,inplace,0.028088,569631.789065,1
w32_n10_b16_ti2,hybrid-dataflow,32,10,16,5,5,1,32,10,2,2,hermes-xor,inplace,0.025738,621643.144302,1
w32_n10_b16_ur1,hybrid-dataflow,32,10,16,5,1,1,32,4,1,2,hermes-xor,inplace,0.040950,390722.698396,1
w32_n10_b80_td10_ti1,hybrid-dataflow,32,10,80,5,5,1,32,10,1,2,hermes-xor,inplace,0.024125,3316001.691444,1
w32_n10_b80_ti1,hybrid-dataflow,32,10,80,5,5,1,32,4,1,2,hermes-xor,inplace,0.028585,2798674.647066,1
w32_n10_b80_ti2,hybrid-dataflow,32,10,80,5,5,1,32,10,2,2,hermes-xor,inplace,0.026025,3073972.065934,1
w32_n10_b80_ur1,hybrid-dataflow,32,10,80,5,1,1,32,4,1,2,hermes-xor,inplace,0.041114,1945828.138076,1
w32_n10_b160_td10_ti1,hybrid-dataflow,32,10,160,5,5,1,32,10,1,2,hermes-xor,inplace,0.026583,6018875.162464,1
w32_n10_b160_ti1,hybrid-dataflow,32,10,160,5,5,1,32,4,1,2,hermes-xor,inplace,0.031145,5137267.819891,1
w32_n10_b160_ti2,hybrid-dataflow,32,10,160,5,5,1,32,10,2,2,hermes-xor,inplace,0.028564,5601362.407777,1
