case,backend,word_bits,logN,batch,stage_space,role_stages,target_ctas_per_sm,data_space,data_time,pipeline_buffers,dataflow_layout,dataflow_state,kernel_ms,kernel_ntt_s,correct
dataflow_w32_n10_b1_ur1_td4,hybrid-dataflow,32,10,1,5,1,1,32,4,2,hermes-xor,inplace,0.040940,24426.275015,1
dataflow_w32_n10_b1_ur2_td4,hybrid-dataflow,32,10,1,5,2,1,32,4,2,hermes-xor,inplace,0.036393,27477.841342,1
dataflow_w32_n10_b1_ur5_td4,hybrid-dataflow,32,10,1,5,5,1,32,4,2,hermes-xor,inplace,0.029921,33421.031951,1
dataflow_w32_n10_b16_ur1_td4,hybrid-dataflow,32,10,16,5,1,1,32,4,2,hermes-xor,inplace,0.041103,389262.587484,1
dataflow_w32_n10_b16_ur2_td4,hybrid-dataflow,32,10,16,5,2,1,32,4,2,hermes-xor,inplace,0.036577,437430.003894,1
dataflow_w32_n10_b16_ur5_td4,hybrid-dataflow,32,10,16,5,5,1,32,4,2,hermes-xor,inplace,0.030167,530380.152838,1
dataflow_w32_n10_b256_ur1_td4,hybrid-dataflow,32,10,256,5,1,1,32,4,2,hermes-xor,inplace,0.060846,4207337.656173,1
dataflow_w32_n10_b256_ur2_td4,hybrid-dataflow,32,10,256,5,2,1,32,4,2,hermes-xor,inplace,0.049070,5217028.103688,1
dataflow_w32_n10_b256_ur5_td4,hybrid-dataflow,32,10,256,5,5,1,32,4,2,hermes-xor,inplace,0.039322,6510417.053178,1
dataflow_w32_n12_b1_ur1_td4,hybrid-dataflow,32,12,1,6,1,1,32,4,2,hermes-xor,inplace,0.077210,12951.757409,1
dataflow_w32_n12_b1_ur1_td8,hybrid-dataflow,32,12,1,6,1,1,32,8,2,hermes-xor,inplace,0.088105,11350.098366,1
dataflow_w32_n12_b1_ur2_td4,hybrid-dataflow,32,12,1,6,2,1,32,4,2,hermes-xor,inplace,0.114217,8755.267666,1
dataflow_w32_n12_b1_ur2_td8,hybrid-dataflow,32,12,1,6,2,1,32,8,2,hermes-xor,inplace,0.111862,8939.605026,1
dataflow_w32_n12_b1_ur3_td4,hybrid-dataflow,32,12,1,6,3,1,32,4,2,hermes-xor,inplace,0.133427,7494.723563,1
dataflow_w32_n12_b1_ur3_td8,hybrid-dataflow,32,12,1,6,3,1,32,8,2,hermes-xor,inplace,0.103404,9670.850330,1
dataflow_w32_n12_b1_ur6_td4,hybrid-dataflow,32,12,1,6,6,1,32,4,2,hermes-xor,inplace,0.118149,8463.880463,1
dataflow_w32_n12_b1_ur6_td8,hybrid-dataflow,32,12,1,6,6,1,32,8,2,hermes-xor,inplace,0.109261,9152.413518,1
hybrid2d_w32_n12_b1,hybrid2d,32,12,1,0,0,0,0,0,0,hermes-xor,inplace,0.008417,118803.231473,1
dataflow_w32_n12_b16_ur1_td4,hybrid-dataflow,32,12,16,6,1,1,32,4,2,hermes-xor,inplace,0.077353,206844.066993,1
dataflow_w32_n12_b16_ur1_td8,hybrid-dataflow,32,12,16,6,1,1,32,8,2,hermes-xor,inplace,0.087921,181982.305169,1
dataflow_w32_n12_b16_ur2_td4,hybrid-dataflow,32,12,16,6,2,1,32,4,2,hermes-xor,inplace,0.114872,139285.075752,1
dataflow_w32_n12_b16_ur2_td8,hybrid-dataflow,32,12,16,6,2,1,32,8,2,hermes-xor,inplace,0.112128,142694.067769,1
dataflow_w32_n12_b16_ur3_td4,hybrid-dataflow,32,12,16,6,3,1,32,4,2,hermes-xor,inplace,0.133591,119768.510552,1
dataflow_w32_n12_b16_ur3_td8,hybrid-dataflow,32,12,16,6,3,1,32,8,2,hermes-xor,inplace,0.103485,154611.118075,1
dataflow_w32_n12_b16_ur6_td4,hybrid-dataflow,32,12,16,6,6,1,32,4,2,hermes-xor,inplace,0.118108,135469.047121,1
dataflow_w32_n12_b16_ur6_td8,hybrid-dataflow,32,12,16,6,6,1,32,8,2,hermes-xor,inplace,0.109404,146246.721971,1
hybrid2d_w32_n12_b16,hybrid2d,32,12,16,0,0,0,0,0,0,hermes-xor,inplace,0.010035,1594387.748030,1
dataflow_w32_n12_b256_ur1_td4,hybrid-dataflow,32,12,256,6,1,1,32,4,2,hermes-xor,inplace,0.194048,1319261.197660,1
dataflow_w32_n12_b256_ur1_td8,hybrid-dataflow,32,12,256,6,1,1,32,8,2,hermes-xor,inplace,0.192963,1326682.253165,1
dataflow_w32_n12_b256_ur2_td4,hybrid-dataflow,32,12,256,6,2,1,32,4,2,hermes-xor,inplace,0.280576,912408.789442,1
dataflow_w32_n12_b256_ur2_td8,hybrid-dataflow,32,12,256,6,2,1,32,8,2,hermes-xor,inplace,0.294707,868658.764677,1
dataflow_w32_n12_b256_ur3_td4,hybrid-dataflow,32,12,256,6,3,1,32,4,2,hermes-xor,inplace,0.300175,852834.797990,1
dataflow_w32_n12_b256_ur3_td8,hybrid-dataflow,32,12,256,6,3,1,32,8,2,hermes-xor,inplace,0.251146,1019326.481366,1
dataflow_w32_n12_b256_ur6_td4,hybrid-dataflow,32,12,256,6,6,1,32,4,2,hermes-xor,inplace,0.264806,966744.043393,1
dataflow_w32_n12_b256_ur6_td8,hybrid-dataflow,32,12,256,6,6,1,32,8,2,hermes-xor,inplace,0.230236,1111901.735615,1
hybrid2d_w32_n12_b256,hybrid2d,32,12,256,0,0,0,0,0,0,hermes-xor,inplace,0.054989,4655493.672457,1
dataflow_w64_n10_b1_ur1_td4,hybrid-dataflow,64,10,1,5,1,1,16,4,2,hermes-xor,inplace,0.049193,20328.112990,1
dataflow_w64_n10_b1_ur2_td4,hybrid-dataflow,64,10,1,5,2,1,16,4,2,hermes-xor,inplace,0.052531,19036.306888,1
dataflow_w64_n10_b1_ur5_td4,hybrid-dataflow,64,10,1,5,5,1,16,4,2,hermes-xor,inplace,0.047043,21257.346615,1
tile256_w64_n10_b1,tile256,64,10,1,0,0,0,0,0,0,hermes-xor,inplace,0.012964,77137.639381,1
dataflow_w64_n10_b16_ur1_td4,hybrid-dataflow,64,10,16,5,1,1,16,4,2,hermes-xor,inplace,0.049357,324170.127288,1
dataflow_w64_n10_b16_ur2_td4,hybrid-dataflow,64,10,16,5,2,1,16,4,2,hermes-xor,inplace,0.052511,304699.689459,1
dataflow_w64_n10_b16_ur5_td4,hybrid-dataflow,64,10,16,5,5,1,16,4,2,hermes-xor,inplace,0.047391,337618.855988,1
tile256_w64_n10_b16,tile256,64,10,16,0,0,0,0,0,0,hermes-xor,inplace,0.014561,1098804.525088,1
dataflow_w64_n10_b256_ur1_td4,hybrid-dataflow,64,10,256,5,1,1,16,4,2,hermes-xor,inplace,0.072786,3517163.691744,1
dataflow_w64_n10_b256_ur2_td4,hybrid-dataflow,64,10,256,5,2,1,16,4,2,hermes-xor,inplace,0.069059,3706998.822620,1
dataflow_w64_n10_b256_ur5_td4,hybrid-dataflow,64,10,256,5,5,1,16,4,2,hermes-xor,inplace,0.056545,4527345.171193,1
tile256_w64_n10_b256,tile256,64,10,256,0,0,0,0,0,0,hermes-xor,inplace,0.035738,7163323.746651,1
dataflow_w64_n12_b1_ur1_td4,hybrid-dataflow,64,12,1,6,1,1,16,4,2,hermes-xor,inplace,0.133857,7470.643359,1
dataflow_w64_n12_b1_ur1_td8,hybrid-dataflow,64,12,1,6,1,1,16,8,2,hermes-xor,inplace,0.159068,6286.613539,1
dataflow_w64_n12_b1_ur2_td4,hybrid-dataflow,64,12,1,6,2,1,16,4,2,hermes-xor,inplace,0.157123,6364.458125,1
dataflow_w64_n12_b1_ur2_td8,hybrid-dataflow,64,12,1,6,2,1,16,8,2,hermes-xor,inplace,0.158106,6324.886782,1
dataflow_w64_n12_b1_ur3_td4,hybrid-dataflow,64,12,1,6,3,1,16,4,2,hermes-xor,inplace,0.200212,4994.693671,1
dataflow_w64_n12_b1_ur3_td8,hybrid-dataflow,64,12,1,6,3,1,16,8,2,hermes-xor,inplace,0.156836,6376.093662,1
dataflow_w64_n12_b1_ur6_td4,hybrid-dataflow,64,12,1,6,6,1,16,4,2,hermes-xor,inplace,0.173138,5775.742315,1
dataflow_w64_n12_b1_ur6_td8,hybrid-dataflow,64,12,1,6,6,1,16,8,2,hermes-xor,inplace,0.150753,6633.355082,1
dataflow_w64_n12_b1_ur6_td8_rb3,hybrid-dataflow,64,12,1,6,6,3,16,8,2,hermes-xor,inplace,0.153559,6512.153703,1
tile256_w64_n12_b1,tile256,64,12,1,0,0,0,0,0,0,hermes-xor,inplace,0.022651,44148.393677,1
dataflow_w64_n12_b16_ur1_td4,hybrid-dataflow,64,12,16,6,1,1,16,4,2,hermes-xor,inplace,0.133509,119842.005347,1
dataflow_w64_n12_b16_ur1_td8,hybrid-dataflow,64,12,16,6,1,1,16,8,2,hermes-xor,inplace,0.159027,100611.716775,1
dataflow_w64_n12_b16_ur2_td4,hybrid-dataflow,64,12,16,6,2,1,16,4,2,hermes-xor,inplace,0.158228,101119.591838,1
dataflow_w64_n12_b16_ur2_td8,hybrid-dataflow,64,12,16,6,2,1,16,8,2,hermes-xor,inplace,0.158433,100988.877830,1
dataflow_w64_n12_b16_ur3_td4,hybrid-dataflow,64,12,16,6,3,1,16,4,2,hermes-xor,inplace,0.201503,79403.392494,1
dataflow_w64_n12_b16_ur3_td8,hybrid-dataflow,64,12,16,6,3,1,16,8,2,hermes-xor,inplace,0.157716,101447.862063,1
dataflow_w64_n12_b16_ur6_td4,hybrid-dataflow,64,12,16,6,6,1,16,4,2,hermes-xor,inplace,0.173650,92139.402163,1
dataflow_w64_n12_b16_ur6_td8,hybrid-dataflow,64,12,16,6,6,1,16,8,2,hermes-xor,inplace,0.151122,105874.783713,1
dataflow_w64_n12_b16_ur6_td8_rb3,hybrid-dataflow,64,12,16,6,6,3,16,8,2,hermes-xor,inplace,0.154665,103449.415043,1
tile256_w64_n12_b16,tile256,64,12,16,0,0,0,0,0,0,hermes-xor,inplace,0.026051,614190.247414,1
dataflow_w64_n12_b256_ur1_td4,hybrid-dataflow,64,12,256,6,1,1,16,4,2,hermes-xor,inplace,0.528773,484139.578898,1
dataflow_w64_n12_b256_ur1_td8,hybrid-dataflow,64,12,256,6,1,1,16,8,2,hermes-xor,inplace,0.595948,429568.037894,1
dataflow_w64_n12_b256_ur2_td4,hybrid-dataflow,64,12,256,6,2,1,16,4,2,hermes-xor,inplace,0.404951,632175.148145,1
dataflow_w64_n12_b256_ur2_td8,hybrid-dataflow,64,12,256,6,2,1,16,8,2,hermes-xor,inplace,0.630804,405830.980078,1
dataflow_w64_n12_b256_ur3_td4,hybrid-dataflow,64,12,256,6,3,1,16,4,2,hermes-xor,inplace,0.471654,542770.316493,1
dataflow_w64_n12_b256_ur3_td8,hybrid-dataflow,64,12,256,6,3,1,16,8,2,hermes-xor,inplace,0.415990,615399.768740,1
dataflow_w64_n12_b256_ur6_td4,hybrid-dataflow,64,12,256,6,6,1,16,4,2,hermes-xor,inplace,0.400609,639026.627230,1
dataflow_w64_n12_b256_ur6_td8,hybrid-dataflow,64,12,256,6,6,1,16,8,2,hermes-xor,inplace,0.362025,707133.557719,1
dataflow_w64_n12_b256_ur6_td8_rb3,hybrid-dataflow,64,12,256,6,6,3,16,8,2,hermes-xor,inplace,0.456602,560663.838350,1
tile256_w64_n12_b256,tile256,64,12,256,0,0,0,0,0,0,hermes-xor,inplace,0.181309,1411950.815083,1
