case,word_bits,logN,batch,data_time,kernel_ms,regret
w32_n10_b1_td9,32,10,1,9,0.023822,1.0088510566213527
w32_n10_b1_td10,32,10,1,10,0.023613,1.0
w32_n10_b1_td15,32,10,1,15,0.023883,1.0114343793672977
w32_n10_b16_td9,32,10,16,9,0.02402,1.0087774557977405
w32_n10_b16_td10,32,10,16,10,0.023811,1.0
w32_n10_b16_td15,32,10,16,15,0.024071,1.010919323001974
w32_n10_b32_td9,32,10,32,9,0.02403,1.0087314247334396
w32_n10_b32_td10,32,10,32,10,0.023822,1.0
w32_n10_b32_td15,32,10,32,15,0.024084,1.010998236923852
w32_n10_b48_td9,32,10,48,9,0.024078,1.0079959810775736
w32_n10_b48_td10,32,10,48,10,0.023887,1.0
w32_n10_b48_td15,32,10,48,15,0.024265,1.0158245070540461
w32_n10_b64_td9,32,10,64,9,0.024143,1.009153987627487
w32_n10_b64_td10,32,10,64,10,0.023924,1.0
w32_n10_b64_td15,32,10,64,15,0.024306,1.0159672295602742
w32_n10_b80_td9,32,10,80,9,0.02433,1.009459795867563
w32_n10_b80_td10,32,10,80,10,0.024102,1.0
w32_n10_b80_td15,32,10,80,15,0.024337,1.0097502281968302
w32_n10_b96_td9,32,10,96,9,0.026433,1.0054775761725436
w32_n10_b96_td10,32,10,96,10,0.026289,1.0
w32_n10_b96_td15,32,10,96,15,0.02687,1.0221004983072768
w32_n10_b112_td9,32,10,112,9,0.026327,1.001178886522665
w32_n10_b112_td10,32,10,112,10,0.026296,1.0
w32_n10_b112_td15,32,10,112,15,0.027163,1.032970794037116
w32_n10_b128_td9,32,10,128,9,0.026501,1.0041300394058805
w32_n10_b128_td10,32,10,128,10,0.026392,1.0
w32_n10_b128_td15,32,10,128,15,0.027034,1.0243255531979387
w32_n10_b144_td9,32,10,144,9,0.026535,1.0010185604345858
w32_n10_b144_td10,32,10,144,10,0.026508,1.0
w32_n10_b144_td15,32,10,144,15,0.026525,1.0006413158291836
w32_n10_b160_td9,32,10,160,9,0.026658,1.0037275499830567
w32_n10_b160_td10,32,10,160,10,0.02658,1.0007906924206484
w32_n10_b160_td15,32,10,160,15,0.026559,1.0
w32_n10_b176_td9,32,10,176,9,0.027395,1.0
w32_n10_b176_td10,32,10,176,10,0.027477,1.0029932469428728
w32_n10_b176_td15,32,10,176,15,0.028266,1.0317941230151488
w32_n10_b192_td9,32,10,192,9,0.024733,1.0
w32_n10_b192_td10,32,10,192,10,0.024825,1.0037197266809526
w32_n10_b192_td15,32,10,192,15,0.02573,1.0403105163142359
w32_n10_b208_td9,32,10,208,9,0.024747,1.0
w32_n10_b208_td10,32,10,208,10,0.024832,1.0034347597688609
w32_n10_b208_td15,32,10,208,15,0.025562,1.0329332848426072
w32_n10_b224_td9,32,10,224,9,0.02475,1.0
w32_n10_b224_td10,32,10,224,10,0.024835,1.0034343434343433
w32_n10_b224_td15,32,10,224,15,0.025313,1.0227474747474747
w32_n10_b240_td9,32,10,240,9,0.024818,1.0
w32_n10_b240_td10,32,10,240,10,0.024883,1.0026190668063502
w32_n10_b240_td15,32,10,240,15,0.02503,1.00854218712225
w32_n10_b256_td9,32,10,256,9,0.027952,1.0
w32_n10_b256_td10,32,10,256,10,0.028198,1.0088008013737837
w32_n10_b256_td15,32,10,256,15,0.028962,1.0361333714939898
w32_n10_b272_td9,32,10,272,9,0.028003,1.0
w32_n10_b272_td10,32,10,272,10,0.028259,1.0091418776559653
w32_n10_b272_td15,32,10,272,15,0.029338,1.047673463557476
w32_n10_b288_td9,32,10,288,9,0.028088,1.0
w32_n10_b288_td10,32,10,288,10,0.02831,1.007903731130732
w32_n10_b288_td15,32,10,288,15,0.029583,1.0532255767587584
w32_n10_b304_td9,32,10,304,9,0.031894,1.0
w32_n10_b304_td10,32,10,304,10,0.032106,1.0066470182479463
w32_n10_b304_td15,32,10,304,15,0.033635,1.0545870696682762
w32_n10_b320_td9,32,10,320,9,0.028177,1.0
w32_n10_b320_td10,32,10,320,10,0.028382,1.0072754374134933
w32_n10_b320_td15,32,10,320,15,0.029768,1.0564644923164281
w32_n10_b336_td9,32,10,336,9,0.045623,1.0038284670729827
w32_n10_b336_td10,32,10,336,10,0.045449,1.0
w32_n10_b336_td15,32,10,336,15,0.047278,1.0402429096349755
w32_n10_b352_td9,32,10,352,9,0.046193,1.0
w32_n10_b352_td10,32,10,352,10,0.046203,1.0002164830169074
w32_n10_b352_td15,32,10,352,15,0.048063,1.0404823241616696
w32_n10_b368_td9,32,10,368,9,0.046356,1.0
w32_n10_b368_td10,32,10,368,10,0.046408,1.0011217533868322
w32_n10_b368_td15,32,10,368,15,0.049043,1.0579644490465097
w32_n10_b384_td9,32,10,384,9,0.046612,1.002257724643602
w32_n10_b384_td10,32,10,384,10,0.046507,1.0
w32_n10_b384_td15,32,10,384,15,0.049821,1.0712580901799729
w32_n10_b400_td9,32,10,400,9,0.047097,1.0084794758142224
w32_n10_b400_td10,32,10,400,10,0.046701,1.0
w32_n10_b400_td15,32,10,400,15,0.050528,1.0819468533864371
w32_n10_b416_td9,32,10,416,9,0.047991,1.020976491862568
w32_n10_b416_td10,32,10,416,10,0.047005,1.0
