word_bits,logN,batch,role_stages,data_time,median_ms,min_ms,max_ms,cv_pct,regret
32,10,1,5,4,0.023847,0.023706,0.027929,7.783392517574605,1.177571477951706
32,10,1,5,5,0.023003,0.022841,0.026696,7.362735829819323,1.135894523727223
32,10,1,5,6,0.028445,0.028445,0.033231,7.5103761715001225,1.4046219939756062
32,10,1,5,9,0.020427,0.020359,0.023816,7.494457406371126,1.0086909288430201
32,10,1,5,10,0.020251,0.020249,0.023611,7.413973287413119,1.0
32,10,1,5,11,0.022039,0.022039,0.025706,7.431389907746962,1.0882919362006813
32,10,1,5,14,0.020861,0.02073,0.024181,7.283505882098805,1.0301219692854673
32,10,1,5,15,0.020517,0.020507,0.02388,7.338664834508268,1.0131351538195643
32,10,1,5,16,0.020752,0.020648,0.024072,7.286212291565946,1.0247395190360968
32,10,16,5,4,0.02397,0.023962,0.023982,0.034287699212774525,1.178060647761341
32,10,16,5,5,0.022987,0.022974,0.022991,0.03157492321771166,1.1297488573254042
32,10,16,5,6,0.028516,0.028506,0.028518,0.01841011894788968,1.4014842482921315
32,10,16,5,9,0.020494,0.02049,0.020521,0.06715511398443719,1.0072246522828918
32,10,16,5,10,0.020347,0.020341,0.020369,0.05914299780620787,1.0
32,10,16,5,11,0.022069,0.022065,0.022069,0.00854470983110769,1.0846316410281613
32,10,16,5,14,0.020832,0.020828,0.020838,0.019726756065693844,1.023836437804099
32,10,16,5,15,0.020613,0.020611,0.020615,0.007922151854924895,1.0130731803214232
32,10,16,5,16,0.020771,0.020746,0.020777,0.06465158944875055,1.020838452843171
32,10,80,5,4,0.024367,0.024363,0.024369,0.010237232757694389,1.1815448770789896
32,10,80,5,5,0.023368,0.023364,0.023368,0.008069692224669231,1.1331038161276246
32,10,80,5,6,0.028666,0.028658,0.028666,0.013157004883109969,1.3900014546865151
32,10,80,5,9,0.02081,0.020797,0.02082,0.04525108331916242,1.0090675459438492
32,10,80,5,10,0.020623,0.020611,0.020632,0.04171431125517712,1.0
32,10,80,5,11,0.022237,0.022235,0.022239,0.007343585743824492,1.0782621345100132
32,10,80,5,14,0.020945,0.020937,0.020951,0.027381551945769134,1.0156136352616012
32,10,80,5,15,0.020781,0.020775,0.020781,0.013611950164817284,1.0076613489792952
32,10,80,5,16,0.021015,0.021012,0.021021,0.017803851288422635,1.019007903796732
32,10,160,5,4,0.026638,0.026636,0.026642,0.009363975641357202,1.174514991181658
32,10,160,5,5,0.025971,0.025962,0.025987,0.0398050883451516,1.1451058201058202
32,10,160,5,6,0.030577,0.030573,0.030579,0.008158068629928399,1.3481922398589066
32,10,160,5,9,0.022778,0.022774,0.022782,0.014338336656911659,1.004320987654321
32,10,160,5,10,0.022745,0.022745,0.022753,0.01657856263496821,1.0028659611992947
32,10,160,5,11,0.023867,0.023865,0.023874,0.01616601528194413,1.052336860670194
32,10,160,5,14,0.022956,0.022954,0.022966,0.022864300696940638,1.0121693121693123
32,10,160,5,15,0.02268,0.022665,0.0227,0.0632105611510233,1.0
32,10,160,5,16,0.022821,0.022817,0.022823,0.010930770473038694,1.0062169312169313
32,10,256,5,4,0.032668,0.032643,0.032678,0.04506506274341097,1.1680909643508421
32,10,256,5,5,0.033671,0.033645,0.033694,0.05944953884170889,1.2039546608502878
32,10,256,5,6,0.035492,0.035482,0.035533,0.06215241876472289,1.269067114813888
32,10,256,5,9,0.027967,0.027965,0.027992,0.04391002757897195,1.0
32,10,256,5,10,0.028199,0.02817,0.028217,0.06867110742419343,1.0082954911145279
32,10,256,5,11,0.029276,0.029264,0.029311,0.06808845171364551,1.0468051632280904
32,10,256,5,14,0.028824,0.028803,0.028846,0.06090777043592388,1.0306432581256482
32,10,256,5,15,0.028991,0.028981,0.029018,0.053894508195106036,1.0366145814710195
32,10,256,5,16,0.028217,0.028213,0.028252,0.062061280288472784,1.0089391068044482
32,10,512,5,4,0.057506,0.057496,0.057512,0.011476743842949737,1.159628957451099
32,10,512,5,5,0.057631,0.05761,0.057647,0.026290588536768703,1.1621496269409155
32,10,512,5,6,0.065112,0.0651,0.065163,0.041939348280219065,1.313006654567453
32,10,512,5,9,0.04959,0.04959,0.049594,0.003802313743993053,1.0
32,10,512,5,10,0.049674,0.049639,0.049676,0.03421096842686057,1.0016938898971568
32,10,512,5,11,0.05435,0.054319,0.054403,0.06380498541488226,1.095987094172212
32,10,512,5,14,0.054018,0.054,0.054082,0.06512347055100103,1.0892921960072595
32,10,512,5,15,0.054383,0.054317,0.054542,0.17354938608193707,1.0966525509175236
32,10,512,5,16,0.05181,0.051773,0.051925,0.12485513803736159,1.044767090139141
32,12,1,6,5,0.085051,0.085029,0.099619,7.644758464791975,1.2484183950562922
32,12,1,6,6,0.073918,0.0739,0.084609,6.5104747623885615,1.085003009085972
32,12,1,6,7,0.111294,0.111292,0.126081,5.998098559319376,1.6336254348496193
32,12,1,6,11,0.071703,0.07168,0.072413,0.4730133303758668,1.0524902021225067
32,12,1,6,12,0.068127,0.068125,0.068147,0.014578999335369422,1.0
32,12,1,6,13,0.083687,0.083669,0.083692,0.011802947954203393,1.2283969644927857
32,12,1,6,16,0.069239,0.069222,0.069245,0.014069539826676239,1.0163224565884306
32,12,16,6,5,0.085162,0.085158,0.085164,0.0029290737476927583,1.2491126169732172
32,12,16,6,6,0.074013,0.074002,0.074019,0.00951147665760451,1.0855847927483937
32,12,16,6,7,0.111421,0.111413,0.111432,0.006990433634022425,1.6342661855730587
32,12,16,6,11,0.071811,0.071809,0.071827,0.011216722417668284,1.0532869840711079
32,12,16,6,12,0.068178,0.068176,0.06818,0.0023951907680734037,1.0
32,12,16,6,13,0.083831,0.083818,0.084447,0.34926849611640715,1.2295901903839948
32,12,16,6,16,0.069405,0.069399,0.069409,0.005921257561214849,1.0179970078324385
32,12,80,6,5,0.08533,0.08532,0.085332,0.0061520012141632495,1.2483176312247646
32,12,80,6,6,0.074248,0.074244,0.07425,0.003359633465415962,1.08619579846685
32,12,80,6,7,0.112351,0.112343,0.11238,0.014147183131969693,1.6436157762303236
32,12,80,6,11,0.072167,0.072167,0.072172,0.003265991617725397,1.0557522382819358
32,12,80,6,12,0.068356,0.068344,0.068358,0.00904487364111154,1.0
32,12,80,6,13,0.084236,0.084232,0.084242,0.00487864667244362,1.2323131839194805
32,12,80,6,16,0.069679,0.069675,0.069687,0.007159662241900962,1.0193545555620576
32,12,160,6,5,0.093301,0.093284,0.093311,0.01194604674400416,1.2131034572427872
32,12,160,6,6,0.083259,0.083241,0.08371,0.2601461445803458,1.0825369583024536
32,12,160,6,7,0.120631,0.120619,0.120637,0.006203578553701216,1.5684492465317057
32,12,160,6,11,0.080439,0.080435,0.080445,0.005108933820351703,1.0458712017786793
32,12,160,6,12,0.076911,0.076898,0.076917,0.010311258595366695,1.0
32,12,160,6,13,0.091728,0.091709,0.09174,0.013914091453194808,1.1926512462456607
32,12,160,6,16,0.079471,0.079417,0.079507,0.04654437049998248,1.0332852257804477
32,12,256,6,5,0.198785,0.198609,0.19882,0.04645770886505926,1.5940930706249348
32,12,256,6,6,0.124701,0.124676,0.124781,0.035907367589480994,1.0
32,12,256,6,7,0.235254,0.235248,0.235272,0.004334831983263778,1.8865446147184062
32,12,256,6,11,0.160195,0.15993,0.160229,0.08347516800674118,1.284632841757484
32,12,256,6,12,0.155625,0.154589,0.155644,0.3174236324042747,1.2479851805518802
32,12,256,6,13,0.182194,0.182184,0.182243,0.014149363114599165,1.461046824003015
32,12,256,6,16,0.158202,0.158185,0.158355,0.048308879049028634,1.2686506122645367
32,12,512,6,5,0.314046,0.313704,0.314388,0.08891749319440133,1.3977479081360158
32,12,512,6,6,0.22468,0.224276,0.224688,0.08566576952889862,1.0
32,12,512,6,7,0.453669,0.453618,0.45372,0.009178790181235736,2.0191783870393447
32,12,512,6,11,0.309139,0.309117,0.309152,0.004672797448378007,1.3759079579846893
32,12,512,6,12,0.297898,0.297697,0.297929,0.034528707057266635,1.325876802563646
32,12,512,6,13,0.351678,0.351652,0.351701,0.005691773908441284,1.5652394516645896
32,12,512,6,16,0.307065,0.306971,0.307087,0.016384043807320444,1.3666770518070144
64,10,1,5,4,0.041542,0.041523,0.04155,0.027260422503652806,1.4222328734294225
64,10,1,5,5,0.029209,0.029202,0.029209,0.011298213805765525,1.0
64,10,1,5,6,0.042154,0.042142,0.04216,0.01775316657228408,1.443185319593276
64,10,1,5,9,0.03141,0.031406,0.031412,0.007941710291575851,1.0753534869389572
64,10,1,5,10,0.030835,0.030833,0.030841,0.011023834467118056,1.055667773631415
64,10,1,5,11,0.033729,0.033726,0.033745,0.024723312259278173,1.1547468246088535
64,10,1,5,14,0.030665,0.030663,0.030671,0.011084945518088505,1.0498476496970113
64,10,1,5,15,0.030812,0.030808,0.030814,0.00809584652135657,1.0548803450991133
64,10,1,5,16,0.031656,0.031654,0.031877,0.32984017376161096,1.0837755486322709
64,10,16,5,4,0.042064,0.042062,0.042072,0.010270750247082064,1.4300186979432261
64,10,16,5,5,0.029415,0.029415,0.029417,0.003205125528056605,1.0
64,10,16,5,6,0.042392,0.042387,0.042402,0.014709969990699652,1.4411694713581507
64,10,16,5,9,0.031666,0.031664,0.031672,0.010734551932786935,1.0765255821859596
64,10,16,5,10,0.031044,0.031042,0.031048,0.00803499771678122,1.0553799082100968
64,10,16,5,11,0.034046,0.03404,0.034046,0.008308151582498379,1.157436681964984
64,10,16,5,14,0.031048,0.031046,0.031048,0.003036682833463005,1.0555158932517423
64,10,16,5,15,0.030923,0.030921,0.030931,0.013970877280318874,1.051266360700323
64,10,16,5,16,0.031986,0.031971,0.031988,0.023721521031304742,1.087404385517593
64,10,80,5,4,0.042228,0.042222,0.042236,0.013580546022516711,1.4222970697204447
64,10,80,5,5,0.02969,0.029688,0.029696,0.011448951464160409,1.0
64,10,80,5,6,0.042549,0.042543,0.042557,0.01347809268704457,1.4331087908386662
64,10,80,5,9,0.031912,0.031906,0.031914,0.010652696096591491,1.0748400134725498
64,10,80,5,10,0.031236,0.031224,0.031242,0.02395887421895453,1.0520714045133042
64,10,80,5,11,0.034212,0.034208,0.03422,0.014581673370122802,1.1523071741327044
64,10,80,5,14,0.03131,0.031306,0.031312,0.00796707560423526,1.054563826204109
64,10,80,5,15,0.03113,0.031128,0.031134,0.008012800639825781,1.048501178848097
64,10,80,5,16,0.032176,0.032168,0.032176,0.01172162090653363,1.0837318962613676
64,10,160,5,4,0.045031,0.045031,0.045036,0.005234028491807972,1.3523635053156347
64,10,160,5,5,0.033298,0.033292,0.033307,0.01851230968788706,1.0
64,10,160,5,6,0.045136,0.045132,0.04514,0.007235878951859574,1.3555168478587303
64,10,160,5,9,0.034456,0.034454,0.034456,0.0027363225090929503,1.0347768634752839
64,10,160,5,10,0.033964,0.033964,0.033966,0.002775852478800536,1.0200012012733497
64,10,160,5,11,0.036604,0.036602,0.036612,0.011802692998244935,1.0992852423568982
64,10,160,5,14,0.03386,0.033855,0.033868,0.015812073284120595,1.016877890563998
64,10,160,5,15,0.033911,0.033896,0.033911,0.020854915979067815,1.0184095140849299
64,10,160,5,16,0.034695,0.034691,0.034695,0.0054350498645172746,1.0419544717400444
64,10,256,5,4,0.050016,0.050012,0.05002,0.006529883084835528,1.2387556964533386
64,10,256,5,5,0.045674,0.045611,0.045695,0.0781715650353697,1.1312165642956211
64,10,256,5,6,0.051046,0.051036,0.051075,0.03239717735410451,1.2642659005349712
64,10,256,5,9,0.040376,0.040362,0.040391,0.029327939086977322,1.0
64,10,256,5,10,0.040391,0.040387,0.040395,0.008085925883764545,1.0003715078264315
64,10,256,5,11,0.042813,0.042813,0.042834,0.023118857862241368,1.0603576382009112
64,10,256,5,14,0.042854,0.042805,0.042869,0.0637898387674853,1.061373092926491
64,10,256,5,15,0.042185,0.042185,0.042193,0.00893919115301175,1.0448038438676441
64,10,256,5,16,0.041294,0.041284,0.0413,0.015982652184588796,1.0227362789776104
64,10,512,5,4,0.101378,0.101122,0.101712,0.23822246255422683,1.2343451315581206
64,10,512,5,5,0.082131,0.082045,0.08218,0.06794952425459685,1.0
64,10,512,5,6,0.105658,0.105583,0.106703,0.4823615046028337,1.2864570016193644
64,10,512,5,9,0.085639,0.085574,0.085717,0.0682596770801468,1.0427122523772998
64,10,512,5,10,0.085195,0.085096,0.08561,0.2610378634676435,1.0373062546419745
64,10,512,5,11,0.091439,0.091388,0.091507,0.0533071108720515,1.11333114171263
64,10,512,5,14,0.089377,0.089332,0.08962,0.1414297506276091,1.0882249089868625
64,10,512,5,15,0.089989,0.089424,0.090042,0.31137742842769367,1.0956764193787973
64,10,512,5,16,0.088216,0.08815,0.088656,0.25423900075049916,1.0740889554492214
64,12,1,6,5,0.11613,0.116109,0.11708,0.3889269116203247,1.2033698085053468
64,12,1,6,6,0.106181,0.10606,0.10624,0.07057595102063467,1.1002756362430572
