word_bits,flow_tile_log_n,stage_space,data_time,role_stages,target_ctas_per_sm,token_interleave,registers_per_thread,stack_bytes,local_bytes
32,5,5,1,1,1,1,46,0,0
32,5,5,1,5,1,1,43,0,0
32,5,5,2,1,1,1,54,0,0
32,5,5,2,5,1,1,59,0,0
32,5,5,3,5,1,1,59,0,0
32,5,5,4,1,1,1,51,0,0
32,5,5,4,2,1,1,54,0,0
32,5,5,4,5,1,1,59,0,0
32,5,5,5,5,1,1,51,0,0
32,5,5,6,5,1,1,80,0,0
32,5,5,7,5,1,1,80,0,0
32,5,5,8,1,1,1,53,0,0
32,5,5,8,5,1,1,80,0,0
32,5,5,9,5,1,1,80,0,0
32,5,5,10,5,1,1,80,0,0
32,5,5,10,5,1,2,79,0,0
32,5,5,11,5,1,1,81,0,0
32,5,5,12,5,1,1,81,0,0
32,5,5,13,5,1,1,81,0,0
32,5,5,14,5,1,1,81,0,0
32,5,5,15,5,1,1,82,0,0
32,5,5,16,5,1,1,81,0,0
32,6,2,1,1,1,1,47,0,0
32,6,2,2,1,1,1,54,0,0
32,6,2,4,1,1,1,51,0,0
32,6,2,8,1,1,1,53,0,0
32,6,4,1,1,1,1,47,0,0
32,6,4,2,1,1,1,54,0,0
32,6,4,4,1,1,1,51,0,0
32,6,4,8,1,1,1,53,0,0
32,6,6,1,1,1,1,34,0,0
32,6,6,1,6,1,1,65,0,0
32,6,6,2,1,1,1,54,0,0
32,6,6,2,6,1,1,94,0,0
32,6,6,3,6,1,1,93,0,0
32,6,6,4,1,1,1,51,0,0
32,6,6,4,2,1,1,93,0,0
32,6,6,4,3,1,1,95,0,0
32,6,6,4,6,1,1,94,0,0
32,6,6,5,6,1,1,93,0,0
32,6,6,6,6,1,1,70,0,0
32,6,6,7,6,1,1,102,0,0
32,6,6,8,1,1,1,53,0,0
32,6,6,8,2,1,1,90,0,0
32,6,6,8,3,1,1,95,0,0
32,6,6,8,6,1,1,102,0,0
32,6,6,8,6,3,1,93,0,0
32,6,6,9,6,1,1,102,0,0
32,6,6,10,6,1,1,102,0,0
32,6,6,11,6,1,1,102,0,0
32,6,6,12,6,1,1,102,0,0
32,6,6,12,6,1,2,100,0,0
32,6,6,13,6,1,1,104,0,0
32,6,6,14,6,1,1,104,0,0
32,6,6,15,6,1,1,104,0,0
32,6,6,16,6,1,1,104,0,0
32,7,7,1,1,1,1,42,0,0
32,7,7,2,1,1,1,54,0,0
32,7,7,2,7,1,1,146,0,0
32,7,7,4,1,1,1,51,0,0
32,7,7,8,1,1,1,53,0,0
32,8,2,1,1,1,1,47,0,0
32,8,2,2,1,1,1,54,0,0
32,8,2,4,1,1,1,51,0,0
32,8,2,8,1,1,1,53,0,0
32,8,4,1,1,1,1,47,0,0
32,8,4,2,1,1,1,54,0,0
32,8,4,4,1,1,1,51,0,0
32,8,4,8,1,1,1,53,0,0
32,8,8,1,1,1,1,34,0,0
32,8,8,1,2,1,1,141,0,0
32,8,8,1,4,1,1,142,32,0
32,8,8,1,8,1,1,123,32,0
32,8,8,2,1,1,1,54,0,0
32,8,8,4,1,1,1,51,0,0
32,8,8,8,1,1,1,53,0,0
64,5,5,1,1,1,1,48,0,0
64,5,5,1,5,1,1,60,0,0
64,5,5,2,1,1,1,56,0,0
64,5,5,2,5,1,1,68,0,0
64,5,5,3,5,1,1,68,0,0
64,5,5,4,1,1,1,58,0,0
64,5,5,4,2,1,1,60,0,0
64,5,5,4,5,1,1,68,0,0
64,5,5,5,5,1,1,66,0,0
64,5,5,6,5,1,1,88,0,0
64,5,5,7,5,1,1,88,0,0
64,5,5,8,1,1,1,60,0,0
64,5,5,8,5,1,1,88,0,0
64,5,5,9,5,1,1,88,0,0
64,5,5,10,5,1,1,88,0,0
64,5,5,10,5,1,2,88,0,0
64,5,5,11,5,1,1,92,0,0
64,5,5,12,5,1,1,92,0,0
64,5,5,13,5,1,1,92,0,0
64,5,5,14,5,1,1,92,0,0
64,5,5,15,5,1,1,90,0,0
64,5,5,16,5,1,1,90,0,0
64,6,2,1,1,1,1,50,0,0
64,6,2,2,1,1,1,56,0,0
64,6,2,4,1,1,1,58,0,0
64,6,2,8,1,1,1,60,0,0
64,6,4,1,1,1,1,50,0,0
64,6,4,2,1,1,1,56,0,0
64,6,4,4,1,1,1,58,0,0
64,6,4,8,1,1,1,60,0,0
64,6,6,1,1,1,1,40,0,0
64,6,6,1,6,1,1,64,16,0
64,6,6,2,1,1,1,56,0,0
64,6,6,2,6,1,1,104,16,0
64,6,6,3,6,1,1,104,16,0
64,6,6,4,1,1,1,58,0,0
64,6,6,4,2,1,1,94,16,0
64,6,6,4,3,1,1,98,16,0
64,6,6,4,6,1,1,104,16,0
64,6,6,5,6,1,1,104,16,0
64,6,6,6,6,1,1,78,16,0
64,6,6,7,6,1,1,106,16,0
64,6,6,8,1,1,1,60,0,0
64,6,6,8,2,1,1,90,16,0
