label,kernel_id,kernel_name,grid_size,block_size,time_us,dram_read_mib,dram_write_mib,global_load_sectors,global_store_sectors,dram_peak_pct,l2_hit_pct,l1_hit_pct,shared_load_bank_conflicts,shared_store_bank_conflicts,warp_instructions,instructions_per_active_cycle,integer_thread_instructions,fp32_thread_instructions,fp64_thread_instructions,tensor_warp_instructions,tensor_active_pct,active_warps_pct,barrier_stall_pct,wait_stall_pct,long_scoreboard_stall_pct,mio_throttle_stall_pct,registers_per_thread,shared_mem_bytes,waves_per_sm,occupancy_register_block_limit,occupancy_shared_block_limit,occupancy_warp_block_limit
cta-radix4_u32_b1,0,"void cuntt::<unnamed>::appt_online_log20_kernel<unsigned int,",240,256,307.296,20.27496337890625,13.8193359375,5840807.0,2228244.0,12.95,93.34,25.74,963390.0,622592.0,11732474.0,,250172641.0,,,,,22.95,42.79,6.11,26.06,1.01,32.0,16512.0,0.6,8.0,5.0,8.0
cta-radix4_u32_b4,0,"void cuntt::<unnamed>::appt_online_log20_kernel<unsigned int,",240,256,944.7040000000001,118.3240966796875,63.419586181640625,23389165.0,8912600.0,22.45,90.03,24.89,3513581.0,2490368.0,45230427.0,,992895815.0,,,,,26.73,25.71,6.0,33.67,2.67,32.0,16512.0,0.6,8.0,5.0,8.0
cta-radix4_u64_b1,0,"void cuntt::<unnamed>::appt_online_log20_kernel<unsigned long,",160,256,442.91200000000003,50.113677978515625,25.8201904296875,6362100.0,2359322.0,20.01,84.35,23.98,1674931.0,1179721.0,19801723.0,,470001345.0,,,,,19.76,46.28,6.97,25.87,0.51,40.0,33024.0,1.0,6.0,2.0,8.0
cta-radix4_u64_b4,0,"void cuntt::<unnamed>::appt_online_log20_kernel<unsigned long,",160,256,1383.488,270.9866943359375,106.69918823242188,25424102.0,9437282.0,31.86,79.66,23.13,6361167.0,4719782.0,77044174.0,,1873649893.0,,,,,22.14,28.73,7.37,34.74,1.47,40.0,33024.0,1.0,6.0,2.0,8.0
v06_u32_b1,0,"void cuntt::<unnamed>::hierarchical_streaming_10x10_kernel<unsigned int,",320,256,145.952,13.4840087890625,8.8697509765625,1885930.0,524291.0,17.88,74.74,45.2,735961.0,1705461.0,14631875.0,,268738615.0,,,,,41.05,4.2,9.47,21.25,3.41,40.0,16416.0,0.8,6.0,5.0,8.0
v06_u32_b4,0,"void cuntt::<unnamed>::hierarchical_streaming_10x10_kernel<unsigned int,",320,256,347.93600000000004,63.3546142578125,33.9791259765625,7480650.0,2097155.0,32.65,68.2,45.99,3008365.0,6823027.0,50147101.0,,1047995764.0,,,,,46.78,5.12,10.13,32.94,5.21,40.0,16416.0,0.8,6.0,5.0,8.0
v06_u64_b1,0,"void cuntt::<unnamed>::hierarchical_streaming_10x10_kernel<unsigned long,",160,256,228.192,30.864044189453125,16.558746337890625,3023158.0,524291.0,24.26,53.08,50.69,1273727.0,1966768.0,23791946.0,,493613275.0,,,,,23.48,2.79,15.24,21.55,0.42,48.0,32816.0,1.0,5.0,2.0,8.0
v06_u64_b4,0,"void cuntt::<unnamed>::hierarchical_streaming_10x10_kernel<unsigned long,",160,256,603.712,127.82998657226562,65.04098510742188,12020828.0,2097155.0,37.28,49.8,51.89,5082599.0,7866597.0,82494550.0,,1930723153.0,,,,,24.31,3.49,15.63,32.23,0.54,48.0,32816.0,1.0,5.0,2.0,8.0
warp_u32_b1,0,"void cuntt::<unnamed>::appt_online_log20_kernel<unsigned int,",240,256,312.608,20.273223876953125,13.777069091796875,8758119.0,2228250.0,12.71,93.48,44.21,127374.0,0.0,14872985.0,,203931622.0,,,,,25.2,52.69,6.76,20.22,0.36,72.0,16512.0,1.0,3.0,3.0,8.0
warp_u32_b4,0,"void cuntt::<unnamed>::appt_online_log20_kernel<unsigned int,",240,256,900.7040000000001,123.0347900390625,63.719482421875,35018552.0,8912994.0,24.2,89.45,43.28,309064.0,0.0,57392087.0,,802198028.0,,,,,26.85,28.76,7.02,30.49,1.3,72.0,16512.0,1.0,3.0,3.0,8.0
warp_u64_b1,0,"void cuntt::<unnamed>::appt_online_log20_kernel<unsigned long,",160,256,669.408,42.5947265625,26.3887939453125,9458480.0,2359322.0,12.03,87.66,37.46,135390.0,21.0,32733381.0,,434814693.0,,,,,18.35,30.55,10.02,33.88,1.15,80.0,33024.0,1.0,3.0,2.0,8.0
warp_u64_b4,0,"void cuntt::<unnamed>::appt_online_log20_kernel<unsigned long,",160,256,1972.576,251.768310546875,109.24102783203125,37860294.0,9437282.0,21.36,82.28,36.27,713123.0,573.0,129730170.0,,1731900255.0,,,,,22.19,19.73,9.51,39.98,2.3,80.0,33024.0,1.0,3.0,2.0,8.0
