label,kernel_id,kernel_name,grid_size,block_size,time_us,dram_read_mib,dram_write_mib,global_load_sectors,global_store_sectors,local_load_sectors,local_store_sectors,dram_peak_pct,l2_hit_pct,l1_hit_pct,shared_load_bank_conflicts,shared_store_bank_conflicts,warp_instructions,instructions_per_active_cycle,integer_thread_instructions,fp32_thread_instructions,fp64_thread_instructions,tensor_warp_instructions,tensor_active_pct,active_warps_pct,barrier_stall_pct,wait_stall_pct,long_scoreboard_stall_pct,mio_throttle_stall_pct,registers_per_thread,shared_mem_bytes,waves_per_sm,occupancy_register_block_limit,occupancy_shared_block_limit,occupancy_warp_block_limit
group16_u32_b16,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned int,",240,256,2250.1440000000002,611.9197082519531,192.37518310546875,62389176.0,6291474.0,,,41.71,78.33,0.0,,,182457000.0,,4065659303.0,,,,,34.87,23.26,,37.88,7.73,48.0,32768.0,1.0,5.0,3.0,8.0
group16_u32_b1,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned int,",240,256,202.656,27.949066162109375,13.0057373046875,3902734.0,383968.0,,,23.59,83.89,0.67,,,12413923.0,,258962851.0,,,,,27.72,22.56,,37.39,3.7,48.0,32768.0,1.0,5.0,3.0,8.0
group16_u32_b4,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned int,",240,256,646.976,151.45645141601562,49.546661376953125,15600013.0,1573368.0,,,36.25,78.04,0.06,,,46732354.0,,1024654944.0,,,,,32.7,20.8,,39.71,7.49,48.0,32768.0,1.0,5.0,3.0,8.0
group16_u64_b16,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned long,",160,256,3608.448,1213.8361206054688,384.9591064453125,74974399.0,12582938.0,,,51.71,60.92,0.0,,,308128324.0,,7573012163.0,,,,,21.58,7.67,,52.17,2.5,128.0,49152.0,1.0,2.0,2.0,8.0
group16_u64_b1,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned long,",160,256,332.064,66.5264892578125,24.582183837890625,4691503.0,805137.0,,,32.02,67.87,0.91,,,20670295.0,,481361322.0,,,,,17.56,16.57,,44.47,0.66,128.0,49152.0,1.0,2.0,2.0,8.0
group16_u64_b4,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned long,",160,256,1014.88,300.39312744140625,96.849853515625,18747583.0,3145736.0,,,45.68,64.0,0.0,,,77573120.0,,1898761312.0,,,,,21.0,10.09,,50.14,2.18,128.0,49152.0,1.0,2.0,2.0,8.0
group32_u32_b16,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned int,",240,256,2163.872,519.1829528808594,192.36648559570312,58195118.0,6291470.0,,,38.37,80.22,0.0,,,178618164.0,,3959847665.0,,,,,35.06,24.02,,37.82,8.35,48.0,32768.0,1.0,5.0,3.0,8.0
group32_u32_b1,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned int,",240,256,193.088,22.725616455078125,13.00555419921875,3640590.0,396964.0,,,21.59,86.82,0.42,,,12190235.0,,252294094.0,,,,,27.72,21.75,,36.89,3.92,48.0,32768.0,1.0,5.0,3.0,8.0
group32_u32_b4,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned int,",240,256,609.312,115.15219116210938,48.6064453125,14551437.0,1585659.0,,,31.36,82.12,0.2,,,45885843.0,,998083512.0,,,,,33.03,21.53,,38.61,7.08,48.0,32768.0,1.0,5.0,3.0,8.0
group32_u64_b16,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned long,",160,256,3381.632,929.2083740234375,385.17901611328125,66585791.0,12582934.0,,,45.36,69.65,0.0,,,304721989.0,,7467855396.0,,,,,21.36,7.55,,50.39,2.29,128.0,49152.0,1.0,2.0,2.0,8.0
group32_u64_b1,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned long,",160,256,311.52,54.135223388671875,24.614105224609375,4167215.0,776111.0,,,29.5,72.78,1.07,,,20412125.0,,474600824.0,,,,,17.42,14.12,,43.77,0.61,128.0,49152.0,1.0,2.0,2.0,8.0
group32_u64_b4,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned long,",160,256,972.8000000000001,229.05377197265625,96.89019775390625,16650431.0,3145735.0,,,39.1,70.74,0.0,,,76684301.0,,1872349172.0,,,,,20.88,9.72,,48.86,2.02,128.0,49152.0,1.0,2.0,2.0,8.0
group8_u32_b16,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned int,",240,256,2463.776,811.1646423339844,192.44989013671875,70778023.0,6291482.0,,,47.54,72.72,0.0,,,182861430.0,,4069780223.0,,,,,34.91,25.35,,38.38,7.42,48.0,32768.0,1.0,5.0,3.0,8.0
