label,kernel_id,kernel_name,grid_size,block_size,time_us,dram_read_mib,dram_write_mib,global_load_sectors,global_store_sectors,local_load_sectors,local_store_sectors,dram_peak_pct,l2_hit_pct,l1_hit_pct,shared_load_bank_conflicts,shared_store_bank_conflicts,warp_instructions,instructions_per_active_cycle,integer_thread_instructions,fp32_thread_instructions,fp64_thread_instructions,tensor_warp_instructions,tensor_active_pct,active_warps_pct,barrier_stall_pct,wait_stall_pct,long_scoreboard_stall_pct,mio_throttle_stall_pct,registers_per_thread,shared_mem_bytes,waves_per_sm,occupancy_register_block_limit,occupancy_shared_block_limit,occupancy_warp_block_limit
radix4_default_u32_b16,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned int,",240,256,3369.664,1385.1102600097656,191.9083251953125,70778478.0,6291470.0,0.0,0.0,52.82,65.59,0.0,9798720.0,10916241.0,178380199.0,,3868953805.0,,,,,34.36,20.49,,44.98,8.0,48.0,32768.0,1.0,5.0,3.0,8.0
radix4_default_u32_b1,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned int,",240,256,215.616,20.019989013671875,11.54681396484375,4427666.0,395280.0,0.0,0.0,16.99,91.47,0.22,637770.0,700059.0,12004199.0,,246784955.0,,,,,25.82,27.27,,35.78,2.39,48.0,32768.0,1.0,5.0,3.0,8.0
radix4_default_u32_b4,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned int,",240,256,711.552,141.53970336914062,48.2548828125,17697529.0,1563922.0,0.0,0.0,32.48,85.5,0.21,2586976.0,2818845.0,45824159.0,,975244482.0,,,,,30.93,21.36,,38.35,6.27,48.0,32768.0,1.0,5.0,3.0,8.0
radix4_default_u64_b16,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned long,",160,256,5952.224,2416.4982299804688,384.252197265625,74975488.0,12583058.0,0.0,0.0,55.58,51.77,0.0,17920276.0,17890537.0,308863914.0,,7378624181.0,,,,,18.18,6.77,,61.56,1.56,128.0,49152.0,1.0,2.0,2.0,8.0
radix4_default_u64_b1,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned long,",160,256,366.144,44.472625732421875,23.11444091796875,4692127.0,786250.0,0.0,0.0,21.88,82.6,1.12,1195174.0,1153216.0,20053632.0,,477720667.0,,,,,15.53,20.99,,39.48,0.28,128.0,49152.0,1.0,2.0,2.0,8.0
radix4_default_u64_b4,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned long,",160,256,1141.664,258.4678955078125,96.68133544921875,18748672.0,3145766.0,0.0,0.0,36.54,76.05,0.01,4437278.0,4728109.0,77004588.0,,1855740030.0,,,,,17.1,10.52,,50.68,1.25,128.0,49152.0,1.0,2.0,2.0,8.0
radix4_matched_u32_b16,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned int,",240,256,2826.6240000000003,812.2673950195312,191.64462280273438,70777784.0,6291470.0,0.0,0.0,39.27,76.35,0.0,9767406.0,11127313.0,180359988.0,,3871835080.0,,,,,34.13,29.71,,37.42,6.23,48.0,32768.0,1.0,5.0,3.0,8.0
radix4_matched_u32_b1,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned int,",240,256,216.576,21.328338623046875,12.331787109375,4427022.0,386158.0,0.0,0.0,18.27,90.92,0.43,637676.0,671393.0,12154433.0,,247309617.0,,,,,26.6,26.38,,37.12,2.53,48.0,32768.0,1.0,5.0,3.0,8.0
radix4_matched_u32_b4,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned int,",240,256,691.328,128.96560668945312,47.135101318359375,17696926.0,1571847.0,0.0,0.0,29.04,84.04,0.22,2596686.0,2774586.0,45706127.0,,976203946.0,,,,,32.21,25.58,,38.41,5.94,48.0,32768.0,1.0,5.0,3.0,8.0
radix4_matched_u64_b16,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned long,",160,256,5162.464,1944.7097778320312,384.5262451171875,74974318.0,12583058.0,0.0,0.0,54.69,62.1,0.0,17996083.0,18005507.0,302515198.0,,7372521296.0,,,,,21.24,7.85,,59.17,2.1,128.0,49152.0,1.0,2.0,2.0,8.0
