label,kernel_id,kernel_name,grid_size,block_size,time_us,dram_read_mib,dram_write_mib,global_load_sectors,global_store_sectors,dram_peak_pct,l2_hit_pct,l1_hit_pct,shared_load_bank_conflicts,shared_store_bank_conflicts,warp_instructions,instructions_per_active_cycle,integer_thread_instructions,fp32_thread_instructions,fp64_thread_instructions,tensor_warp_instructions,tensor_active_pct,active_warps_pct,barrier_stall_pct,wait_stall_pct,long_scoreboard_stall_pct,mio_throttle_stall_pct,registers_per_thread,shared_mem_bytes,waves_per_sm,occupancy_register_block_limit,occupancy_shared_block_limit,occupancy_warp_block_limit
barrier_b1,0,"void cuntt::detail::hierarchical_dataflow_kernel<unsigned long,",160,256,157.952,30.2093505859375,16.559234619140625,3009500.0,524288.0,34.56,50.33,52.59,1310383.0,1966421.0,18936111.0,,476511530.0,,,,,22.94,15.45,14.42,38.05,0.85,48.0,32800.0,1.0,5.0,2.0,8.0
barrier_b4,0,"void cuntt::detail::hierarchical_dataflow_kernel<unsigned long,",160,256,541.248,131.4970703125,65.113037109375,11973594.0,2097152.0,42.39,48.11,52.3,5212363.0,7865685.0,75180566.0,,1904010170.0,,,,,24.35,6.58,14.73,44.76,0.98,48.0,32800.0,1.0,5.0,2.0,8.0
resident1010_b1,0,"void cuntt::<unnamed>::hierarchical_streaming_10x10_kernel<unsigned long,",160,256,230.272,30.887176513671875,16.60003662109375,3021190.0,524291.0,24.07,52.52,51.05,1271056.0,1966693.0,23920704.0,,493438392.0,,,,,23.34,2.77,15.17,21.55,0.39,48.0,32816.0,1.0,5.0,2.0,8.0
resident1010_b4,0,"void cuntt::<unnamed>::hierarchical_streaming_10x10_kernel<unsigned long,",160,256,614.912,127.80892944335938,65.16534423828125,12044431.0,2097155.0,36.62,49.51,51.91,5095829.0,7866448.0,82419004.0,,1935391868.0,,,,,24.28,3.49,15.74,32.49,0.56,48.0,32816.0,1.0,5.0,2.0,8.0
appt_online_b1,0,void cuntt::<unnamed>::appt_online_log20_kernel<unsigned long>,160,256,674.048,42.47296142578125,26.447265625,9459298.0,2359322.0,11.93,87.72,37.34,132969.0,8.0,32729790.0,,434829807.0,,,,,18.34,30.43,10.08,33.94,1.08,80.0,33024.0,1.0,3.0,2.0,8.0
appt_online_b4,0,void cuntt::<unnamed>::appt_online_log20_kernel<unsigned long>,160,256,2023.904,242.27166748046875,102.33645629882812,37925391.0,9437282.0,19.87,83.03,36.92,777365.0,653.0,129799276.0,,1731160454.0,,,,,20.83,22.05,9.97,38.88,2.1,80.0,33024.0,1.0,3.0,2.0,8.0
appt_us7_rs2_rep2_ti2_b1,0,"void cuntt::<unnamed>::appt_pipeline_kernel<unsigned long,",160,256,654.24,78.43756103515625,58.545562744140625,10656626.0,2100086.0,24.43,89.63,74.38,133906.0,0.0,73504681.0,,983065436.0,,,,,25.0,23.31,18.23,30.88,0.28,116.0,24600.0,1.0,2.0,2.0,8.0
appt_us7_rs2_rep2_ti2_b4,0,"void cuntt::<unnamed>::appt_pipeline_kernel<unsigned long,",160,256,2252.928,335.37298583984375,233.44097900390625,42452270.0,8390186.0,29.46,88.93,74.48,504512.0,0.0,279691714.0,,3654556814.0,,,,,25.0,14.99,19.57,35.49,0.32,116.0,24600.0,1.0,2.0,2.0,8.0
appt_us8_rs2_td8_b1,0,"void cuntt::<unnamed>::appt_pipeline_kernel<unsigned long,",160,128,2990.272,75.05368041992188,49.3643798828125,11031071.0,2097387.0,4.86,95.68,86.18,205459.0,0.0,175856540.0,,1746350860.0,,,,,12.5,39.75,17.53,13.65,0.02,142.0,12312.0,0.67,3.0,5.0,16.0
appt_us8_rs2_td8_b4,0,"void cuntt::<unnamed>::appt_pipeline_kernel<unsigned long,",160,128,11310.656,339.3270568847656,192.73171997070312,43835767.0,8391048.0,5.49,95.19,86.45,787975.0,0.0,692593777.0,,6871413964.0,,,,,12.5,37.35,18.17,13.52,0.02,142.0,12312.0,0.67,3.0,5.0,16.0
appt_us8_td8_b1,0,"void cuntt::<unnamed>::appt_pipeline_kernel<unsigned long,",160,256,2158.272,75.3133544921875,126.39312744140625,10981211.0,2097793.0,10.91,96.63,81.67,453858.0,0.0,256730817.0,,2509454187.0,,,,,25.0,39.44,17.28,8.97,0.06,125.0,28728.0,1.0,2.0,2.0,8.0
appt_us8_td8_b4,0,"void cuntt::<unnamed>::appt_pipeline_kernel<unsigned long,",160,256,8053.024,315.12261962890625,523.9512634277344,43650416.0,8389621.0,12.16,96.46,81.29,1758250.0,0.0,1008923480.0,,9659837388.0,,,,,25.0,35.97,18.06,9.43,0.07,125.0,28728.0,1.0,2.0,2.0,8.0
