label,kernel_id,kernel_name,grid_size,block_size,time_us,dram_read_mib,dram_write_mib,global_load_sectors,global_store_sectors,local_load_sectors,local_store_sectors,dram_peak_pct,l2_hit_pct,l1_hit_pct,shared_load_bank_conflicts,shared_store_bank_conflicts,warp_instructions,instructions_per_active_cycle,integer_thread_instructions,fp32_thread_instructions,fp64_thread_instructions,tensor_warp_instructions,tensor_active_pct,active_warps_pct,barrier_stall_pct,wait_stall_pct,long_scoreboard_stall_pct,mio_throttle_stall_pct,registers_per_thread,shared_mem_bytes,waves_per_sm,occupancy_register_block_limit,occupancy_shared_block_limit,occupancy_warp_block_limit
natural_fw16_u32_b16,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned int,",240,256,3647.0080000000003,1630.1487121582031,192.66802978515625,70778355.0,6311214.0,0.0,0.0,55.76,59.85,0.04,10398712.0,10755596.0,179427180.0,,3885101058.0,,,,,35.41,17.31,3.41,47.77,9.33,48.0,32768.0,1.0,5.0,3.0,8.0
natural_fw16_u32_b1,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned int,",240,256,219.104,20.505889892578125,11.42535400390625,4427666.0,393908.0,0.0,0.0,16.66,90.93,0.1,637664.0,702540.0,12053315.0,,246842319.0,,,,,25.41,28.13,6.9,36.55,2.37,48.0,32768.0,1.0,5.0,3.0,8.0
natural_fw16_u32_b4,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned int,",240,256,643.296,132.88735961914062,48.210723876953125,17697496.0,1550751.0,0.0,0.0,29.36,83.96,0.1,2596723.0,2801720.0,45365982.0,,974798242.0,,,,,31.22,20.13,5.86,40.62,7.36,48.0,32768.0,1.0,5.0,3.0,8.0
natural_fw16_u64_b16,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned long,",160,256,5693.6320000000005,2212.85498046875,384.279052734375,74975488.0,12583058.0,0.0,0.0,50.72,51.25,0.0,17914879.0,18018230.0,308804411.0,,7377652771.0,,,,,18.2,6.64,6.77,61.0,1.58,128.0,49152.0,1.0,2.0,2.0,8.0
natural_fw16_u64_b1,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned long,",160,256,350.336,44.94378662109375,23.55426025390625,4691968.0,786443.0,0.0,0.0,23.8,82.41,0.02,1107834.0,1157083.0,19837641.0,,475695396.0,,,,,15.57,22.43,10.3,41.06,0.27,128.0,49152.0,1.0,2.0,2.0,8.0
natural_fw16_u64_b4,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned long,",160,256,1123.04,247.17840576171875,96.67193603515625,18748672.0,3145766.0,0.0,0.0,35.68,76.48,0.01,4442397.0,4719643.0,77011868.0,,1855811758.0,,,,,17.1,10.48,9.92,50.68,1.31,128.0,49152.0,1.0,2.0,2.0,8.0
natural_fw32_u32_b16,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned int,",240,256,3555.7760000000003,1626.4638366699219,192.00079345703125,70778244.0,6291470.0,0.0,0.0,61.31,65.54,0.0,9827781.0,10765496.0,178532916.0,,3868252967.0,,,,,34.25,17.9,3.82,45.27,8.08,48.0,32768.0,1.0,5.0,3.0,8.0
natural_fw32_u32_b1,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned int,",240,256,229.984,20.290679931640625,11.1568603515625,4427899.0,393220.0,0.0,0.0,15.74,91.02,0.03,604036.0,699960.0,11855173.0,,245699060.0,,,,,25.01,28.8,7.04,36.48,2.69,48.0,32768.0,1.0,5.0,3.0,8.0
natural_fw32_u32_b4,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned int,",240,256,675.52,154.83633422851562,47.973785400390625,17697294.0,1572869.0,0.0,0.0,33.95,84.32,0.01,2447573.0,2793676.0,45285892.0,,970658072.0,,,,,30.51,21.61,5.68,38.55,6.16,48.0,32768.0,1.0,5.0,3.0,8.0
natural_fw32_u64_b16,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned long,",160,256,5804.64,2272.1679077148438,384.1354064941406,74975488.0,12583050.0,0.0,0.0,51.69,50.07,0.0,17860009.0,17984501.0,302653625.0,,7354568900.0,,,,,16.98,7.59,7.36,59.92,1.64,128.0,49152.0,1.0,2.0,2.0,8.0
