word_bits,batch,physical_core,time_us,throughput_vs_v06,dram_read_mib,dram_write_mib,global_load_sectors,global_store_sectors,local_load_sectors,local_store_sectors,active_warps_pct,barrier_stall_pct,long_scoreboard_stall_pct,mio_throttle_stall_pct,dram_peak_pct,l1_hit_pct,l2_hit_pct,shared_load_conflicts,shared_store_conflicts,registers_per_thread,shared_bytes_per_block
32,1,warp,312.64,0.48065506653019446,20.29193115234375,13.600311279296875,8767341.0,2228250.0,0.0,0.0,25.32,52.42,20.22,0.37,13.42,44.24,92.84,125707.0,0.0,72.0,16512.0
32,1,cta-radix4,310.016,0.48472336911643266,20.238525390625,13.5224609375,5850325.0,2228090.0,0.0,0.0,22.7,43.13,25.89,0.93,12.88,25.84,92.97,951868.0,622592.0,32.0,16512.0
32,1,fused-tail,301.952,0.4976685036032217,17.907501220703125,8.77166748046875,5674709.0,1179658.0,0.0,0.0,17.3,25.3,38.24,1.13,10.82,34.29,92.92,758855.0,633235.0,32.0,33024.0
32,1,split-tail,306.88,0.48967674661105315,23.799102783203125,11.5513916015625,7213820.0,1732723.0,0.0,0.0,22.71,39.8,34.16,0.47,13.41,31.09,93.38,661960.0,589824.0,32.0,16512.0
32,1,register-tail,235.328,0.6385640467772641,17.49896240234375,8.331085205078125,5316345.0,1179651.0,0.0,0.0,23.79,29.13,34.79,2.48,12.93,14.44,94.32,648976.0,712010.0,48.0,32768.0
32,4,warp,875.616,0.39012535175236634,122.53591918945312,57.807220458984375,34964190.0,8912994.0,0.0,0.0,27.15,27.08,30.43,1.29,23.74,43.29,89.68,306786.0,0.0,72.0,16512.0
32,4,cta-radix4,941.376,0.3628730709089673,114.85855102539062,58.871978759765625,23327335.0,8913053.0,0.0,0.0,26.65,26.2,33.42,2.74,21.16,24.94,90.07,3495398.0,2490368.0,32.0,16512.0
32,4,fused-tail,872.224,0.3916425138496533,82.36715698242188,38.688995361328125,22753235.0,4718626.0,0.0,0.0,24.28,30.2,29.13,2.92,16.17,33.08,91.48,2754146.0,2517060.0,32.0,33024.0
32,4,split-tail,1024.64,0.33338538413491564,220.39920043945312,70.29437255859375,28790163.0,6841900.0,0.0,0.0,27.1,17.56,40.74,2.82,35.01,30.12,89.01,2617513.0,2359296.0,32.0,16512.0
32,4,register-tail,730.048,0.46791443850267384,107.6199951171875,46.723785400390625,21274364.0,4718595.0,0.0,0.0,28.3,16.39,39.45,7.44,24.28,14.18,89.21,2543746.0,2900803.0,48.0,32768.0
64,1,warp,669.888,0.33877901977644026,42.56756591796875,25.956298828125,9463055.0,2359322.0,0.0,0.0,18.34,30.6,34.33,1.07,12.04,37.47,87.43,136680.0,14.0,80.0,33024.0
64,1,cta-radix4,445.536,0.5093729799612153,50.09539794921875,25.293975830078125,6358226.0,2359322.0,0.0,0.0,19.79,46.17,25.96,0.49,19.8,23.9,84.26,1676244.0,1179696.0,40.0,33024.0
64,1,fused-tail,479.872,0.47292611363030146,42.47723388671875,16.892242431640625,6064209.0,1310730.0,0.0,0.0,12.48,26.83,31.92,0.53,14.65,35.38,82.89,1426878.0,1190247.0,42.0,66048.0
64,1,split-tail,410.848,0.5523794688059818,58.3538818359375,21.5213623046875,7607668.0,1833199.0,0.0,0.0,20.68,42.32,30.02,0.28,22.77,32.11,83.94,1198798.0,1055642.0,48.0,33024.0
64,1,register-tail,336.192,0.6750428326670475,40.4439697265625,16.7591552734375,5452400.0,1310730.0,0.0,0.0,15.28,25.81,41.28,0.39,20.51,14.57,86.53,1118376.0,1158045.0,126.0,49152.0
64,4,warp,1880.448,0.32545435981212983,242.2578125,108.13897705078125,37851434.0,9437282.0,0.0,0.0,22.17,20.34,39.7,2.09,21.02,36.29,83.11,746923.0,408.0,80.0,33024.0
64,4,cta-radix4,1399.1680000000001,0.437402799377916,280.85150146484375,115.96798706054688,25434847.0,9437282.0,0.0,0.0,22.35,28.42,35.52,1.47,33.72,23.1,79.55,6462597.0,4719898.0,40.0,33024.0
64,4,fused-tail,1306.24,0.4685203331700147,202.65423583984375,69.76168823242188,24256594.0,5242914.0,0.0,0.0,12.49,14.77,38.56,0.69,24.44,35.65,79.82,5817346.0,4753806.0,42.0,66048.0
64,4,split-tail,1367.392,0.44756733987035174,266.4215087890625,83.28451538085938,30437713.0,7370964.0,0.0,0.0,23.05,39.03,31.1,0.49,29.55,32.21,82.28,4675340.0,4222606.0,48.0,33024.0
64,4,register-tail,1050.016,0.5828482613598268,193.20965576171875,68.78799438476562,21801264.0,5242914.0,0.0,0.0,17.87,12.5,47.65,1.97,29.17,14.3,83.92,4478366.0,4723707.0,126.0,49152.0
