label,kernel_id,kernel_name,grid_size,block_size,time_us,dram_read_mib,dram_write_mib,global_load_sectors,global_store_sectors,local_load_sectors,local_store_sectors,dram_peak_pct,l2_hit_pct,l1_hit_pct,shared_load_bank_conflicts,shared_store_bank_conflicts,warp_instructions,instructions_per_active_cycle,integer_thread_instructions,fp32_thread_instructions,fp64_thread_instructions,tensor_warp_instructions,tensor_active_pct,active_warps_pct,barrier_stall_pct,wait_stall_pct,long_scoreboard_stall_pct,mio_throttle_stall_pct,registers_per_thread,shared_mem_bytes,waves_per_sm,occupancy_register_block_limit,occupancy_shared_block_limit,occupancy_warp_block_limit
cta-radix4_u32_b1,0,"void cuntt::<unnamed>::appt_online_log20_kernel<unsigned int,",240,256,310.016,20.238525390625,13.5224609375,5850325.0,2228090.0,0.0,0.0,12.88,92.97,25.84,951868.0,622592.0,11739018.0,,250168313.0,,,,,22.7,43.13,6.05,25.89,0.93,32.0,16512.0,0.6,8.0,5.0,8.0
cta-radix4_u32_b4,0,"void cuntt::<unnamed>::appt_online_log20_kernel<unsigned int,",240,256,941.376,114.85855102539062,58.871978759765625,23327335.0,8913053.0,0.0,0.0,21.16,90.07,24.94,3495398.0,2490368.0,45250608.0,,992881318.0,,,,,26.65,26.2,6.05,33.42,2.74,32.0,16512.0,0.6,8.0,5.0,8.0
cta-radix4_u64_b1,0,"void cuntt::<unnamed>::appt_online_log20_kernel<unsigned long,",160,256,445.536,50.09539794921875,25.293975830078125,6358226.0,2359322.0,0.0,0.0,19.8,84.26,23.9,1676244.0,1179696.0,19798489.0,,470003244.0,,,,,19.79,46.17,6.94,25.96,0.49,40.0,33024.0,1.0,6.0,2.0,8.0
cta-radix4_u64_b4,0,"void cuntt::<unnamed>::appt_online_log20_kernel<unsigned long,",160,256,1399.1680000000001,280.85150146484375,115.96798706054688,25434847.0,9437282.0,0.0,0.0,33.72,79.55,23.1,6462597.0,4719898.0,76968481.0,,1873568851.0,,,,,22.35,28.42,7.32,35.52,1.47,40.0,33024.0,1.0,6.0,2.0,8.0
fused-tail_u32_b1,0,void cuntt::<unnamed>::appt_online_fused_tail_log20_kernel<unsigned int>,160,256,301.952,17.907501220703125,8.77166748046875,5674709.0,1179658.0,0.0,0.0,10.82,92.92,34.29,758855.0,633235.0,9861998.0,,221817192.0,,,,,17.3,25.3,8.19,38.24,1.13,32.0,33024.0,1.0,8.0,2.0,8.0
fused-tail_u32_b4,0,void cuntt::<unnamed>::appt_online_fused_tail_log20_kernel<unsigned int>,160,256,872.224,82.36715698242188,38.688995361328125,22753235.0,4718626.0,0.0,0.0,16.17,91.48,33.08,2754146.0,2517060.0,39293152.0,,874835713.0,,,,,24.28,30.2,5.97,29.13,2.92,32.0,33024.0,1.0,8.0,2.0,8.0
fused-tail_u64_b1,0,void cuntt::<unnamed>::appt_online_fused_tail_log20_kernel<unsigned long>,80,256,479.872,42.47723388671875,16.892242431640625,6064209.0,1310730.0,0.0,0.0,14.65,82.89,35.38,1426878.0,1190247.0,17729427.0,,443509855.0,,,,,12.48,26.83,11.93,31.92,0.53,42.0,66048.0,1.0,5.0,1.0,8.0
fused-tail_u64_b4,0,void cuntt::<unnamed>::appt_online_fused_tail_log20_kernel<unsigned long>,80,256,1306.24,202.65423583984375,69.76168823242188,24256594.0,5242914.0,0.0,0.0,24.44,79.82,35.65,5817346.0,4753806.0,70186756.0,,1750437140.0,,,,,12.49,14.77,13.13,38.56,0.69,42.0,66048.0,1.0,5.0,1.0,8.0
register-tail_u32_b1,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned int,",240,256,235.328,17.49896240234375,8.331085205078125,5316345.0,1179651.0,0.0,0.0,12.93,94.32,14.44,648976.0,712010.0,9774410.0,,206303206.0,,,,,23.79,29.13,6.11,34.79,2.48,48.0,32768.0,1.0,5.0,3.0,8.0
register-tail_u32_b4,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned int,",240,256,730.048,107.6199951171875,46.723785400390625,21274364.0,4718595.0,0.0,0.0,24.28,89.21,14.18,2543746.0,2900803.0,37834754.0,,818710948.0,,,,,28.3,16.39,5.66,39.45,7.44,48.0,32768.0,1.0,5.0,3.0,8.0
register-tail_u64_b1,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned long,",160,256,336.192,40.4439697265625,16.7591552734375,5452400.0,1310730.0,0.0,0.0,20.51,86.53,14.57,1118376.0,1158045.0,17418716.0,,428042793.0,,,,,15.28,25.81,9.2,41.28,0.39,126.0,49152.0,1.0,2.0,2.0,8.0
register-tail_u64_b4,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned long,",160,256,1050.016,193.20965576171875,68.78799438476562,21801264.0,5242914.0,0.0,0.0,29.17,83.92,14.3,4478366.0,4723707.0,68789101.0,,1687977164.0,,,,,17.87,12.5,9.01,47.65,1.97,126.0,49152.0,1.0,2.0,2.0,8.0
split-tail_u32_b1,0,void cuntt::<unnamed>::appt_online_split_tail_log20_kernel<unsigned int>,240,256,306.88,23.799102783203125,11.5513916015625,7213820.0,1732723.0,0.0,0.0,13.41,93.38,31.09,661960.0,589824.0,10550261.0,,234363187.0,,,,,22.71,39.8,5.71,34.16,0.47,32.0,16512.0,0.6,8.0,5.0,8.0
