label,kernel_id,kernel_name,grid_size,block_size,time_us,dram_read_mib,dram_write_mib,global_load_sectors,global_store_sectors,local_load_sectors,local_store_sectors,dram_peak_pct,l2_hit_pct,l1_hit_pct,shared_load_bank_conflicts,shared_store_bank_conflicts,warp_instructions,instructions_per_active_cycle,integer_thread_instructions,fp32_thread_instructions,fp64_thread_instructions,tensor_warp_instructions,tensor_active_pct,active_warps_pct,barrier_stall_pct,wait_stall_pct,long_scoreboard_stall_pct,mio_throttle_stall_pct,registers_per_thread,shared_mem_bytes,waves_per_sm,occupancy_register_block_limit,occupancy_shared_block_limit,occupancy_warp_block_limit
cta-radix4_u32_b1,0,"void cuntt::<unnamed>::appt_online_log20_kernel<unsigned int,",240,256,306.624,20.18829345703125,13.47296142578125,5830364.0,2228250.0,0.0,0.0,12.98,93.05,25.7,951702.0,622592.0,11729741.0,,250178000.0,,,,,22.95,43.31,6.14,26.04,1.05,32.0,16512.0,0.6,8.0,5.0,8.0
cta-radix4_u32_b4,0,"void cuntt::<unnamed>::appt_online_log20_kernel<unsigned int,",240,256,960.032,121.99334716796875,59.48040771484375,23315504.0,8913050.0,0.0,0.0,21.88,89.82,24.93,3536329.0,2490368.0,45236599.0,,992976253.0,,,,,26.76,26.8,6.01,33.5,2.9,32.0,16512.0,0.6,8.0,5.0,8.0
cta-radix4_u64_b1,0,"void cuntt::<unnamed>::appt_online_log20_kernel<unsigned long,",160,256,440.736,50.245330810546875,25.43267822265625,6368310.0,2359322.0,0.0,0.0,20.19,84.21,23.91,1677640.0,1179731.0,19801009.0,,470032880.0,,,,,19.81,45.98,6.93,25.92,0.47,40.0,33024.0,1.0,6.0,2.0,8.0
cta-radix4_u64_b4,0,"void cuntt::<unnamed>::appt_online_log20_kernel<unsigned long,",160,256,1364.704,272.26123046875,106.47357177734375,25451261.0,9437282.0,0.0,0.0,32.12,79.67,23.07,6393583.0,4719821.0,77059591.0,,1873610430.0,,,,,22.13,27.17,7.27,35.15,1.45,40.0,33024.0,1.0,6.0,2.0,8.0
fused-tail_u32_b1,0,void cuntt::<unnamed>::appt_online_fused_tail_log20_kernel<unsigned int>,160,256,288.8,18.571502685546875,8.98089599609375,5674807.0,1179658.0,0.0,0.0,11.19,93.17,34.3,764950.0,632738.0,9865302.0,,220937875.0,,,,,17.32,25.39,8.23,37.78,1.18,32.0,33024.0,1.0,8.0,2.0,8.0
fused-tail_u32_b4,0,void cuntt::<unnamed>::appt_online_fused_tail_log20_kernel<unsigned int>,160,256,873.952,85.35745239257812,36.698760986328125,22595653.0,4718626.0,0.0,0.0,16.17,90.11,33.26,2752887.0,2518609.0,39502772.0,,877067873.0,,,,,24.03,29.8,5.8,27.96,2.81,32.0,33024.0,1.0,8.0,2.0,8.0
fused-tail_u64_b1,0,void cuntt::<unnamed>::appt_online_fused_tail_log20_kernel<unsigned long>,80,256,483.04,42.46710205078125,16.961395263671875,6064209.0,1310730.0,0.0,0.0,14.6,82.9,35.38,1423746.0,1190128.0,17730311.0,,443526381.0,,,,,12.48,26.68,11.84,31.9,0.58,42.0,66048.0,1.0,5.0,1.0,8.0
fused-tail_u64_b4,0,void cuntt::<unnamed>::appt_online_fused_tail_log20_kernel<unsigned long>,80,256,1313.952,204.1820068359375,68.67813110351562,24256598.0,5242914.0,0.0,0.0,24.43,79.8,35.65,5759957.0,4750563.0,70184200.0,,1750576757.0,,,,,12.49,14.68,13.02,38.64,0.69,42.0,66048.0,1.0,5.0,1.0,8.0
register-tail_u32_b1,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned int,",240,256,244.512,18.84173583984375,8.623199462890625,6690151.0,1179651.0,0.0,0.0,13.23,93.72,28.86,648304.0,692019.0,9969682.0,,215417209.0,,,,,23.8,28.6,6.49,35.92,2.14,47.0,32768.0,1.0,5.0,3.0,8.0
register-tail_u32_b4,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned int,",240,256,792.064,147.482421875,49.1116943359375,26777553.0,4718595.0,0.0,0.0,29.99,89.98,27.58,2536680.0,2848091.0,39141462.0,,856481724.0,,,,,29.55,22.84,5.48,37.58,4.43,47.0,32768.0,1.0,5.0,3.0,8.0
register-tail_u64_b1,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned long,",160,256,349.504,39.01422119140625,16.14910888671875,7086238.0,1310730.0,0.0,0.0,18.99,86.86,30.95,1119368.0,1160942.0,17645902.0,,438042480.0,,,,,15.61,25.86,9.83,42.06,0.18,128.0,49152.0,1.0,2.0,2.0,8.0
register-tail_u64_b4,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned long,",160,256,1113.056,201.09765625,68.8475341796875,28390085.0,5242914.0,0.0,0.0,27.1,81.88,30.47,4532723.0,4728296.0,69721944.0,,1725232431.0,,,,,18.75,11.26,9.28,49.96,1.07,128.0,49152.0,1.0,2.0,2.0,8.0
