label,kernel_id,kernel_name,grid_size,block_size,time_us,dram_read_mib,dram_write_mib,global_load_sectors,global_store_sectors,local_load_sectors,local_store_sectors,dram_peak_pct,l2_hit_pct,l1_hit_pct,shared_load_bank_conflicts,shared_store_bank_conflicts,warp_instructions,instructions_per_active_cycle,integer_thread_instructions,fp32_thread_instructions,fp64_thread_instructions,tensor_warp_instructions,tensor_active_pct,active_warps_pct,barrier_stall_pct,wait_stall_pct,long_scoreboard_stall_pct,mio_throttle_stall_pct,registers_per_thread,shared_mem_bytes,waves_per_sm,occupancy_register_block_limit,occupancy_shared_block_limit,occupancy_warp_block_limit
grouped_u32_b16,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned int,",240,256,2158.784,515.7541198730469,192.38449096679688,58195109.0,6291470.0,,,38.28,80.65,0.0,,,178160059.0,,3945121218.0,,,,,34.93,24.33,,37.92,8.09,48.0,32768.0,1.0,5.0,3.0,8.0
grouped_u32_b1,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned int,",240,256,198.112,23.468902587890625,13.05364990234375,3640590.0,396360.0,,,21.52,86.61,0.64,,,12180218.0,,251379084.0,,,,,27.69,23.53,,36.59,3.67,48.0,32768.0,1.0,5.0,3.0,8.0
grouped_u32_b4,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned int,",240,256,624.576,116.80538940429688,49.197662353515625,14551437.0,1589429.0,,,31.02,81.77,0.15,,,45919770.0,,994334340.0,,,,,32.39,19.94,,38.38,6.64,48.0,32768.0,1.0,5.0,3.0,8.0
grouped_u64_b16,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned long,",160,256,3359.712,919.3192749023438,384.9483947753906,66585791.0,12582934.0,,,45.3,70.69,0.0,,,304224418.0,,7453273868.0,,,,,21.46,7.44,,50.23,2.33,128.0,49152.0,1.0,2.0,2.0,8.0
grouped_u64_b1,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned long,",160,256,318.464,52.016448974609375,24.62518310546875,4167215.0,778167.0,,,28.09,73.66,0.98,,,20371673.0,,473809087.0,,,,,17.4,15.04,,43.8,0.56,128.0,49152.0,1.0,2.0,2.0,8.0
grouped_u64_b4,0,"void cuntt::<unnamed>::appt_online_register_tail_log20_kernel<unsigned long,",160,256,969.312,229.3218994140625,96.874267578125,16650272.0,3145735.0,,,39.27,70.74,0.0,,,76578213.0,,1868778755.0,,,,,20.72,9.68,,48.71,2.01,128.0,49152.0,1.0,2.0,2.0,8.0
v06_u32_b16,0,"void cuntt::<unnamed>::hierarchical_streaming_10x10_kernel<unsigned int,",320,256,1077.248,262.6643981933594,141.13723754882812,29791199.0,8388611.0,,,43.74,66.54,47.0,,,186089521.0,,4153875168.0,,,,,48.58,5.68,,40.6,5.67,40.0,16416.0,0.8,6.0,5.0,8.0
v06_u32_b1,0,"void cuntt::<unnamed>::hierarchical_streaming_10x10_kernel<unsigned int,",320,256,143.808,13.36004638671875,8.69183349609375,1883813.0,524291.0,,,17.9,75.37,45.29,,,14571375.0,,268757389.0,,,,,41.67,4.17,,20.84,3.58,40.0,16416.0,0.8,6.0,5.0,8.0
v06_u32_b4,0,"void cuntt::<unnamed>::hierarchical_streaming_10x10_kernel<unsigned int,",320,256,342.368,66.95773315429688,36.51959228515625,7446663.0,2097155.0,,,35.27,68.36,46.2,,,50236366.0,,1047853357.0,,,,,46.88,5.01,,33.34,5.09,40.0,16416.0,0.8,6.0,5.0,8.0
v06_u64_b16,0,"void cuntt::<unnamed>::hierarchical_streaming_10x10_kernel<unsigned long,",160,256,2000.736,514.4479675292969,257.7452697753906,47979838.0,8388611.0,,,45.04,49.04,52.11,,,311700158.0,,7703613317.0,,,,,24.79,3.85,,37.52,0.63,48.0,32816.0,1.0,5.0,2.0,8.0
