label,kernel_id,kernel_name,grid_size,block_size,time_us,dram_read_mib,dram_write_mib,dram_peak_pct,l2_hit_pct,l1_hit_pct,shared_load_bank_conflicts,shared_store_bank_conflicts,warp_instructions,integer_thread_instructions,fp32_thread_instructions,fp64_thread_instructions,tensor_warp_instructions,tensor_active_pct,active_warps_pct,barrier_stall_pct,long_scoreboard_stall_pct,registers_per_thread,shared_mem_bytes,waves_per_sm,occupancy_register_block_limit,occupancy_shared_block_limit,occupancy_warp_block_limit
fp64_cufft_b64,0,void regular_fft<,2048,128,179.488,64.000732421875,63.6683349609375,83.02,50.24,0.64,22186.0,7821.0,9101312.0,,,157810688.0,,,18.19,4.33,39.17,134.0,32768.0,8.53,3.0,3.0,16.0
fp64_cufft_b64,1,void regular_fft<,2048,128,181.632,64.00091552734375,63.8443603515625,82.15,50.25,0.55,33584.0,7233.0,7151616.0,,,115867648.0,,,18.2,3.71,38.93,134.0,32768.0,8.53,3.0,3.0,16.0
fp64_cufftdx_b64,0,"void cuntt::detail::<unnamed>::fp64_online_first_kernel<cufftdx::detail::fft_block_execution<cufftdx::Block, cufftdx::Size<",4096,256,249.824,64.4710693359375,64.31423950195312,60.17,75.21,13.08,2029266.0,3980088.0,21495808.0,,,135487232.0,,,60.16,15.49,39.19,48.0,16384.0,10.24,5.0,6.0,8.0
fp64_cufftdx_b64,1,"void cuntt::detail::<unnamed>::fp64_online_second_kernel<cufftdx::detail::fft_block_execution<cufftdx::Block, cufftdx::Size<",4096,128,172.096,64.001220703125,64.51409912109375,87.15,50.79,10.95,548792.0,3726359.0,13631488.0,,,133169152.0,,,36.05,17.16,17.01,60.0,16384.0,8.53,8.0,6.0,16.0
fp64_recurrence_b64,0,"void cuntt::detail::<unnamed>::fp64_online_first_kernel<cufftdx::detail::fft_block_execution<cufftdx::Block, cufftdx::Size<",4096,256,206.016,64.3782958984375,64.33193969726562,72.92,61.48,18.47,2183931.0,3828865.0,20021248.0,,,146800640.0,,,60.06,16.51,37.27,48.0,16384.0,10.24,5.0,6.0,8.0
fp64_recurrence_b64,1,"void cuntt::detail::<unnamed>::fp64_online_second_kernel<cufftdx::detail::fft_block_execution<cufftdx::Block, cufftdx::Size<",4096,128,173.568,64.00146484375,64.4970703125,86.41,50.75,10.94,551852.0,3726818.0,13631488.0,,,133169152.0,,,36.05,16.87,16.97,60.0,16384.0,8.53,8.0,6.0,16.0
fp64_scalar_b64,0,"void cuntt::detail::hierarchical_prefix_kernel<cuntt::<unnamed>::FftOperator<cuntt::Complex64, double>,",16384,128,273.856,64.00802612304688,64.56640625,54.79,87.87,24.25,2569233.0,2097152.0,14680064.0,,,134217728.0,,,53.51,32.91,25.56,50.0,4096.0,22.76,9.0,16.0,16.0
fp64_scalar_b64,1,"void cuntt::detail::online_reorder_suffix_kernel<cuntt::<unnamed>::FftOperator<cuntt::Complex64, double>,",16384,128,323.456,66.68844604492188,64.64578247070312,47.38,79.43,9.26,2481711.0,2097152.0,23396352.0,,,150994944.0,,,59.75,36.42,23.4,44.0,4096.0,20.48,10.0,16.0,16.0
fp64_xor_swizzle_b64,0,"void cuntt::detail::<unnamed>::fp64_online_first_kernel<cufftdx::detail::fft_block_execution<cufftdx::Block, cufftdx::Size<",4096,256,195.008,64.39532470703125,64.30984497070312,77.03,61.28,18.61,553033.0,2240704.0,22020096.0,,,146800640.0,,,60.25,13.92,44.86,48.0,16384.0,10.24,5.0,6.0,8.0
fp64_xor_swizzle_b64,1,"void cuntt::detail::<unnamed>::fp64_online_second_kernel<cufftdx::detail::fft_block_execution<cufftdx::Block, cufftdx::Size<",4096,128,172.64000000000001,64.001220703125,64.45501708984375,86.86,50.8,10.95,556683.0,3726564.0,13631488.0,,,133169152.0,,,36.03,17.25,16.82,60.0,16384.0,8.53,8.0,6.0,16.0
